,roles,cos_sim
172,aberration,0.9973036
1,workaholic,0.9972914
26,stoic,0.9972172
281,patient,0.9971913
177,workaholic,0.9971765
333,hoarder,0.9969404
152,chameleon,0.99691665
20,symbiont,0.99686915
300,narcissist,0.9968526
95,jester,0.9968407
181,widow,0.9967617
447,aberration,0.99670863
80,minimalist,0.9966863
70,optimist,0.99665207
388,cynic,0.9966461
33,simulacrum,0.9966432
378,divorcee,0.99662334
442,addict,0.99657667
154,caregiver,0.9965719
355,fool,0.99656713
262,prisoner,0.9965603
169,addict,0.9965195
446,absurdist,0.9964549
254,provocateur,0.9964359
54,prodigy,0.99640554
417,blogger,0.9963788
165,ambassador,0.99634266
87,martyr,0.996324
85,maverick,0.99632
312,martyr,0.9963059
334,hive,0.99628264
360,expatriate,0.9962808
167,altruist,0.99627554
441,adolescent,0.9962568
251,purist,0.9962532
146,competitor,0.99624467
191,veteran,0.9962273
343,grandparent,0.9962152
32,skeptic,0.99621516
305,minimalist,0.99621344
314,luddite,0.9962123
274,pilgrim,0.9962122
421,avatar,0.9961933
398,contrarian,0.9961923
142,contrarian,0.996153
56,pragmatist,0.99614346
393,criminal,0.9961374
64,perfectionist,0.996137
255,provincial,0.99612963
337,hedonist,0.99610645
174,zealot,0.9960987
21,swarm,0.9960896
403,comedian,0.99601555
283,parasite,0.9960023
294,newlywed,0.9959988
168,advocate,0.9959937
128,divorcee,0.9959904
48,realist,0.99598056
261,procrastinator,0.99597114
125,ecosystem,0.9959655
185,void,0.99596393
205,teenager,0.9959615
22,supervisor,0.99594533
193,vampire,0.9959373
431,angel,0.9959363
130,devils_advocate,0.9959327
282,parent,0.99591595
264,presenter,0.99590415
240,robot,0.9959017
105,healer,0.99589413
369,eldritch,0.9958781
260,prodigy,0.9958735
24,student,0.99586475
36,screener,0.99585795
269,podcaster,0.99585056
55,presenter,0.9958383
425,ascetic,0.99583554
440,advocate,0.9958261
243,revenant,0.99581474
2,witness,0.9958108
244,retiree,0.99580985
82,mentor,0.9958078
68,pacifist,0.99578464
217,stoic,0.9957845
71,observer,0.9957844
433,anarchist,0.9957813
6,vigilante,0.9957579
211,survivor,0.99575585
102,hybrid,0.99575543
361,exile,0.99574697
108,guardian,0.995735
196,tulpa,0.9957297
39,scholar,0.99572927
444,activist,0.9957279
289,optimist,0.99570596
207,teacher,0.9957012
4,virus,0.99569976
9,validator,0.99569136
11,tulpa,0.99568987
