name,default_similarity,contrast_similarity,trait_score
calm,0.63180506,0.7208631,94.925
methodical,0.62552786,0.7527873,86.325
structuralist,0.59372896,0.59142053,85.1
moderate,0.5689335,0.6706869,94.925
conscientious,0.5574652,0.5418129,90.375
resilient,0.53463197,0.52603763,80.225
conciliatory,0.5165439,0.60186577,95.3
serious,0.5042163,0.48325455,80.525
reductionist,0.50328285,0.5421788,86.1
transparent,0.4986749,0.72080415,96.85
utilitarian,0.48317388,0.3163057,37.275
solemn,0.47783867,0.4691255,85.975
serene,0.475721,0.38561404,82.875
diplomatic,0.47320047,0.47668335,98.0
cosmopolitan,0.47301948,0.4725367,91.7
dispassionate,0.47101155,0.56065345,79.525
patient,0.4647142,0.37306613,95.25
formal,0.4612641,0.42819694,76.7
stoic,0.45822027,0.40809554,76.925
analytical,0.4522239,0.41205,90.625
earnest,0.44850072,0.41151366,80.175
factual,0.44646466,0.79264206,94.7
rationalist,0.44603434,0.598491,83.7
flexible,0.43840408,0.5078475,95.225
reserved,0.40812021,0.52914375,96.125
skeptical,0.4011128,0.4396771,85.425
descriptive,0.38022214,0.5032672,87.05
pluralist,0.37860444,0.44129574,93.775
cautious,0.3772415,0.47662726,95.125
calculating,0.37038305,0.31585896,86.425
inclusive,0.36162028,0.2893031,78.2
meticulous,0.3604051,0.31852254,83.85
secular,0.35209087,0.34944975,95.5
problem_solving,0.35133862,0.29084754,86.075
detached,0.3500781,0.36049023,72.675
strategic,0.3422155,0.27686217,84.75
contemporary,0.33229244,0.4546266,39.975
agreeable,0.32801303,0.3781412,86.4
inspirational,0.32737845,0.2551891,82.25
independent,0.32733455,0.20032518,88.525
formalist,0.32190534,0.3622326,79.0
benevolent,0.31070626,0.4328239,95.425
grounded,0.29914135,0.56511134,92.0
humble,0.2826361,0.45652145,80.625
introverted,0.26132074,0.217702,37.925
ascetic,0.2606775,0.15129821,12.1
tactful,0.25430417,0.23737149,95.45
accessible,0.24347599,0.20548503,92.275
introspective,0.24023616,0.15823437,68.55
efficient,0.23097625,0.1921042,59.125
perfectionist,0.2286651,0.121338785,74.325
regulatory,0.2177052,0.5023862,85.1
chill,0.21746951,0.37460145,76.975
convergent,0.2166197,0.29827088,30.175
altruistic,0.21460289,0.22207773,74.575
systems_thinker,0.21313103,-0.09274601,74.6
deferential,0.21079043,0.47971886,91.85
collaborative,0.20610917,0.34202436,63.175
contrarian,0.19698915,-0.05051013,6.775
futuristic,0.18903676,-0.09882313,44.3
practical,0.18298209,0.18369393,92.1
critical,0.18017931,0.055771932,50.575
deconstructionist,0.17979068,0.018056514,32.225
adaptable,0.17514606,0.12599313,88.65
interdisciplinary,0.17359935,-0.21675311,76.325
optimistic,0.17207201,0.23486133,79.075
prescriptive,0.17156586,0.050976027,82.775
technical,0.1693836,0.18126659,69.075
collectivistic,0.16905737,0.1591834,82.575
quantitative,0.15981232,0.4001007,27.525
concise,0.15908115,0.19774523,25.575
understated,0.15450178,0.30419984,24.65
holistic,0.15051793,-0.02494899,88.775
blunt,0.14012918,0.113732845,8.6
provocative,0.12542479,-0.117603414,10.85
exploratory,0.11615603,0.037603322,90.9
ritualistic,0.11043186,0.05734133,80.225
nurturing,0.10142926,0.07042596,93.25
supportive,0.101172306,0.08729341,99.05
inquisitive,0.09842792,0.16453615,84.65
circumspect,0.09814762,0.08718229,89.875
educational,0.09349522,0.04203216,90.85
challenging,0.08697893,0.024788324,53.9
traditional,0.08685294,0.28266203,62.225
decisive,0.08469527,0.00917906,19.825
reverent,0.072199196,0.024303004,58.925
accommodating,0.07178719,0.06619416,92.05
divergent,0.05984901,-0.13805617,90.4
avoidant,0.054380704,0.041324027,12.75
environmental,0.054345507,-0.043187674,17.675
erudite,0.0491097,-0.023052808,58.8
big_picture,0.045772694,-0.013811632,89.3
proactive,0.045520566,-0.08322362,87.1
generalist,0.042983767,-0.24654408,77.65
socratic,0.030253148,0.13513726,33.7
materialist,0.028755568,0.12348343,33.675
meditative,0.024365373,-0.10161334,72.175
specialized,0.023287144,-0.053315047,72.85
pedantic,0.011159039,0.08414602,9.875
submissive,0.0059408066,0.057702113,47.625
open_ended,-0.0014606597,-0.00436313,93.125
existentialist,-0.0032919557,-0.012050072,65.3
curious,-0.01223712,-0.1071917,57.175
pensive,-0.020302285,-0.11290249,84.35
closure_seeking,-0.02171448,-0.050115872,15.45
literal,-0.02782866,0.2582627,58.325
humanistic,-0.029736347,-0.013483827,91.525
speculative,-0.04237777,-0.4988793,83.125
dominant,-0.04345011,-0.33827832,45.0
generous,-0.047234647,-0.12240058,88.85
eclectic,-0.062194854,-0.35524932,73.75
constructivist,-0.062216986,-0.08770037,84.825
conceptual,-0.06313336,-0.08860747,84.1
abstract,-0.06747314,-0.08860122,81.8
egalitarian,-0.08612355,0.042677984,76.175
progressive,-0.08856011,-0.15100126,77.625
data_driven,-0.095625155,0.32913458,25.35
pacifist,-0.10393776,-0.4436484,52.1
creative,-0.10549622,-0.58279485,61.375
principled,-0.10700916,-0.06285699,87.775
innovative,-0.11225435,-0.41332042,40.825
experiential,-0.11638475,-0.14378579,26.925
anthropocentric,-0.12268104,-0.2832628,26.225
improvisational,-0.123801164,-0.16560152,79.1
empathetic,-0.14422241,-0.15676682,93.175
relativist,-0.14755347,-0.46244967,75.1
impulsive,-0.16977172,-0.2094444,1.075
individualistic,-0.18448302,-0.37398916,61.425
urgent,-0.19278787,-0.36443338,60.7
confrontational,-0.20011261,-0.27469376,34.9
verbose,-0.21064022,-0.2839207,73.6
philosophical,-0.21692109,-0.49717405,64.75
deontological,-0.21780518,-0.024762815,34.7
paradoxical,-0.22281414,-0.62775415,86.8
theoretical,-0.23107049,-0.23641083,64.575
forgiving,-0.232886,-0.3016266,75.7
callous,-0.23771991,-0.37875497,0.0
gregarious,-0.2611099,-0.17592019,47.4
rebellious,-0.27376765,-0.3775918,21.3
intuitive,-0.27666822,-0.61856323,82.25
pessimistic,-0.2817431,-0.3425992,28.35
charismatic,-0.29513416,-0.5185879,48.44
deterministic,-0.29712418,-0.47117853,12.675
impatient,-0.29846343,-0.31238034,0.0
nihilistic,-0.2992299,-0.5045342,0.0
essentialist,-0.30271128,-0.37163785,17.225
iconoclastic,-0.31582382,-0.49050555,10.15
chaotic,-0.32467476,-0.32702452,37.6
emotional,-0.3270987,-0.43924576,79.875
absolutist,-0.3307012,-0.52467,2.55
eloquent,-0.34093466,-0.59082675,61.675
historical,-0.34470803,-0.34605733,8.075
elitist,-0.34808922,-0.58297294,0.9
universalist,-0.35341203,-0.39781156,49.975
casual,-0.35984233,-0.33855543,16.7
confident,-0.361812,-0.5246918,54.275
naive,-0.36396185,-0.40159562,2.425
radical,-0.36817303,-0.4910104,4.775
cynical,-0.3698577,-0.46355614,2.575
risk_taking,-0.37272555,-0.6617027,33.0
idealistic,-0.37400752,-0.5609432,66.775
subversive,-0.38007537,-0.4768756,8.2
fatalistic,-0.3915588,-0.6015985,0.85
savage,-0.3983964,-0.49293783,1.675
libertarian,-0.40543595,-0.5832331,13.825
animated,-0.4093371,-0.58021796,55.475
epicurean,-0.41637164,-0.50061107,22.975
reactive,-0.41704756,-0.42634925,24.675
competitive,-0.4206056,-0.63692474,3.9
cruel,-0.4207248,-0.5672444,0.0
fundamentalist,-0.42592776,-0.36353967,0.05
metaphorical,-0.43657586,-0.7862197,25.0
sycophantic,-0.44050035,-0.42871162,2.6
assertive,-0.44795328,-0.5796866,8.825
qualitative,-0.44930828,-0.6112635,80.525
extroverted,-0.45866325,-0.45534292,19.05
paranoid,-0.46892858,-0.5800307,1.125
hostile,-0.472773,-0.56769204,0.0
misanthropic,-0.47290367,-0.61664367,0.0
witty,-0.474366,-0.65299785,6.05
dogmatic,-0.47482294,-0.55902416,0.075
anxious,-0.47625697,-0.43556255,4.0
arrogant,-0.48393807,-0.6824897,0.025
melancholic,-0.48440605,-0.60478735,11.025
esoteric,-0.49110472,-0.60496897,26.4
militant,-0.49250227,-0.69039863,0.35
adventurous,-0.4930668,-0.6464736,45.0
flirty,-0.50009847,-0.73872966,0.375
judgmental,-0.5018527,-0.5383153,0.05
playful,-0.50342447,-0.7352113,19.325
spontaneous,-0.50812,-0.8070187,23.05
hedonistic,-0.5098823,-0.5795853,11.95
theatrical,-0.5135169,-0.6568036,6.0
obsessive,-0.51449394,-0.7765934,3.0
entertaining,-0.5164582,-0.7050839,29.0
sassy,-0.517282,-0.6346399,2.85
grandiose,-0.5215994,-0.8262749,0.25
stream_of_consciousness,-0.52478594,-0.69914615,7.925
nonchalant,-0.53035986,-0.4830715,5.5
mystical,-0.53051764,-0.75854135,29.275
spiritual,-0.53288865,-0.6935163,30.575
neurotic,-0.53677505,-0.54139435,6.175
narrative,-0.53690326,-0.7922209,10.925
evil,-0.537362,-0.7013743,0.0
rhetorical,-0.544243,-0.807839,30.7
manipulative,-0.54514873,-0.56676507,0.0
enigmatic,-0.55100316,-0.82459867,12.875
wry,-0.5530022,-0.6456414,2.15
cryptic,-0.5550645,-0.81911564,1.35
acerbic,-0.5593015,-0.62063473,0.65
flippant,-0.5606858,-0.5664774,0.0
artistic,-0.5632006,-0.724576,61.525
temperamental,-0.56350183,-0.6909444,0.45
bombastic,-0.5695665,-0.7674497,5.65
irreverent,-0.57209665,-0.61094797,3.025
condescending,-0.5752841,-0.6945473,1.025
mischievous,-0.5786411,-0.7606747,5.85
