name,label,role_type,default_similarity,contrast_similarity
generalist,role,pos_2,0.999844,0.5804485
witness,role,pos_2,0.9997882,0.5822056
specialist,role,pos_2,0.99978155,0.5813957
synthesizer,role,pos_2,0.9997754,0.5792341
summarizer,role,pos_2,0.9997361,0.5845832
interpreter,role,pos_2,0.99973166,0.5764203
scholar,role,pos_2,0.99972695,0.58114386
observer,role,pos_2,0.9997142,0.58589464
ambassador,role,pos_2,0.99970055,0.58102727
psychologist,role,pos_2,0.9996995,0.5823718
validator,role,pos_2,0.9996954,0.58417606
polymath,role,pos_2,0.9996769,0.5741086
virtuoso,role,pos_2,0.9996691,0.57925576
advocate,role,pos_2,0.99964464,0.576705
researcher,role,pos_2,0.9996349,0.5870916
journalist,role,pos_3,0.999629,0.57755315
judge,role,pos_3,0.9996101,0.5763218
reporter,role,pos_3,0.9995943,0.5715392
robot,role,pos_2,0.9995894,0.5840745
reviewer,role,pos_2,0.9995819,0.5832132
prodigy,role,pos_2,0.9995695,0.5688477
publisher,role,pos_3,0.9995634,0.57602775
mentor,role,pos_2,0.99956137,0.5758156
realist,role,pos_2,0.99955964,0.573119
writer,role,pos_2,0.9995544,0.5809589
counselor,role,pos_2,0.99954534,0.57697195
doctor,role,pos_3,0.9995393,0.5779713
journalist,role,pos_2,0.9995323,0.5857652
critic,role,pos_2,0.9995292,0.57532245
observer,role,pos_3,0.99952877,0.57812655
assistant,role,pos_3,0.99952674,0.57815206
evaluator,role,pos_2,0.9995166,0.5810941
assistant,role,pos_2,0.9995021,0.59033275
librarian,role,pos_3,0.99950033,0.57662493
coach,role,pos_2,0.99949765,0.5752461
supervisor,role,pos_2,0.9994963,0.5837299
expatriate,role,pos_2,0.9994956,0.58017695
peacekeeper,role,pos_2,0.99949336,0.5742341
therapist,role,pos_2,0.9994925,0.5784281
guardian,role,pos_2,0.9994899,0.580547
consultant,role,pos_3,0.9994883,0.5774042
scholar,role,pos_3,0.99948615,0.5728078
mentor,role,pos_3,0.99948376,0.57189214
mediator,role,pos_3,0.99948335,0.5765556
aberration,role,pos_2,0.99948233,0.57445216
planner,role,pos_2,0.99947655,0.5820121
negotiator,role,pos_2,0.99947554,0.5748968
analyst,role,pos_2,0.99947184,0.5852401
swarm,role,pos_2,0.99947,0.5709836
examiner,role,pos_2,0.99946946,0.5846069
networker,role,pos_2,0.99946487,0.5756728
reviewer,role,pos_3,0.9994614,0.5804246
student,role,pos_2,0.99945647,0.5842379
scientist,role,pos_3,0.9994499,0.5795147
teacher,role,pos_3,0.9994449,0.57176083
facilitator,role,pos_2,0.99944246,0.5832886
editor,role,pos_2,0.99943787,0.58524626
hybrid,role,pos_2,0.99943763,0.5701528
coordinator,role,pos_3,0.99943256,0.57378113
technologist,role,pos_3,0.999432,0.5682362
ecosystem,role,pos_2,0.9994298,0.575742
anthropologist,role,pos_3,0.9994265,0.5709987
validator,role,pos_3,0.99941325,0.58202165
statistician,role,pos_3,0.9994118,0.57861304
lawyer,role,pos_3,0.99941057,0.5807387
sociologist,role,pos_3,0.9994071,0.57275057
recruiter,role,pos_3,0.9994067,0.57192534
researcher,role,pos_3,0.99940234,0.57979536
recruiter,role,pos_2,0.99940056,0.575841
guide,role,pos_3,0.9993995,0.5646019
supervisor,role,pos_3,0.9993988,0.57494044
accountant,role,pos_3,0.99939865,0.5781805
healer,role,pos_2,0.9993984,0.5713539
judge,role,pos_2,0.9993968,0.5843416
forecaster,role,pos_2,0.9993957,0.5833426
collaborator,role,pos_3,0.9993944,0.57805026
networker,role,pos_3,0.9993929,0.5689323
lawyer,role,pos_2,0.9993927,0.58761
translator,role,pos_2,0.9993908,0.58461267
hive,role,pos_2,0.99939036,0.57313764
navigator,role,pos_2,0.99938685,0.57775277
pragmatist,role,pos_2,0.9993803,0.574748
debugger,role,pos_2,0.9993779,0.58007056
activist,role,pos_2,0.9993719,0.5744778
guardian,role,pos_3,0.99937063,0.56659406
coach,role,pos_3,0.99936944,0.57274795
moderator,role,pos_2,0.9993691,0.58495504
interpreter,role,pos_3,0.9993681,0.56628364
shapeshifter,role,pos_2,0.9993623,0.5787966
instructor,role,pos_3,0.9993607,0.5738972
altruist,role,pos_2,0.99935985,0.56720716
emissary,role,pos_3,0.9993585,0.5671626
designer,role,pos_3,0.99935555,0.5684438
engineer,role,pos_3,0.99935204,0.57407844
loner,role,pos_2,0.99935085,0.5690864
economist,role,pos_3,0.99934804,0.57457286
analyst,role,pos_3,0.9993435,0.57770365
builder,role,pos_2,0.9993428,0.572186
critic,role,pos_3,0.99934095,0.5668407
marketer,role,pos_3,0.9993402,0.5736756
navigator,role,pos_3,0.9993385,0.56794703
archivist,role,pos_3,0.9993375,0.5706944
cosmopolitan,role,pos_2,0.9993373,0.563251
negotiator,role,pos_3,0.99933726,0.56975937
dispatcher,role,pos_2,0.99933684,0.57911247
secretary,role,pos_3,0.99933434,0.5782104
cartographer,role,pos_2,0.99932504,0.57798755
cyborg,role,pos_2,0.9993248,0.5691779
organizer,role,pos_2,0.9993223,0.58442175
revolutionary,role,pos_2,0.99932075,0.5674532
architect,role,pos_3,0.99932,0.56874734
organizer,role,pos_3,0.99931896,0.5743067
biologist,role,pos_3,0.99931777,0.572446
physicist,role,pos_3,0.9993148,0.56941766
psychologist,role,pos_3,0.9993146,0.57275283
cartographer,role,pos_3,0.9993124,0.56708145
librarian,role,pos_2,0.9993113,0.58307755
collector,role,pos_2,0.999309,0.5799227
mathematician,role,pos_3,0.9993072,0.5698901
emissary,role,pos_2,0.99930555,0.57737935
forecaster,role,pos_3,0.99930364,0.5720519
destroyer,role,pos_2,0.9993003,0.56707287
sociologist,role,pos_2,0.9992978,0.58513224
consultant,role,pos_2,0.99929684,0.58554834
interviewer,role,pos_2,0.99929607,0.5816636
screener,role,pos_2,0.99929166,0.5862264
producer,role,pos_3,0.9992833,0.57162774
engineer,role,pos_2,0.99927765,0.5845432
dispatcher,role,pos_3,0.99927765,0.57374156
conservator,role,pos_2,0.9992636,0.57529277
geographer,role,pos_3,0.9992631,0.56977254
doctor,role,pos_2,0.9992619,0.58718073
debugger,role,pos_3,0.9992606,0.57762235
scheduler,role,pos_3,0.99926054,0.57770985
vegan,role,pos_2,0.9992547,0.5756482
collaborator,role,pos_2,0.9992485,0.5838333
evaluator,role,pos_3,0.999247,0.576241
mathematician,role,pos_2,0.9992398,0.5763503
programmer,role,pos_3,0.999239,0.57256764
pharmacist,role,pos_3,0.9992366,0.57964
auditor,role,pos_3,0.99923235,0.5763952
visionary,role,pos_2,0.9992285,0.5628576
ambassador,role,pos_3,0.99922097,0.5667933
linguist,role,pos_3,0.9992204,0.5775792
detective,role,pos_3,0.99921906,0.5685484
entrepreneur,role,pos_3,0.9992178,0.5641406
pilot,role,pos_3,0.9992177,0.5692907
skeptic,role,pos_3,0.9992166,0.5754277
guide,role,pos_2,0.9992157,0.5817877
peacekeeper,role,pos_3,0.9992156,0.5672977
entrepreneur,role,pos_2,0.999214,0.57749176
veterinarian,role,pos_3,0.99921364,0.5769166
architect,role,pos_2,0.99920934,0.581402
composer,role,pos_2,0.99920905,0.56972826
naturalist,role,pos_2,0.9992041,0.5703134
instructor,role,pos_2,0.99919635,0.58598083
patient,role,pos_2,0.99919534,0.58064455
empath,role,pos_2,0.9991924,0.56962126
divorcee,role,pos_2,0.9991918,0.57765716
curator,role,pos_3,0.99919164,0.56288
perfectionist,role,pos_2,0.9991911,0.56630373
therapist,role,pos_3,0.9991908,0.57607275
strategist,role,pos_3,0.9991892,0.5729973
tutor,role,pos_3,0.99918497,0.5710453
facilitator,role,pos_3,0.9991843,0.5796422
cyborg,role,pos_3,0.99917924,0.5622559
paramedic,role,pos_3,0.9991774,0.5711962
programmer,role,pos_2,0.9991748,0.5813796
chemist,role,pos_3,0.99917275,0.57331103
philosopher,role,pos_2,0.99917024,0.5657915
polymath,role,pos_3,0.9991699,0.5609437
coordinator,role,pos_2,0.9991671,0.5853002
trainer,role,pos_2,0.9991614,0.58386904
accountant,role,pos_2,0.99916005,0.58289266
vegan,role,pos_3,0.9991544,0.567738
generalist,role,pos_3,0.99915355,0.5696909
realist,role,pos_3,0.99915284,0.56690156
mechanic,role,pos_2,0.9991484,0.569546
screener,role,pos_3,0.9991433,0.5874468
graduate,role,pos_2,0.99913657,0.58305055
pragmatist,role,pos_3,0.99913603,0.5673866
symbiont,role,pos_2,0.9991351,0.57210505
collector,role,pos_3,0.99913013,0.5610586
secretary,role,pos_2,0.9991287,0.584085
scout,role,pos_2,0.99912673,0.5768039
grader,role,pos_2,0.99912304,0.586927
spy,role,pos_2,0.9991215,0.57428604
translator,role,pos_3,0.99911594,0.58192796
historian,role,pos_3,0.99911404,0.5667401
marketer,role,pos_2,0.99911284,0.58257097
scout,role,pos_3,0.9991111,0.55850047
tulpa,role,pos_2,0.9991067,0.5677394
detective,role,pos_2,0.9991014,0.5794904
counselor,role,pos_3,0.9990969,0.57538515
synthesizer,role,pos_3,0.99908763,0.56384814
skeptic,role,pos_2,0.99908584,0.58048093
presenter,role,pos_3,0.9990851,0.56094295
virus,role,pos_2,0.9990834,0.58009845
caregiver,role,pos_2,0.99908197,0.56888175
archivist,role,pos_2,0.99908,0.583279
scheduler,role,pos_2,0.99907345,0.5834558
merchant,role,pos_2,0.99907196,0.5744482
conservator,role,pos_3,0.99907035,0.5700601
trainer,role,pos_3,0.9990647,0.5706226
merchant,role,pos_3,0.9990644,0.558422
novelist,role,pos_2,0.99906,0.5639301
devils_advocate,role,pos_2,0.99905807,0.56977236
fixer,role,pos_2,0.9990526,0.5686132
publisher,role,pos_2,0.99905074,0.5889564
musician,role,pos_2,0.9990497,0.56942546
futurist,role,pos_3,0.99904865,0.56648946
caregiver,role,pos_3,0.9990475,0.5639953
idealist,role,pos_2,0.99904275,0.5594982
expatriate,role,pos_3,0.9990401,0.55928785
auditor,role,pos_2,0.99903935,0.5836405
pilot,role,pos_2,0.9990383,0.579573
tulpa,role,pos_3,0.99903476,0.5582218
optimist,role,pos_2,0.99903405,0.56510127
designer,role,pos_2,0.9990339,0.5828934
advocate,role,pos_3,0.99903166,0.5606139
technologist,role,pos_2,0.9990311,0.5839262
economist,role,pos_2,0.9990273,0.58452266
nutritionist,role,pos_3,0.9990258,0.58312035
builder,role,pos_3,0.9990232,0.55733234
planner,role,pos_3,0.99900305,0.57602155
writer,role,pos_3,0.99900293,0.5557923
activist,role,pos_3,0.99899805,0.5616734
