trait,PC1,PC2,PC3,PC4,PC5
zealous,0.53675354,0.020849276,0.2651057,0.15983176,0.0009579316
wry,0.41834694,0.3713193,-0.2674464,0.34546056,0.21695803
witty,0.36464387,0.11506778,0.14823589,0.13982527,-0.025661224
whimsical,0.7216639,-0.076046385,0.033081703,-0.06171254,0.10373387
visceral,0.4775525,0.701328,0.11595378,-0.0009720153,0.041159138
vindictive,0.25959796,0.20801681,-0.26612929,0.34757826,-0.032793347
verbose,0.015679814,-0.22749585,0.19875586,0.09151606,-0.036909457
utilitarian,-0.20256664,-0.113481194,-0.26874754,0.14060377,-0.1779504
urgent,0.057872348,0.008950843,-0.23701304,0.26772967,-0.07160788
universalist,0.10057261,0.069613345,0.08152039,0.029962247,-0.019795593
understated,-0.006402717,0.45221248,-0.16951677,-0.18621255,0.090332165
transparent,-0.65765566,-0.055092778,0.0007890258,0.012024594,-0.12963748
traditional,-0.15071462,0.095827624,-0.12329161,-0.21817116,-0.2127408
theoretical,0.2880514,-0.4218599,0.038294356,0.16352028,0.17849389
theatrical,0.56682855,-0.3036272,0.0617847,0.1087287,0.043280743
temperamental,0.49092406,0.47637853,-0.10871539,0.07087459,0.1020278
technical,-0.06646918,-0.49129122,-0.26543865,0.31930304,0.03426655
tactful,-0.28098625,-0.44333676,0.1501209,-0.47336447,-0.048733458
systems_thinker,-0.0646627,-0.54499114,0.1539019,0.07032948,-0.18099713
sycophantic,0.30742797,0.28956732,0.0893272,-0.102215186,0.21836014
supportive,-0.30018356,-0.49520084,0.26862067,-0.23142827,-0.15997653
subversive,0.52098984,0.16242856,0.15396671,0.23739895,0.3649087
submissive,0.20345147,0.45474184,0.01795228,-0.20666692,0.24808608
structuralist,-0.3257422,-0.66751343,-0.28612778,0.30736187,-0.044174805
stream_of_consciousness,0.48915628,0.4276769,0.24881858,-0.07119779,0.038585253
strategic,-0.30141613,-0.6751929,0.122993484,0.102988765,-0.10277317
stoic,-0.24340475,-0.5737277,-0.34542343,0.13089818,0.07134583
spontaneous,0.694479,0.18802749,0.22299418,-0.018441267,0.09553705
spiritual,0.6147294,-0.36803964,0.3446726,-0.30355585,0.103474945
speculative,0.30881202,-0.17784587,0.25108922,0.08043899,0.11057375
specialized,0.013540591,-0.5324422,-0.18279052,0.32404533,0.0205434
solemn,-0.16919011,-0.72928053,0.07455971,0.0013541919,0.041510403
socratic,0.1449149,0.31912223,0.027907206,-0.13900824,0.35581797
skeptical,-0.06460498,-0.26164666,-0.19845931,0.4338457,0.1907142
serious,-0.24716766,-0.6664086,-0.09602871,0.042601865,0.04856704
serene,0.013721646,-0.58006257,0.26173964,-0.36456785,0.0072505996
secular,-0.3929947,0.08447835,-0.2702873,0.28328958,0.018634334
savage,0.3599059,0.4405182,-0.17274652,0.47574678,0.12941752
sassy,0.29563347,0.27710372,0.012747269,0.42526415,-0.030713899
sardonic,0.42322904,0.47007895,-0.1959098,0.30814973,0.22930275
sarcastic,0.43774652,0.44911432,-0.18291001,0.3299364,0.24005494
romantic,0.7437631,-0.17635733,0.29006007,-0.21815921,0.07411781
ritualistic,0.0062430645,-0.6309622,-0.21363086,0.035759024,0.017928831
risk_taking,0.43545812,-0.018557314,0.18886463,0.21583953,0.13866508
rhetorical,0.5583265,-0.20842457,0.30597785,0.11832733,0.049452685
reverent,0.099025235,-0.617788,0.07389941,-0.21776122,-0.098920666
resilient,-0.37293655,-0.54838586,0.14883152,-0.07859129,-0.14022732
reserved,-0.45027325,-0.30340496,-0.4369409,0.07826284,0.030233325
relativist,0.34573185,0.044521514,0.14063549,0.06527459,0.2534999
regulatory,-0.16458409,-0.03100026,-0.23336983,0.015578983,-0.10784195
reductionist,-0.28914663,0.2373333,-0.39219305,0.08634017,-0.015120512
rebellious,0.34546655,-0.021796642,0.23297927,0.2832867,0.2726778
reactive,0.38146472,0.7161393,0.007918809,-0.13181421,0.09144314
rationalist,-0.43393138,-0.20756201,-0.55772734,0.3325016,-0.009527108
radical,0.40816197,-0.045597576,0.25665343,0.32962993,0.22395827
quantitative,-0.24323747,0.030498976,-0.39325452,0.22760062,-0.064638205
qualitative,0.29245964,-0.19570163,0.51732683,-0.16452013,0.07133644
provocative,0.47847214,-0.038721047,0.144877,0.37600237,0.37344536
progressive,0.008473204,-0.19187188,0.16327564,0.12708448,0.012074818
problem_solving,-0.2933389,-0.296726,-0.04485064,0.16077936,-0.19490899
proactive,-0.20691663,-0.476644,0.18579556,0.17339672,-0.1709769
principled,0.005848199,-0.40077713,0.25862736,-0.03269341,-0.046957817
prescriptive,-0.13796559,-0.15543881,-0.2815002,0.2602463,-0.17452239
practical,-0.27977923,0.3576885,-0.061199933,-0.14902101,-0.17498985
poetic,0.5791459,-0.33867845,0.16830222,-0.11365951,-0.023027005
pluralist,-0.19453076,-0.3082823,0.067881905,-0.19891465,-0.037371863
playful,0.47042754,0.2995558,-0.04256579,-0.06759922,-0.020348633
philosophical,0.48829967,-0.4167276,0.34257922,0.10153399,0.19531998
petty,0.44829193,0.58781314,-0.08326641,0.15535453,0.16574739
pessimistic,0.28809363,0.31567988,-0.14949773,0.35727865,0.22341019
perfectionist,-0.16232014,-0.7180353,-0.090116486,0.19270784,0.017486513
pensive,0.07249894,-0.63720345,0.2910633,0.06691979,0.070442244
pedantic,0.12329963,-0.2701869,-0.19783442,0.2118972,0.20914847
patient,-0.32617223,-0.49312085,0.18384594,-0.18579993,-0.12052369
passive_aggressive,0.41334054,0.44119367,-0.09329363,0.13126482,0.26986855
passionate,0.4410178,0.06993411,0.32105467,0.09964318,-0.03229666
paranoid,0.48792565,0.31358877,0.026933638,0.35752326,0.17608693
paradoxical,0.47506064,-0.08584549,0.21508025,0.054760985,0.23467237
pacifist,0.26555905,-0.17860322,0.3921259,-0.15069921,0.059031386
optimistic,-0.25707865,-0.28043362,0.1668687,-0.37353742,-0.21124727
open_ended,0.11262692,0.051079147,0.16759697,-0.1725429,0.22809988
obsessive,0.5269447,0.24689132,-0.12975763,0.11753832,0.15368451
nurturing,-0.2269416,-0.42523304,0.34067756,-0.33078465,-0.12751193
nostalgic,0.5789812,0.16129893,0.13749577,-0.018577123,-0.04990927
nonchalant,0.2812582,0.5690462,-0.20554154,0.046747215,0.09089068
nihilistic,0.57728565,0.043774765,-0.13494617,0.22262327,0.2961278
neurotic,0.35046595,0.58164406,-0.17544354,0.0062346617,0.13745202
narrative,0.5880984,0.22060134,0.25234744,-0.1150153,-0.034788772
naive,0.14496648,0.4660965,-0.07681174,-0.3844028,0.011534711
mystical,0.7310334,-0.26743898,0.3016113,-0.3080381,0.1399514
moderate,-0.5397725,-0.3366987,-0.0892307,-0.42707318,-0.17803518
mischievous,0.5554623,0.39123273,-0.13532588,0.14627618,0.12632033
misanthropic,0.59525573,0.23090842,-0.052510593,0.37212953,0.2487089
militant,0.50298434,0.29359907,-0.0025772597,0.497754,0.04844208
meticulous,-0.2183656,-0.7515799,-0.12753478,0.14160457,0.04205868
methodical,-0.4709428,-0.6571701,-0.20044404,0.095238395,-0.035884928
metaphorical,0.5679005,-0.2660561,0.18440606,-0.07572967,-0.1061037
mercurial,0.61421955,0.39433208,-0.13180254,0.10435108,0.18493465
melodramatic,0.6705574,-0.17353034,0.07442129,0.08548612,0.09680133
melancholic,0.5408687,0.09949517,-0.13145246,0.24511123,0.17314206
meditative,0.23649575,-0.5214509,0.2573277,-0.40003112,0.12791711
materialist,-0.048526533,0.2191264,-0.4581512,0.23432818,-0.048895214
manipulative,0.45219064,0.5532316,0.043231774,0.11964754,0.20714241
manic,0.43778372,0.39166105,-0.024869293,0.072294876,0.036686394
literal,0.047770873,0.36668476,-0.4295927,-0.05941133,0.13807528
libertarian,0.33621606,0.18095355,0.22532755,0.10172494,0.13087404
judgmental,0.4290892,0.4972162,0.011009874,0.39499998,0.15138446
irreverent,0.3944328,0.6377752,-0.12279597,0.17343928,0.11122661
ironic,0.45008707,0.43151042,-0.04126349,0.24488042,0.25057504
intuitive,0.18432522,-0.27881473,0.4306521,-0.07724625,-0.009256848
introverted,0.08824797,-0.67044157,-0.0064397696,0.04123697,0.114194386
introspective,0.18897378,-0.22162929,0.114463426,0.023339089,0.11419662
interdisciplinary,0.05088589,-0.3964696,0.017639074,0.18018559,-0.13766985
inspirational,-0.27733776,-0.4744423,0.16979483,-0.27628848,-0.1959489
inquisitive,-0.032298952,0.20400007,0.0319116,-0.12765646,0.24723375
innovative,0.3189097,-0.18189558,0.11122522,0.256932,0.10655789
individualistic,0.4088575,0.050887585,0.21222943,0.1376348,0.12309934
independent,-0.08423143,-0.46305567,0.13913856,0.05164932,0.062316295
inclusive,-0.15408099,-0.427841,0.12526675,-0.05661853,-0.054993536
impulsive,0.3736627,0.652146,-0.072637014,0.0035842403,0.10860793
improvisational,0.4185687,0.43987158,0.4042922,-0.115505666,0.14437152
impatient,0.25515667,0.5515051,-0.13215327,0.13701384,0.08104152
idealistic,0.25952375,-0.3244142,0.3306656,-0.13146426,0.07366951
iconoclastic,0.4980824,0.11476291,0.09420919,0.51040494,0.36038765
humble,-0.17190412,0.087432735,-0.04487734,-0.17396232,0.063863054
humanistic,-0.04391545,-0.07374508,0.5269902,-0.3234541,-0.015535969
hostile,0.37302476,0.46131793,-0.15360269,0.46109754,0.12617725
holistic,-0.13083033,-0.4997228,0.2672346,0.10333262,-0.12118078
historical,0.3860299,-0.02164437,-0.054341014,0.15927614,-0.07277054
hedonistic,0.47707868,0.41039613,0.038645744,-0.0013417193,0.12563741
grounded,-0.5077431,0.4267223,-0.19356745,-0.04099767,-0.23333919
gregarious,0.00064542703,0.13099281,0.39638895,-0.15459035,-0.052398756
grandiose,0.62531996,-0.32754543,-0.018173818,0.27591297,0.1292782
goofy,0.46852344,0.47719604,-0.20678107,0.04142301,0.11481286
generous,-0.14154282,-0.4824847,0.30745375,0.06746725,-0.07682414
generalist,-0.20177425,-0.34442076,0.2257674,0.056188673,-0.08230891
futuristic,0.16188064,-0.289425,-0.0075216577,0.19499093,-0.0035250674
