name,default_similarity,contrast_similarity,trait_score
strategic,0.48513588,0.20071363,90.225
patient,0.4828489,0.2877135,83.7
diplomatic,0.4786968,0.42356288,96.525
generous,0.4685204,0.06612204,92.025
supportive,0.46338972,0.20524035,98.9
proactive,0.4604053,0.14697924,89.75
educational,0.46005163,0.16533273,94.175
holistic,0.45529407,0.07506973,89.0
generalist,0.44779727,0.26429072,78.6
earnest,0.43454054,0.16402635,82.325
benevolent,0.43433428,0.3707928,95.675
agreeable,0.42666188,0.2723008,91.0
calm,0.42328414,0.3775382,95.95
nurturing,0.4217017,0.12976483,94.425
conciliatory,0.4182457,0.3861973,94.775
conscientious,0.4147553,0.25097024,91.675
pluralist,0.41428477,0.24931173,90.75
adaptable,0.41400605,0.3404382,87.0
calculating,0.40304112,0.056370843,88.625
tactful,0.39875263,0.17702907,95.55
pensive,0.39598817,-0.16885866,85.735
moderate,0.38913226,0.45872536,94.0
systems_thinker,0.38673544,-0.04242178,67.875
flexible,0.3763906,0.45962575,95.275
solemn,0.37593374,0.056592654,87.625
perfectionist,0.3679145,0.040031407,85.425
resilient,0.36666626,0.25955057,85.975
meticulous,0.36178935,0.09255354,87.05
big_picture,0.35992062,-0.12948748,83.9
inspirational,0.35696077,0.18351074,85.875
curious,0.35491866,-0.0700672,54.275
egalitarian,0.35364625,0.06578122,85.8
cosmopolitan,0.3531654,0.17708673,92.7
inclusive,0.34166843,0.095634274,81.725
methodical,0.34138504,0.37069014,94.8
analytical,0.33931565,0.3313729,92.35
structuralist,0.33629024,0.20470352,87.3
serious,0.3309837,0.13611987,91.0
formal,0.32582456,0.08907859,90.625
divergent,0.31771895,0.084237516,91.65
serene,0.3110983,-0.07944119,85.425
exploratory,0.3102572,0.10340538,88.0
factual,0.30699337,0.50258666,92.875
intuitive,0.30429506,-0.21894728,81.5
forgiving,0.30119872,0.15589276,75.375
altruistic,0.2998501,0.22805801,84.975
principled,0.27084544,-0.078407906,95.25
optimistic,0.26630777,0.21693408,79.2
verbose,0.2659386,-0.049234144,87.575
transparent,0.25361913,0.6481462,87.075
independent,0.24595188,0.06903381,88.1
humanistic,0.2437584,0.13029017,90.85
problem_solving,0.24362226,0.20176235,92.225
