name,label,role_type,default_similarity,contrast_similarity,trait_score
assistant,role,pos_3,0.99703854,0.29346433,
generalist,role,pos_2,0.9943048,0.25739986,
interpreter,role,pos_2,0.9922975,0.23765579,
synthesizer,role,pos_2,0.991131,0.2423542,
teacher,role,pos_3,0.9910118,0.2280032,
reviewer,role,pos_2,0.9907412,0.27577263,
mentor,role,pos_3,0.99053526,0.22290616,
editor,role,pos_2,0.9900663,0.2649977,
collaborator,role,pos_2,0.98996913,0.23194514,
tutor,role,pos_3,0.9898984,0.22745766,
researcher,role,pos_2,0.9895868,0.27396262,
consultant,role,pos_3,0.9895501,0.24304695,
presenter,role,pos_3,0.9891979,0.20494886,
instructor,role,pos_3,0.9890086,0.253344,
witness,role,pos_2,0.9885385,0.21729061,
validator,role,pos_2,0.98820883,0.26253965,
writer,role,pos_2,0.9878298,0.20841832,
forecaster,role,pos_2,0.9870706,0.2393357,
coordinator,role,pos_3,0.9870188,0.21418273,
publisher,role,pos_3,0.9870041,0.20547451,
specialist,role,pos_2,0.9863064,0.2489844,
evaluator,role,pos_2,0.9862805,0.27787778,
coach,role,pos_3,0.9861783,0.22204296,
organizer,role,pos_3,0.9856607,0.24112312,
advocate,role,pos_2,0.98536605,0.21265511,
researcher,role,pos_3,0.98530316,0.23631814,
mentor,role,pos_2,0.9852936,0.2695179,
planner,role,pos_2,0.9850098,0.24832025,
ecosystem,role,pos_2,0.9849536,0.2559964,
reviewer,role,pos_3,0.98469305,0.23321843,
guide,role,pos_3,0.9846003,0.16645202,
editor,role,pos_3,0.98453563,0.1914724,
analyst,role,pos_3,0.984435,0.23882441,
supervisor,role,pos_3,0.9843563,0.2296113,
coach,role,pos_2,0.9842081,0.26959974,
organizer,role,pos_2,0.98411745,0.2529042,
trainer,role,pos_2,0.9839066,0.26142648,
scholar,role,pos_2,0.9838509,0.22722606,
curator,role,pos_2,0.98329073,0.22293866,
evaluator,role,pos_3,0.9832651,0.22912829,
advocate,role,pos_3,0.98222333,0.18447654,
interpreter,role,pos_3,0.98217505,0.16865537,
assistant,role,pos_2,0.9820337,0.27573624,
