trait,PC1,PC2,PC3,PC4,PC5
zealous,-0.80277205,-0.06346349,0.11216791,-0.16486955,0.12723944
wry,-0.64863205,0.29485214,0.56612945,0.0038958462,-0.072487414
witty,-0.71305895,0.28839988,0.3311542,-0.08241034,0.16446625
whimsical,-0.85915697,0.13267672,0.18614568,0.090964116,0.089779474
visceral,-0.8642347,0.37422365,0.05953747,-0.14115123,-0.037202083
vindictive,0.0878108,-0.2602171,0.5263731,-0.16552523,-0.1219089
verbose,0.2748421,-0.28590468,0.17396435,-0.19911663,0.11532668
utilitarian,0.40523556,0.042497534,0.30880013,0.06397349,0.32324374
urgent,-0.32561305,0.045515537,0.42335165,-0.17026885,0.123569116
universalist,-0.18396632,-0.15132682,-0.055440392,-0.1447606,-0.14547493
understated,0.042556573,0.42393097,-0.104566306,0.37311012,-0.2422805
transparent,0.80027544,-0.0070859226,0.075432256,-0.05383324,-0.024677357
traditional,0.44068176,0.010920413,-0.33431348,0.40005615,-0.020204797
theoretical,0.0984991,-0.64613193,0.15037535,-0.14998758,-0.2958879
theatrical,-0.72928935,-0.31568316,0.22381993,0.011689792,0.14179055
temperamental,-0.79864955,0.33196402,0.2980861,-0.040039197,-0.03922535
technical,0.48250264,-0.50567406,0.5190498,0.027875941,-0.034450654
tactful,0.527501,-0.20374146,-0.55498385,0.19090053,0.18385948
systems_thinker,0.14547901,-0.34059566,0.06341379,-0.341845,0.3859426
sycophantic,-0.5847247,0.2330517,-0.2510146,0.0006061713,0.036799863
supportive,0.339804,-0.08758447,-0.48585838,0.0211319,0.38806814
subversive,-0.6514327,0.033900477,0.30119118,-0.37818927,-0.032540314
submissive,-0.26622495,0.38008606,-0.37915927,0.23031558,-0.19996795
structuralist,0.65852845,-0.45779124,0.42366043,-0.017138967,0.039636247
stream_of_consciousness,-0.69721496,0.30265537,0.036151968,-0.14391789,0.06785223
strategic,0.57426006,-0.47507635,0.1282815,-0.15354568,0.23861876
stoic,0.66396827,-0.56212765,0.14433724,0.12389776,-0.13307455
spontaneous,-0.8949611,0.15881348,0.077196404,-0.14919181,0.10959831
spiritual,-0.6141736,-0.4349966,-0.39148107,-0.0128000965,0.022292214
speculative,-0.27425396,-0.18271068,0.08660722,-0.3529033,0.29094553
specialized,0.27996185,-0.5042482,0.54134184,-0.085964195,0.01758562
solemn,0.6467378,-0.6472483,-0.24285626,-0.067425184,-0.05050926
socratic,-0.29513377,0.23333064,-0.11171154,0.06911435,-0.17372912
skeptical,0.11251158,-0.22362214,0.545035,-0.29148737,-0.13428016
serious,0.69790816,-0.6032247,-0.13446222,0.019179074,-0.091990925
serene,0.4259611,-0.51296324,-0.5759989,0.11235736,0.103857115
secular,0.45581797,0.16154483,0.25984284,-0.11615542,0.09658748
savage,-0.6604267,0.20171377,0.5378233,-0.20674516,-0.12887155
sassy,-0.7026784,0.3837501,0.4151316,-0.11641283,0.033910595
sardonic,-0.7010452,0.32487088,0.49452704,-0.02389841,-0.11583629
sarcastic,-0.720036,0.2803489,0.47847608,-0.061500568,-0.13851233
romantic,-0.88011795,-0.2401575,-0.2306901,0.05278054,0.06746446
ritualistic,0.40168285,-0.70756745,-0.010963475,0.1827409,-0.04791789
risk_taking,-0.6679769,-0.033201344,0.18968129,-0.35894978,0.16898187
rhetorical,-0.6527242,-0.33657327,0.03617145,-0.29370382,0.26068717
reverent,0.31172702,-0.6631506,-0.41025886,0.18990849,0.07103162
resilient,0.65311205,-0.40630186,-0.17281137,0.044456795,0.23413505
reserved,0.72694016,-0.3427662,0.123422794,0.22874494,-0.112012416
relativist,-0.17448474,-0.27940503,-0.029376794,-0.2601688,-0.13534555
regulatory,0.55192935,-0.14900412,-0.0017311403,0.25245988,-0.17007717
reductionist,0.26259395,0.36151212,0.380537,0.36227563,-0.0100963935
rebellious,-0.55771196,0.055584803,0.24779995,-0.48357785,-0.03604605
reactive,-0.76796305,0.5056151,-0.06962547,0.016447604,-0.09034672
rationalist,0.6850274,-0.12725173,0.5578139,0.163076,-0.1276008
radical,-0.4310909,-0.22573408,0.24289234,-0.47239205,-0.16687307
quantitative,0.41017106,0.10460997,0.58745635,0.24049953,-0.06404861
qualitative,-0.4233817,-0.19571947,-0.5143147,-0.39552283,0.107390806
provocative,-0.4926496,-0.16446728,0.34363014,-0.48426846,-0.06926745
progressive,-0.2548048,-0.013697921,0.20570506,-0.35163215,0.1244144
problem_solving,0.40309787,-0.0050970456,0.31079045,-0.07195935,0.3305858
proactive,0.3586954,-0.22883955,0.19729525,-0.2538107,0.36548796
principled,0.038274575,-0.3562081,-0.23571599,-0.11679909,-0.2548398
prescriptive,0.2213751,-0.020435462,0.48689243,0.19499293,0.0369855
practical,-0.10188956,0.5956639,-0.054272823,0.16339506,0.3272446
poetic,-0.7942886,-0.26613536,0.0059413994,0.1018258,0.12921931
pluralist,0.20165092,0.10159639,-0.29571632,0.20899393,0.10293946
playful,-0.7576359,0.30740222,0.21433674,0.084019594,0.19374858
philosophical,-0.26509732,-0.60819674,0.012460755,-0.387152,-0.041812465
petty,-0.62233144,0.23302594,0.35554168,-0.1392596,-0.1868445
pessimistic,-0.022572793,-0.13369696,0.5565725,-0.2768736,-0.22292578
perfectionist,0.5695051,-0.6133512,0.22908796,-0.049111847,0.005866061
pensive,0.38314795,-0.61140984,-0.13990277,-0.28997147,0.083948515
pedantic,0.3552346,-0.5032943,0.47945613,0.05201719,-0.14286904
patient,0.6778002,-0.43097165,-0.31162608,0.050274424,0.13187318
passive_aggressive,-0.73898894,0.31937537,0.37084243,-0.053218726,-0.092153646
passionate,-0.7430451,0.15343243,0.0969961,-0.23482436,0.18494087
paranoid,-0.22645478,-0.31959483,0.4231936,-0.4030183,-0.05843842
paradoxical,-0.5701472,-0.38782522,-0.025817268,-0.3100636,0.06804262
pacifist,-0.24893661,-0.2320457,-0.47231412,-0.20724738,-0.09086211
optimistic,-0.1442283,0.18705326,-0.55393344,0.24904916,0.25260147
open_ended,-0.10410845,-0.024772104,-0.34612775,-0.2184199,0.005574009
obsessive,-0.58826244,-0.17716835,0.38034946,-0.14837243,-0.0084748585
nurturing,0.15580542,-0.055137295,-0.6101448,0.04573808,0.36835608
nostalgic,-0.6985783,-0.22978611,-0.15877515,0.13997245,0.0016034208
nonchalant,-0.6638215,0.50826406,0.30580476,0.052118454,-0.1515833
nihilistic,-0.48965204,-0.3026285,0.34925568,-0.1220742,-0.3088642
neurotic,-0.6477354,0.49564025,0.20057258,-0.032699145,-0.17376347
narrative,-0.7350965,-0.054360624,0.03957347,-0.033429716,0.25202096
naive,-0.4210404,0.40671864,-0.43393835,0.38031355,-0.029954784
mystical,-0.7411783,-0.3546814,-0.38667637,-0.023296028,0.02512259
moderate,0.71869916,0.004340987,-0.37352824,0.31886926,0.11379889
mischievous,-0.7932722,0.30877155,0.3307555,0.047379956,0.06189945
misanthropic,-0.69210774,-0.05060503,0.49212155,-0.1745992,-0.24835384
militant,-0.6097875,-0.12284129,0.5052393,-0.2866645,0.0056898184
meticulous,0.64972097,-0.5739547,0.10886238,-0.04776217,0.025923215
methodical,0.8769272,-0.3317691,0.073251694,0.0837525,-0.0068499586
metaphorical,-0.70578486,-0.29844594,-0.008753694,-0.05481823,0.3340297
mercurial,-0.8674029,0.21892121,0.2981394,-0.059502367,-0.0060086697
melodramatic,-0.80422324,-0.24009962,0.20687884,0.0072059995,0.07901691
melancholic,-0.5878484,-0.27928773,0.36616325,-0.16153903,-0.19973971
meditative,0.026204348,-0.52672434,-0.60136604,0.05435308,-0.038881607
materialist,0.2766787,0.19685121,0.55025953,0.34691125,-0.08396181
manipulative,-0.6141302,0.152971,0.22594287,-0.24811791,-0.034637418
manic,-0.7965386,0.2983306,0.26962855,-0.0082155345,0.043782853
literal,0.15870175,0.2648787,0.08919984,0.5161081,-0.35140985
libertarian,-0.38258106,-0.07375979,-0.13765606,-0.18061519,-0.10787643
judgmental,-0.58665055,0.12923884,0.47985196,-0.3684356,-0.1506042
irreverent,-0.74093544,0.48149198,0.3463758,-4.627183e-05,-0.031042647
ironic,-0.7409865,0.26719537,0.40976274,-0.093923055,-0.059249893
intuitive,-0.55237913,-0.112251826,-0.3520165,-0.40925163,0.26870662
introverted,0.39134306,-0.73981786,-0.107879154,-0.18019843,-0.17850439
introspective,0.03149208,-0.274685,0.09684837,-0.32456368,0.1033705
interdisciplinary,0.07563395,-0.30896285,0.22069824,-0.3234576,0.32908493
inspirational,0.13727449,-0.116241544,-0.48174018,0.15323554,0.34958518
inquisitive,0.009121516,0.14967576,0.050297335,0.07217686,0.049303584
innovative,-0.46844774,-0.098357715,0.34706405,-0.30591717,0.20697807
individualistic,-0.7461396,0.094255514,0.089125425,-0.26136768,0.04351753
independent,-0.17229784,-0.09038413,-0.1507188,-0.225177,-0.063845225
inclusive,0.0071878275,-0.028390516,-0.047736693,-0.15086234,0.13985981
impulsive,-0.6355036,0.35046533,0.05997116,0.07013423,-0.12617368
improvisational,-0.81891215,0.21350962,-0.15353611,-0.22422819,0.11434834
impatient,-0.68675697,0.39007518,0.21544245,-0.078130275,-0.012608527
idealistic,-0.20631064,-0.58085227,-0.37923753,-0.1014352,-0.07977092
iconoclastic,-0.536551,-0.02670411,0.466404,-0.4613182,-0.15327162
humble,-0.03825077,0.3993358,-0.14088951,0.11010785,-0.08583523
humanistic,-0.18568079,0.07390292,-0.69576955,-0.21989745,0.041040637
hostile,-0.69021964,0.27950537,0.4993475,-0.15804559,-0.17426284
holistic,0.19018123,-0.40118968,0.023610106,-0.3833582,0.34180567
historical,-0.15376104,-0.32034275,0.42927733,-0.05058352,-0.011198595
hedonistic,-0.7492304,0.39503157,0.07187572,0.0794979,0.05359781
grounded,0.26135144,0.6515609,0.07713236,0.28231722,0.15388283
gregarious,-0.45326364,0.48706964,-0.24486727,0.0065221414,0.24610475
grandiose,-0.6373452,-0.5189562,0.2693461,-0.12160948,0.069955334
goofy,-0.7511371,0.39342025,0.32413676,0.11808936,-0.023914514
generous,0.256427,-0.24060912,-0.0639461,-0.27954322,0.27851272
generalist,0.10541508,-0.21622857,-0.09554126,-0.388631,0.28533736
futuristic,-0.00928063,-0.28345203,0.32386908,-0.2182261,0.27010477
fundamentalist,-0.2970315,-0.12264299,0.080304965,0.20961095,-0.32249546
formalist,0.700834,-0.40167937,0.3306558,0.23009145,-0.097406015
formal,0.6465306,-0.6476957,-0.04629492,0.032775737,-0.082742795
forgiving,-0.22650813,0.09069476,-0.70852643,0.11263731,0.116004094
flirty,-0.8656623,0.23399839,0.106729284,0.034875084,0.10371386
flippant,-0.7248646,0.48355338,0.31387356,0.080692306,-0.10994777
flexible,0.25032392,0.3354443,-0.32552296,0.09182383,0.32658565
fatalistic,-0.56939465,-0.39002255,0.09058116,0.05402112,-0.21840209
factual,0.8462486,-0.1813587,0.048282836,0.09282431,-0.13874237
extroverted,-0.60113144,0.43945268,0.086707324,0.0020037936,0.22743689
exploratory,0.28792858,-0.11078885,0.1306628,-0.15549001,0.25258616
experiential,-0.13473575,0.5120594,0.07708166,0.043334678,0.320549
existentialist,-0.3749427,0.24314234,-0.27837196,-0.23322013,-0.008998934
evil,-0.63550144,0.06811653,0.48174465,-0.1849016,-0.15049179
ethereal,-0.870564,-0.33020946,-0.10620699,0.16131812,0.0029008798
essentialist,-0.12188218,-0.35761937,0.14536786,0.12771672,-0.1587257
esoteric,-0.19027214,-0.5352576,0.4645621,-0.0043328977,-0.16044281
erudite,0.34557918,-0.6778446,0.33685943,-0.1215625,-0.088719234
epicurean,-0.36115697,-0.54508865,0.007721768,-0.034857918,0.1703768
environmental,-0.1589213,-0.22918566,-0.21160625,-0.098416284,0.021947201
entertaining,-0.7448892,0.34894633,0.21661477,-0.06206652,0.20171195
enigmatic,-0.85630715,-0.3278383,0.035675295,0.022209214,0.04920034
empathetic,-0.4244791,0.3201036,-0.5325226,-0.2495907,0.18584242
emotional,-0.64734477,0.21965857,-0.33813882,-0.29169136,0.17891067
eloquent,-0.2104889,-0.6706481,-0.003579817,-0.22934492,0.20077226
elitist,-0.05272786,-0.48575956,0.33088103,-0.19617653,-0.015805883
egalitarian,-0.098736756,-0.02369278,-0.26457137,-0.3448476,0.10415059
effusive,-0.73939514,0.259522,0.077287905,-0.038874242,0.109081775
efficient,-0.33345255,0.30201304,-0.094831035,0.15265238,-0.04886086
educational,0.5215535,-0.31834355,0.080516696,-0.1593107,0.20448339
edgy,-0.767745,0.27579063,0.44993713,-0.15698047,-0.05222147
eclectic,-0.20372838,-0.41583154,0.19526035,-0.21299256,0.17339733
earnest,0.54472554,-0.5219987,-0.48852268,-0.12925485,0.15601872
dramatic,-0.79411113,-0.26634532,0.12300257,-0.11107953,0.14748459
dominant,-0.051049888,-0.27434045,0.50764483,-0.26757216,0.25587255
dogmatic,-0.4325315,-0.22992873,0.1501109,-0.09179949,-0.22286618
divergent,0.09594532,-0.18038754,0.16330391,-0.12783496,0.24024042
dispassionate,0.7220429,-0.32295728,0.26429352,0.2439456,-0.18305334
disorganized,-0.75518435,0.41610876,0.22457224,-0.02130585,-0.074179955
diplomatic,0.7261449,-0.16508494,-0.38301152,0.32688203,0.133512
deterministic,-0.11993096,-0.4342092,0.3160265,-0.015411949,-0.1772319
detached,0.6383984,-0.33248183,0.4173564,0.23843269,-0.19488253
descriptive,0.5597785,-0.14925489,0.042165548,0.4524493,-0.20361525
deontological,-0.21443906,-0.19050877,-0.0708555,-0.045461245,-0.35592687
deferential,0.016371716,0.12764587,-0.4488193,0.33180982,-0.15039806
deconstructionist,-0.16962674,-0.35378984,0.32380605,-0.46469256,-0.050844636
decisive,-0.061769795,-0.095541246,0.1827444,0.0030475855,0.046454504
data_driven,0.5478424,-0.06606419,0.56245226,0.26811284,-0.14886825
cynical,-0.26007095,-0.072387524,0.7172707,-0.31019253,-0.16202334
curious,0.013068089,-0.13153693,-0.101256795,-0.22919402,0.33205003
cryptic,-0.7910817,-0.45588794,0.10046827,0.06619372,0.03357116
cruel,-0.597854,0.1176577,0.5768697,-0.11931935,-0.20594905
critical,-0.1494291,-0.2845821,0.330745,-0.543652,-0.11162934
creative,-0.5376779,-0.1810386,0.15494618,-0.22379403,0.313858
cosmopolitan,0.3258356,-0.22647795,-0.018486071,-0.09034869,0.067093246
convergent,0.17655468,0.008215153,0.2677562,0.095010154,-0.05761071
contrarian,-0.48032212,-0.0577461,0.38389236,-0.50781834,-0.0799499
contemporary,0.21601936,0.45413658,0.16719778,-0.050024156,0.23814474
constructivist,-0.1422997,-0.25001532,-0.21881984,-0.3764239,0.101141885
conscientious,0.6976737,-0.5543142,-0.11497927,-0.0014606586,0.13032378
confrontational,-0.39747152,-0.101061486,0.5520722,-0.4026143,-0.13720734
confident,-0.39758372,-0.17812401,0.21201672,-0.11647941,0.012358761
condescending,-0.7092343,0.064094156,0.47887775,-0.11710829,-0.07319786
concise,-0.30746987,0.18888944,-0.10724901,0.18384294,-0.140558
conciliatory,0.65911794,0.028280787,-0.50488394,0.2909573,0.14953563
conceptual,0.0020317938,-0.62995034,-0.08125195,-0.27027425,-0.25109458
competitive,-0.553946,-0.06662125,0.59425205,-0.22209716,0.14746077
collectivistic,0.17037003,-0.300476,-0.21767609,0.08663999,0.09519085
collaborative,0.10322452,0.030340701,-0.12996207,0.07769566,0.21432374
closure_seeking,-0.14625134,0.06455666,0.15890303,0.1671024,-0.05253337
circumspect,0.36816585,-0.26302567,-0.22996172,-0.111840606,0.11659591
chill,0.3452291,0.19265223,-0.5768024,0.24582791,0.14228041
charismatic,-0.59252506,-0.04058777,0.0058612064,-0.27480283,0.33913365
chaotic,-0.44609925,-0.082278326,0.25312483,-0.21878089,0.12938356
challenging,-0.22736827,-0.1716815,0.45646775,-0.38309997,-0.060241453
cautious,0.52320325,-0.1372846,0.1923724,-0.038467504,-0.17727119
casual,-0.6380524,0.6504907,-0.020491242,-0.042064346,0.11246752
calm,0.8173091,-0.28527611,-0.32917228,0.17237253,0.088194884
callous,-0.27812034,-0.11482933,0.655408,-0.100321606,-0.236651
calculating,0.604035,-0.47088125,0.03767947,-0.10922902,0.3072635
bombastic,-0.56206644,-0.51077116,0.33924147,0.027773682,-0.0072284443
blunt,-0.2735854,0.15675612,0.6013814,-0.11586936,-0.14159842
bitter,-0.780287,0.2792419,0.4191848,-0.15196766,-0.14413776
big_picture,0.11251195,-0.5745529,-0.23676118,-0.47107148,0.06500497
benevolent,0.11907969,0.13806042,-0.7240678,0.093811736,0.17032781
avoidant,0.006081324,0.32097873,0.017848568,0.37274525,-0.24074233
assertive,-0.5625242,-0.0064064898,0.25127417,-0.31828073,0.0539147
ascetic,-0.12034624,-0.5441751,-0.16251539,-0.034247443,-0.2708727
artistic,-0.68151945,-0.17620617,-0.25613534,-0.10211359,0.24233785
arrogant,-0.6370529,-0.08980073,0.49521688,-0.2209436,-0.08539474
anxious,-0.5137584,0.5105502,0.24723719,-0.094516985,-0.13650453
anthropocentric,0.09653206,0.02033917,0.1388035,-0.09454327,0.027548406
animated,-0.62304395,0.2196013,0.12562138,-0.14301866,0.30772382
analytical,0.73592967,-0.21195418,0.32345992,-0.036983192,0.08905896
altruistic,0.083317205,-0.18801345,-0.50752056,0.122316055,-0.014205923
agreeable,0.54479873,-0.09501348,-0.591321,0.28417474,0.1917322
adventurous,-0.7080625,0.07338404,0.18924439,-0.21212341,0.1776132
adaptable,0.104651034,0.19817281,-0.26369447,-0.16344154,0.39388862
acerbic,-0.6635155,0.2192869,0.59484,-0.07408103,-0.1441664
accommodating,-0.17608684,0.4758777,-0.44905144,0.113675095,0.20557803
accessible,-0.07401433,0.4556251,-0.40019083,-0.038672987,0.26341137
abstract,0.04393985,-0.66397375,-0.015670946,-0.29464018,-0.18944961
absolutist,-0.24112199,-0.38536415,0.08590191,-0.17047581,-0.18283321
