name,default_similarity,contrast_similarity,trait_score
pensive,0.67028624,-0.19238068,91.3
educational,0.617347,0.035930354,93.5
meticulous,0.6045916,0.0918861,87.225
earnest,0.60319823,0.15900473,88.235
generous,0.57442534,-0.1841591,92.475
calculating,0.56380147,0.09121913,91.175
circumspect,0.55470383,-0.045021772,83.9
analytical,0.55448055,0.25345194,93.375
strategic,0.55252725,0.046586327,92.025
solemn,0.5443207,0.22573455,90.05
proactive,0.53970253,-0.08659215,88.15
verbose,0.53495234,-0.25040588,85.875
transparent,0.53010595,0.4605425,94.9
patient,0.52456677,0.35193837,99.275
exploratory,0.51670545,-0.1339631,88.725
generalist,0.5052745,-0.18393251,79.3
conscientious,0.50232774,0.27531168,92.125
perfectionist,0.50214505,0.011408524,84.035
holistic,0.5018053,-0.2596369,89.925
methodical,0.49557197,0.4709825,94.0
serious,0.4731598,0.31031907,91.65
introspective,0.47309044,-0.49878213,74.85
calm,0.473085,0.55397797,95.175
formal,0.45334467,0.22910197,91.175
big_picture,0.44085982,-0.23434073,87.8
factual,0.4402032,0.5037025,93.9
cautious,0.43921593,0.17417139,93.825
systems_thinker,0.43245533,-0.28913003,78.75
tactful,0.43127382,0.31960493,95.545
introverted,0.42837226,-0.032926492,36.2
resilient,0.4253737,0.3481258,90.425
diplomatic,0.4113549,0.5309451,92.675
divergent,0.41033363,-0.2986229,90.625
moderate,0.40751925,0.5703881,93.425
serene,0.402436,0.16668619,87.75
supportive,0.40001214,0.16395308,97.0
interdisciplinary,0.37846565,-0.34411502,80.575
curious,0.37766668,-0.33630413,58.8
problem_solving,0.37037462,0.07954917,93.25
agreeable,0.3697542,0.42370164,90.0
structuralist,0.36784366,0.16924317,90.05
reverent,0.3551661,0.008127614,72.65
conciliatory,0.35351473,0.5593785,94.8
ritualistic,0.3312792,-0.028325308,87.65
formalist,0.32971248,0.28659207,89.325
stoic,0.32412618,0.34209317,82.025
nurturing,0.3161988,0.05826959,94.125
adaptable,0.31583354,0.023951424,89.025
cosmopolitan,0.3150193,0.12296322,93.2
meditative,0.30097544,-0.20874158,80.575
eloquent,0.3000767,-0.6223649,77.51
speculative,0.2946565,-0.63715726,84.15
philosophical,0.28966448,-0.6813451,73.8
erudite,0.28475657,-0.16610967,77.85
qualitative,0.2792529,-0.49639755,76.075
secular,0.2788549,0.34504798,92.975
constructivist,0.27371377,-0.41839504,84.425
utilitarian,0.2657912,0.18882176,60.475
open_ended,0.26064196,-0.24351366,89.3
accessible,0.25744686,0.048305742,87.275
pedantic,0.2508377,-0.17793393,24.975
technical,0.22672981,0.003424121,86.55
abstract,0.2221113,-0.29070687,86.775
deconstructionist,0.22191119,-0.5732293,31.45
conceptual,0.2041484,-0.2843585,89.675
reserved,0.20035905,0.5551547,77.825
benevolent,0.19908716,0.19144188,94.78
flexible,0.19241771,0.33603638,94.275
dispassionate,0.18869047,0.5102602,81.71717171717172
futuristic,0.18644208,-0.33571303,55.525
traditional,0.16986813,0.46115497,71.225
relativist,0.16330995,-0.42242607,69.575
humanistic,0.158441,-0.07577549,91.225
egalitarian,0.15826377,-0.15180911,88.0
skeptical,0.15634315,-0.27479452,87.275
chill,0.15585999,0.42845348,71.45
inclusive,0.1557455,-0.13910607,81.25
rationalist,0.14895944,0.44033998,88.65
critical,0.14838979,-0.4678388,58.625
elitist,0.1481618,-0.41567814,0.625
collectivistic,0.1469337,0.06049075,86.525
theoretical,0.14519529,-0.2673436,78.975
eclectic,0.14376621,-0.54731524,82.2
specialized,0.14340302,-0.17358474,87.0
regulatory,0.13216607,0.45528975,84.65
pluralist,0.13162944,0.21578538,88.975
detached,0.1155798,0.44077134,41.05
inquisitive,0.11154639,-0.2259119,69.225
pessimistic,0.110251725,-0.2466903,28.775
descriptive,0.110178605,0.49017355,94.375
paranoid,0.10857547,-0.52178144,2.55
vindictive,0.10349867,-0.17295992,0.375
challenging,0.102560565,-0.56110924,55.275
inspirational,0.0880305,0.141631,89.825
paradoxical,0.08215495,-0.79526126,90.675
altruistic,0.080332994,0.13665135,83.925
anthropocentric,0.072154805,0.03255083,33.075
idealistic,0.06203408,-0.32238835,75.6
pacifist,0.060976006,-0.267497,40.6
empathetic,0.055643667,-0.31395265,94.425
accommodating,0.05537856,-0.05849666,98.15
dominant,0.053363428,-0.29239622,63.425
collaborative,0.041924577,0.066398606,56.325
deterministic,0.039956544,-0.41378102,13.65
ascetic,0.035606474,-0.25789103,23.925
rhetorical,0.034404997,-0.8284321,30.4
contemporary,0.02999503,0.2942919,47.95
creative,0.02989224,-0.75411475,67.675
epicurean,0.028248796,-0.5915394,48.475
principled,0.026348475,-0.02168999,95.175
intuitive,0.01888954,-0.5160797,86.025
environmental,0.015457078,-0.19485211,27.875
forgiving,-0.0044627474,-0.05294436,74.05
absolutist,-0.017311955,-0.3630694,10.5
chaotic,-0.021870155,-0.5563046,29.975
humble,-0.026298126,0.061616294,59.425
independent,-0.0270861,-0.103819385,90.015
contrarian,-0.037929047,-0.62757397,9.675
emotional,-0.04287324,-0.5468927,86.8
provocative,-0.04453544,-0.6798125,20.85
metaphorical,-0.04506168,-0.8003818,7.95
deferential,-0.045783702,0.07344418,93.175
charismatic,-0.047613345,-0.6372092,62.325
libertarian,-0.049371023,-0.34498549,11.975
artistic,-0.056187585,-0.68146205,63.0
historical,-0.061585926,-0.39320412,15.1
reductionist,-0.07679438,0.34460786,85.725
cynical,-0.07854429,-0.38907784,3.2
universalist,-0.08929163,-0.09729782,58.7
experiential,-0.09029504,-0.0015858777,36.375
prescriptive,-0.09662506,0.1708362,86.8
data_driven,-0.09964931,0.4155976,44.925
spiritual,-0.10422298,-0.62367475,55.9
narrative,-0.10615068,-0.7855207,2.275
progressive,-0.11072847,-0.2704995,90.175
grandiose,-0.11377675,-0.8139585,0.325
essentialist,-0.11870522,-0.19423656,32.6
convergent,-0.12450251,0.16809943,50.575
innovative,-0.12984203,-0.59008956,47.55
rebellious,-0.13503194,-0.5571629,19.55
existentialist,-0.13780814,-0.15484406,71.4
nihilistic,-0.13962077,-0.55100054,0.0
melancholic,-0.13964836,-0.6455269,11.225
obsessive,-0.1415944,-0.77573925,8.625
radical,-0.1446997,-0.47460157,10.625
quantitative,-0.14862703,0.32019967,39.949748743718594
grounded,-0.15999186,0.54665613,92.75
optimistic,-0.16635905,0.11682139,81.1
iconoclastic,-0.17061076,-0.57488525,10.95
dramatic,-0.175736,-0.80321586,32.175
mystical,-0.17608456,-0.6720231,49.4
practical,-0.1777517,0.20744893,92.625
bombastic,-0.1808275,-0.6761475,16.975
risk_taking,-0.18442458,-0.69686735,36.75
gregarious,-0.18480188,-0.23529577,74.4
animated,-0.1939385,-0.5289967,71.685
subversive,-0.19589636,-0.6832824,15.9
socratic,-0.1976811,-0.26432732,31.725
fatalistic,-0.19795896,-0.57538825,0.875
theatrical,-0.20472789,-0.77684534,14.45
deontological,-0.20919889,-0.13745531,52.325
manipulative,-0.21598992,-0.58546305,0.0
confrontational,-0.22576565,-0.4205621,30.725
stream_of_consciousness,-0.23192197,-0.56061035,17.9
nostalgic,-0.23311757,-0.62715733,10.375
urgent,-0.23928596,-0.28686577,66.9
esoteric,-0.24576466,-0.40441722,65.425
competitive,-0.24657889,-0.58600265,4.05
materialist,-0.24992175,0.3385818,25.275
passionate,-0.25562656,-0.6265524,52.15
dogmatic,-0.26145926,-0.36263305,2.5
militant,-0.26184547,-0.6033425,0.725
decisive,-0.26992914,0.10013454,35.25
callous,-0.28052694,-0.26062363,0.0
judgmental,-0.28327277,-0.5024831,0.05
understated,-0.28420213,0.361661,11.65
sycophantic,-0.28429717,-0.3910875,4.1
individualistic,-0.28561366,-0.6330189,67.4
enigmatic,-0.28588098,-0.7990321,9.775
melodramatic,-0.2889177,-0.76273805,4.4
anxious,-0.29645437,-0.30138206,7.375
assertive,-0.29653206,-0.44174832,25.8
cryptic,-0.29696402,-0.76471204,4.075
improvisational,-0.2975685,-0.6239117,85.925
petty,-0.29811898,-0.55631983,0.225
romantic,-0.29868528,-0.7250872,29.9
zealous,-0.30022296,-0.69552296,47.575
confident,-0.31036294,-0.26499045,74.0
arrogant,-0.31204513,-0.5972406,0.2
submissive,-0.3142853,0.03243101,10.7
poetic,-0.31431895,-0.70856386,23.8
adventurous,-0.31658417,-0.59934974,47.875
evil,-0.33704224,-0.5346191,0.0
entertaining,-0.3484285,-0.5533936,16.125
ethereal,-0.34894985,-0.71830213,31.7
condescending,-0.35494754,-0.6535842,0.325
extroverted,-0.3551483,-0.34285766,63.075
naive,-0.36131683,0.011887727,3.1
witty,-0.3640368,-0.5547801,7.45
blunt,-0.37649325,-0.07838177,9.55
effusive,-0.3807943,-0.5284176,26.35
