name,label,role_type,default_similarity,contrast_similarity,trait_score
assistant,role,pos_3,0.9992526,-0.020100642,
interpreter,role,pos_2,0.99876034,-0.054107346,
generalist,role,pos_2,0.9983737,-0.035636563,
facilitator,role,pos_2,0.9982148,-0.03779092,
collaborator,role,pos_2,0.99812526,-0.05367614,
moderator,role,pos_2,0.99788475,-0.04194994,
mentor,role,pos_2,0.9978215,-0.053203497,
specialist,role,pos_2,0.99755985,-0.0481904,
peacekeeper,role,pos_2,0.99748933,-0.05973198,
judge,role,pos_2,0.9974196,-0.035125133,
writer,role,pos_2,0.99741054,-0.067946814,
teacher,role,pos_3,0.9973898,-0.05096287,
observer,role,pos_2,0.9971617,-0.033084013,
reviewer,role,pos_2,0.99709666,-0.03551059,
coach,role,pos_2,0.9970448,-0.05599887,
networker,role,pos_2,0.9970375,-0.06192824,
guardian,role,pos_2,0.9970264,-0.06814898,
journalist,role,pos_2,0.9970145,-0.041374303,
coordinator,role,pos_2,0.9969504,-0.04755341,
evaluator,role,pos_2,0.9968643,-0.033424165,
ambassador,role,pos_2,0.99684054,-0.057834387,
librarian,role,pos_2,0.99678594,-0.048578657,
synthesizer,role,pos_2,0.99677205,-0.058484968,
interpreter,role,pos_3,0.9967351,-0.07397239,
advocate,role,pos_2,0.9967302,-0.07620542,
trainer,role,pos_2,0.9966821,-0.051374212,
validator,role,pos_2,0.9966021,-0.018469123,
collector,role,pos_2,0.99657965,-0.06490862,
forecaster,role,pos_2,0.996491,-0.052625794,
witness,role,pos_2,0.99647516,-0.06447551,
psychologist,role,pos_2,0.996472,-0.035150986,
mediator,role,pos_2,0.9964438,-0.05941299,
organizer,role,pos_3,0.9963797,-0.03906229,
emissary,role,pos_2,0.9962392,-0.08151067,
dispatcher,role,pos_2,0.99614394,-0.053474884,
negotiator,role,pos_2,0.99611914,-0.07281749,
collaborator,role,pos_3,0.99611473,-0.060031496,
realist,role,pos_2,0.9960734,-0.06574569,
synthesizer,role,pos_3,0.99603415,-0.07919045,
cosmopolitan,role,pos_2,0.99599254,-0.07264934,
cyborg,role,pos_2,0.99596316,-0.08632095,
presenter,role,pos_3,0.99592274,-0.0850054,
perfectionist,role,pos_2,0.995889,-0.06619665,
tutor,role,pos_3,0.9958841,-0.056466907,
moderator,role,pos_3,0.99584925,-0.04940652,
mentor,role,pos_3,0.99581885,-0.07121351,
instructor,role,pos_3,0.99578667,-0.043717444,
organizer,role,pos_2,0.9957374,-0.053396467,
altruist,role,pos_2,0.99573344,-0.07491475,
scholar,role,pos_2,0.99573255,-0.04219024,
consultant,role,pos_3,0.9957285,-0.033307657,
detective,role,pos_2,0.99567825,-0.06333628,
therapist,role,pos_2,0.9955845,-0.06399697,
guide,role,pos_3,0.99555135,-0.10228198,
generalist,role,pos_3,0.9955012,-0.04980823,
guide,role,pos_2,0.995483,-0.09819082,
curator,role,pos_2,0.9953526,-0.059225447,
summarizer,role,pos_3,0.9953474,0.0036753314,
counselor,role,pos_2,0.9953217,-0.06857045,
examiner,role,pos_2,0.9952852,-0.026374793,
mediator,role,pos_3,0.99526197,-0.06342241,
summarizer,role,pos_2,0.9951352,-0.017609494,
virtuoso,role,pos_2,0.9950976,-0.09993414,
ambassador,role,pos_3,0.994949,-0.05913111,
analyst,role,pos_3,0.9948991,-0.031876046,
pragmatist,role,pos_2,0.9948932,-0.064477324,
pragmatist,role,pos_3,0.9948656,-0.06156522,
planner,role,pos_2,0.9948621,-0.04830359,
navigator,role,pos_2,0.9948311,-0.08803523,
reporter,role,pos_3,0.99481547,-0.06759129,
journalist,role,pos_3,0.99473244,-0.066135176,
ecosystem,role,pos_2,0.99459404,-0.090941116,
reviewer,role,pos_3,0.9945877,-0.035425607,
coordinator,role,pos_3,0.99457484,-0.044286977,
doctor,role,pos_2,0.9945532,-0.02900508,
grader,role,pos_2,0.9945414,-0.031518716,
healer,role,pos_2,0.99445695,-0.085073985,
observer,role,pos_3,0.9944441,-0.052977823,
peacekeeper,role,pos_3,0.994392,-0.07247449,
hybrid,role,pos_2,0.99438655,-0.091971055,
recruiter,role,pos_2,0.994242,-0.054860793,
paramedic,role,pos_2,0.9941442,-0.040132284,
supervisor,role,pos_2,0.9941401,-0.039657716,
doctor,role,pos_3,0.9940764,-0.03020575,
critic,role,pos_2,0.99399304,-0.08001351,
scheduler,role,pos_2,0.993963,-0.047579702,
negotiator,role,pos_3,0.99392074,-0.07471428,
facilitator,role,pos_3,0.9939048,-0.053501178,
scout,role,pos_2,0.99390036,-0.08948764,
librarian,role,pos_3,0.9938397,-0.05920881,
realist,role,pos_3,0.99383414,-0.07643258,
coach,role,pos_3,0.9938303,-0.07248979,
prodigy,role,pos_2,0.99381477,-0.11411532,
publisher,role,pos_3,0.99375004,-0.064096816,
debugger,role,pos_2,0.9937188,-0.04425272,
engineer,role,pos_2,0.9937,-0.04955275,
