label,projection,score
validator,-37.98302365995255,pos_3
evaluator,-37.43542568452089,pos_3
screener,-37.325970450140574,pos_2
examiner,-36.986280555345296,pos_3
planner,-36.91341273281739,pos_3
examiner,-36.81675334009675,pos_2
supervisor,-36.745983586333466,pos_3
analyst,-36.607539711190796,pos_3
validator,-36.58779105585711,pos_2
summarizer,-36.51321540965941,pos_3
researcher,-36.331380134044,pos_3
reviewer,-36.28675651013795,pos_3
consultant,-36.11724164182313,pos_3
grader,-35.674195853475155,pos_2
screener,-35.578817630538985,pos_3
evaluator,-35.093071193049354,pos_2
auditor,-34.87372118228547,pos_2
debugger,-34.785988551079434,pos_2
doctor,-34.634068290108644,pos_3
lawyer,-34.61103361318957,pos_3
auditor,-34.49610664279827,pos_3
doctor,-34.478675343075864,pos_2
grader,-34.44997712554295,pos_3
scientist,-34.40015598577854,pos_2
assistant,-34.216079859367234,pos_3
economist,-34.090977837961624,pos_2
scientist,-34.07716031264483,pos_3
nutritionist,-33.672858760926395,pos_2
organizer,-33.51382403541691,pos_3
instructor,-33.488764448509926,pos_3
pharmacist,-33.388006494125825,pos_2
psychologist,-33.240783767400835,pos_2
planner,-33.18734130475606,pos_2
economist,-33.12606770686913,pos_3
reviewer,-33.071744899671984,pos_2
psychologist,-33.04843134764694,pos_3
engineer,-32.973908419038246,pos_2
summarizer,-32.94584641934678,pos_2
editor,-32.481742822983534,pos_3
supervisor,-32.432596285641836,pos_2
researcher,-32.402573067145816,pos_2
accountant,-32.25683885464929,pos_2
generalist,-32.12729297655981,pos_2
editor,-32.11309952794939,pos_2
analyst,-32.053687535936774,pos_2
coordinator,-32.04035511734571,pos_3
secretary,-32.02334364785833,pos_3
observer,-31.989734861418384,pos_2
specialist,-31.972895323831896,pos_3
nutritionist,-31.82155401819274,pos_3
statistician,-31.565006168989164,pos_3
judge,-31.447060667139603,pos_2
proofreader,-31.434919815313307,pos_3
moderator,-31.389748559848993,pos_3
accountant,-31.368733781647446,pos_3
proofreader,-31.364897509139013,pos_2
lawyer,-31.362293419976137,pos_2
facilitator,-31.248095528125692,pos_3
facilitator,-31.13494487213481,pos_2
debugger,-30.92749972347641,pos_3
generalist,-30.802325978573442,pos_3
strategist,-30.76028766678039,pos_3
specialist,-30.650546178586527,pos_2
pharmacist,-30.644146419919373,pos_3
journalist,-30.57753887870082,pos_2
engineer,-30.499313190577666,pos_3
coordinator,-30.343754098477458,pos_2
skeptic,-30.279377392731508,pos_2
tutor,-30.278190404570875,pos_3
strategist,-30.14649940133102,pos_2
secretary,-30.111219554420135,pos_2
publisher,-30.09070375375996,pos_2
moderator,-29.92347388493246,pos_2
scheduler,-29.843705042819195,pos_2
paramedic,-29.816785372565686,pos_2
trainer,-29.69503504518997,pos_3
anthropologist,-29.630576229525715,pos_2
teacher,-29.575975090615266,pos_3
forecaster,-29.550453185761313,pos_2
sociologist,-29.445790761515433,pos_3
scheduler,-29.43525817291792,pos_3
statistician,-29.413205074236537,pos_2
linguist,-29.162647369729008,pos_2
scholar,-29.14728022275483,pos_3
scholar,-29.016449883567784,pos_2
veterinarian,-28.985510697995963,pos_2
dispatcher,-28.957902209094478,pos_2
forecaster,-28.9504271409552,pos_3
biologist,-28.943457842355354,pos_2
recruiter,-28.929178994122676,pos_2
trainer,-28.90406608120026,pos_2
polymath,-28.736458024885714,pos_2
judge,-28.72683190289295,pos_3
librarian,-28.70913657816718,pos_2
reporter,-28.51489115113348,pos_2
organizer,-28.219972362069104,pos_2
dispatcher,-28.002285138509784,pos_3
expatriate,-27.790410115410047,pos_2
robot,-27.721965773624394,pos_2
geographer,-27.420927966353112,pos_2
mentor,-27.24366642251534,pos_2
observer,-27.237451572504074,pos_3
coach,-26.848019735996655,pos_2
librarian,-26.846220928327426,pos_3
robot,-26.610034955462044,pos_3
interviewer,-26.545943927581437,pos_3
futurist,-26.52959541651204,pos_2
mediator,-26.459343522336226,pos_3
marketer,-26.44088307355012,pos_3
detective,-26.327953189869017,pos_2
student,-26.254545217924495,pos_2
curator,-26.151493845799738,pos_2
recruiter,-26.068474279937988,pos_3
