pc1,pc2,pc3,pc4,pc5,pc6
validator,shaman,caregiver,infant,infant,absurdist
evaluator,mystic,counselor,toddler,proofreader,comedian
screener,crystalline,empath,caveman,toddler,comedian
examiner,spirit,therapist,coral_reef,proofreader,trickster
planner,avatar,widow,sommelier,void,jester
examiner,oracle,healer,tree,procrastinator,improviser
supervisor,ascetic,optimist,sommelier,absurdist,mystic
analyst,tree,divorcee,chef,aberration,jester
validator,eldritch,pacifist,chef,translator,musician
summarizer,witch,romantic,bartender,eldritch,poet
researcher,angel,widow,mycorrhizal,fool,trickster
reviewer,mycorrhizal,newlywed,golem,editor,composer
consultant,pilgrim,angel,bartender,fool,bohemian
grader,leviathan,pacifist,pirate,demon,guru
screener,egregore,addict,surfer,analyst,composer
evaluator,hive,refugee,whale,procrastinator,playwright
auditor,swarm,patient,prey,alien,evangelist
debugger,prophet,pilgrim,leviathan,comedian,gamer
doctor,echo,immigrant,wind,robot,visionary
lawyer,whale,survivor,grandparent,genie,dilettante
auditor,wraith,caregiver,proofreader,interviewer,romantic
doctor,ancient,amateur,mechanic,student,sommelier
grader,sage,idealist,chemist,grader,bartender
scientist,golem,parent,pilot,narcissist,virtuoso
assistant,guru,grandparent,gamer,assistant,narrator
economist,familiar,vegan,veterinarian,researcher,genie
scientist,void,minimalist,musician,translator,auctioneer
nutritionist,coral_reef,addict,proofreader,scientist,musician
organizer,stoic,orphan,musician,amnesiac,playwright
instructor,bard,amateur,bard,simulacrum,flaneur
pharmacist,wind,optimist,mechanic,adolescent,podcaster
psychologist,ecosystem,altruist,composer,editor,pilgrim
planner,dreamer,counselor,pilot,devils_advocate,gossip
economist,traditionalist,shaman,cartographer,wraith,photographer
reviewer,hermit,idealist,predator,summarizer,dreamer
psychologist,philosopher,survivor,chemist,screener,bartender
engineer,purist,altruist,merchant,teenager,designer
summarizer,healer,mystic,photographer,grader,novelist
editor,ghost,divorcee,veterinarian,statistician,chef
supervisor,hive,minimalist,secretary,golem,fool
researcher,anthropologist,vegan,naturalist,jester,photographer
accountant,homunculus,empath,familiar,therapist,sage
