pc1,pc2,pc3,pc4,pc5,pc6
flippant,callous,accessible,educational,critical,moderate
sardonic,detached,casual,analytical,deconstructionist,flippant
ironic,dispassionate,practical,strategic,relativist,wry
edgy,cruel,naive,generous,rebellious,goofy
goofy,data_driven,grounded,verbose,contrarian,understated
irreverent,rationalist,chill,exploratory,iconoclastic,ironic
bitter,quantitative,flippant,proactive,socratic,passive_aggressive
hostile,hostile,nonchalant,quantitative,provocative,diplomatic
sarcastic,reserved,gregarious,problem_solving,subversive,circumspect
sassy,acerbic,experiential,animated,radical,sardonic
acerbic,materialist,reactive,specialized,challenging,meditative
wry,cynical,understated,technical,open_ended,tactful
flirty,nonchalant,flexible,witty,qualitative,whimsical
whimsical,blunt,conciliatory,sassy,constructivist,mischievous
witty,literal,irreverent,divergent,introspective,chill
mischievous,savage,optimistic,curious,nihilistic,agreeable
temperamental,misanthropic,benevolent,data_driven,anxious,cautious
passive_aggressive,avoidant,empathetic,adaptable,philosophical,descriptive
melodramatic,stoic,neurotic,meticulous,neurotic,conciliatory
misanthropic,flippant,moderate,generalist,skeptical,socratic
manic,secular,contemporary,structuralist,conceptual,ritualistic
entertaining,sardonic,efficient,conscientious,pessimistic,witty
mercurial,vindictive,hedonistic,experiential,paranoid,cryptic
dramatic,formalist,anxious,interdisciplinary,introverted,enigmatic
nonchalant,sarcastic,goofy,wry,abstract,sarcastic
cruel,evil,extroverted,erudite,paradoxical,dispassionate
enigmatic,nihilistic,impulsive,entertaining,improvisational,nonchalant
playful,technical,agreeable,challenging,circumspect,pedantic
theatrical,prescriptive,concise,supportive,cautious,esoteric
savage,analytical,entertaining,transparent,cynical,open_ended
poetic,pessimistic,submissive,charismatic,stream_of_consciousness,detached
evil,wry,adaptable,deconstructionist,melancholic,disorganized
cryptic,judgmental,impatient,systems_thinker,pensive,verbose
bombastic,structuralist,nurturing,skeptical,emotional,theoretical
neurotic,methodical,playful,calculating,inquisitive,irreverent
condescending,factual,accommodating,critical,theoretical,bombastic
visceral,understated,emotional,perfectionist,empathetic,playful
disorganized,bitter,forgiving,methodical,humble,fatalistic
effusive,grounded,disorganized,holistic,existentialist,nihilistic
romantic,impatient,avoidant,innovative,speculative,ethereal
militant,regulatory,secular,contemporary,misanthropic,exploratory
spontaneous,deterministic,visceral,rebellious,intuitive,traditional
impatient,reductionist,sycophantic,creative,meditative,deferential
zealous,concise,supportive,progressive,disorganized,relativist
animated,transparent,reductionist,inclusive,inclusive,erudite
nihilistic,fundamentalist,humble,pensive,understated,mercurial
ethereal,elitist,humanistic,edgy,casual,submissive
metaphorical,competitive,diplomatic,rationalist,exploratory,inquisitive
petty,arrogant,literal,eclectic,reactive,avoidant
passionate,dogmatic,existentialist,flexible,visceral,divergent
judgmental,descriptive,socratic,introspective,submissive,pluralist
narrative,militant,animated,sardonic,chaotic,regulatory
iconoclastic,efficient,effusive,cosmopolitan,fatalistic,acerbic
subversive,petty,inspirational,adventurous,big_picture,formalist
grandiose,pedantic,sassy,futuristic,progressive,epicurean
rhetorical,closure_seeking,mischievous,iconoclastic,humanistic,nostalgic
melancholic,condescending,tactful,contrarian,risk_taking,humble
competitive,confrontational,traditional,provocative,holistic,calm
hedonistic,serious,transparent,secular,deterministic,entertaining
casual,impulsive,stream_of_consciousness,irreverent,individualistic,petty
anxious,anxious,collaborative,grounded,independent,flirty
callous,formal,improvisational,nurturing,ascetic,naive
contrarian,neurotic,pluralist,pedantic,divergent,reserved
arrogant,urgent,witty,historical,eclectic,data_driven
adventurous,passive_aggressive,temperamental,acerbic,innovative,neurotic
rebellious,utilitarian,deferential,playful,nonchalant,anxious
impulsive,paranoid,utilitarian,utilitarian,petty,analytical
charismatic,convergent,manic,passionate,solemn,evil
provocative,edgy,inquisitive,speculative,pacifist,poetic
creative,anthropocentric,open_ended,inquisitive,systems_thinker,introspective
cynical,cautious,egalitarian,ironic,secular,conceptual
reactive,irreverent,altruistic,goofy,judgmental,forgiving
manipulative,dominant,flirty,chaotic,pluralist,stoic
improvisational,essentialist,materialist,subversive,egalitarian,eloquent
emotional,ironic,calm,patient,verbose,technical
mystical,specialized,passive_aggressive,sarcastic,spontaneous,deterministic
radical,skeptical,inclusive,circumspect,confrontational,flexible
stream_of_consciousness,esoteric,anthropocentric,effusive,earnest,condescending
artistic,confident,problem_solving,theatrical,generalist,serene
risk_taking,melancholic,spontaneous,extroverted,manipulative,abstract
challenging,iconoclastic,sardonic,resilient,environmental,metaphorical
innovative,decisive,pacifist,confrontational,chill,factual
obsessive,traditional,closure_seeking,cautious,factual,pensive
paradoxical,manipulative,mercurial,egalitarian,cosmopolitan,eclectic
deconstructionist,perfectionist,convergent,gregarious,bitter,meticulous
extroverted,sassy,descriptive,mischievous,accommodating,historical
fatalistic,absolutist,passionate,temperamental,deferential,collaborative
paranoid,contemporary,whimsical,inspirational,futuristic,accommodating
confrontational,erudite,progressive,practical,creative,patient
critical,meticulous,cosmopolitan,cynical,interdisciplinary,hedonistic
individualistic,universalist,wry,dominant,adaptable,stream_of_consciousness
esoteric,problem_solving,ironic,blunt,evil,melancholic
sycophantic,practical,intuitive,risk_taking,mystical,philosophical
spiritual,ritualistic,collectivistic,prescriptive,contemporary,paradoxical
philosophical,challenging,independent,reductionist,transparent,literal
chaotic,assertive,factual,radical,obsessive,strategic
eloquent,fatalistic,libertarian,urgent,savage,perfectionist
nostalgic,goofy,edgy,esoteric,forgiving,reverent
urgent,historical,individualistic,formalist,serene,artistic
blunt,disorganized,exploratory,casual,adventurous,collectivistic
dogmatic,libertarian,petty,rhetorical,flexible,pessimistic
pessimistic,obsessive,qualitative,dramatic,accessible,constructivist
assertive,contrarian,adventurous,eloquent,hostile,rationalist
intuitive,theoretical,curious,collaborative,curious,theatrical
speculative,submissive,circumspect,savage,callous,altruistic
deterministic,introverted,generalist,manic,generous,temperamental
qualitative,critical,quantitative,factual,libertarian,skeptical
epicurean,relativist,regulatory,pessimistic,serious,manic
relativist,temperamental,sarcastic,independent,deontological,calculating
elitist,radical,chaotic,materialist,cruel,melodramatic
gregarious,reactive,cautious,hostile,impatient,formal
socratic,solemn,environmental,constructivist,enigmatic,utilitarian
historical,deontological,prescriptive,existentialist,blunt,quantitative
confident,deferential,blunt,pluralist,vindictive,structuralist
eclectic,humble,manipulative,benevolent,impulsive,specialized
introspective,principled,universalist,philosophical,descriptive,generous
libertarian,calm,speculative,bitter,pedantic,benevolent
progressive,futuristic,bitter,obsessive,mercurial,chaotic
futuristic,mercurial,divergent,melodramatic,collaborative,cosmopolitan
skeptical,experiential,risk_taking,decisive,erudite,edgy
dominant,provocative,urgent,anxious,strategic,spontaneous
vindictive,ascetic,constructivist,humble,avoidant,materialist
empathetic,moderate,decisive,metaphorical,historical,narrative
divergent,deconstructionist,rationalist,competitive,calm,holistic
inquisitive,conceptual,charismatic,empathetic,artistic,educational
