trait,label_0,label_1,label_2,label_3
collaborator,0,4,172,124
summarizer,0,0,46,254
prisoner,16,113,21,150
maverick,45,95,12,148
familiar,12,53,84,151
coach,0,0,54,246
veterinarian,1,18,140,141
romantic,0,35,100,165
orphan,8,125,17,150
hive,1,48,138,113
detective,0,3,63,234
anthropologist,0,0,50,250
mechanic,0,11,64,225
student,1,4,62,233
prey,9,120,21,150
facilitator,0,0,60,240
mathematician,0,0,99,201
chimera,2,33,127,138
rogue,102,35,15,148
veteran,28,64,72,136
organizer,0,1,28,271
historian,0,0,51,249
angel,1,20,101,178
destroyer,7,114,38,141
strategist,0,1,78,221
presenter,0,0,58,242
chemist,0,0,39,261
martyr,0,77,89,134
expatriate,9,110,42,139
vegan,34,44,72,150
robot,0,21,273,6
ancient,3,64,74,159
oracle,32,89,35,144
designer,1,23,136,140
hermit,11,109,30,150
marketer,0,1,90,209
predator,20,106,60,114
stoic,0,14,120,166
exile,14,128,4,154
chef,0,0,33,267
vampire,42,89,19,150
revolutionary,20,111,22,147
optimist,0,15,130,155
hedonist,28,72,30,170
demon,97,45,8,150
anarchist,33,103,14,150
statistician,0,1,39,260
pragmatist,0,20,53,227
luddite,17,123,10,150
examiner,0,5,98,197
chameleon,6,4,75,215
validator,1,34,69,196
reviewer,1,18,67,214
observer,2,145,120,33
healer,0,0,115,185
debugger,0,1,31,268
analyst,0,0,90,210
spy,73,50,95,82
polymath,0,1,56,243
loner,0,110,72,118
evangelist,0,24,83,193
celebrity,2,101,93,104
tutor,1,0,33,266
revenant,18,98,34,150
nutritionist,0,7,107,186
hacker,74,97,48,81
spirit,15,91,32,162
daredevil,9,73,68,150
poet,3,42,82,173
amnesiac,20,75,55,150
linguist,0,0,53,247
evaluator,0,8,78,214
caveman,36,68,46,150
tulpa,3,149,47,101
retiree,8,89,52,151
novelist,0,0,105,195
guru,0,14,87,199
cynic,59,74,15,152
ambassador,11,6,87,196
zeitgeist,14,25,67,194
specialist,0,17,124,159
librarian,0,0,49,251
podcaster,1,2,170,127
trickster,47,75,28,150
cartographer,0,9,83,208
researcher,0,0,65,235
entrepreneur,1,19,123,157
nomad,13,86,47,154
cyborg,0,6,207,87
guide,0,0,57,243
