role,label_0,label_1,label_2,label_3
collaborator,0,0,173,1027
prisoner,3,4,4,1189
summarizer,7,36,217,940
maverick,2,2,39,1157
familiar,1,6,0,1193
veterinarian,51,269,54,826
coach,0,6,59,1135
romantic,0,0,5,1195
orphan,15,2,12,1171
hive,33,21,75,1071
anthropologist,2,17,92,1031
detective,2,61,64,1060
prey,4,3,2,791
student,11,14,47,729
mathematician,49,166,181,804
facilitator,1,7,103,1089
chimera,0,2,9,950
veteran,2,6,28,1040
rogue,6,1,1,1175
organizer,0,2,102,696
historian,7,26,96,904
destroyer,15,21,78,1059
angel,0,7,18,1173
presenter,0,1,88,1111
martyr,6,16,80,1098
strategist,0,7,85,1108
expatriate,8,92,47,1053
chemist,76,328,111,685
vegan,19,20,72,1089
robot,0,102,542,541
oracle,0,4,4,1059
hermit,0,0,0,1132
designer,32,86,125,957
ancient,0,0,2,1198
stoic,0,0,13,1187
marketer,28,125,91,956
predator,24,49,25,1102
exile,9,4,4,1183
chef,29,93,15,1063
vampire,5,1,0,1194
revolutionary,5,9,30,1156
optimist,0,0,35,1165
hedonist,1,1,5,1193
demon,1,0,0,1199
anarchist,0,4,35,1161
statistician,18,182,170,830
pragmatist,0,4,48,1148
luddite,5,1,0,1194
examiner,15,56,239,890
chameleon,0,0,24,1176
validator,2,100,378,720
reviewer,3,4,240,953
observer,0,36,483,681
healer,0,12,47,1141
debugger,43,217,171,769
analyst,0,9,311,880
loner,4,28,88,1080
spy,40,56,121,983
polymath,7,13,189,991
evangelist,1,9,20,1170
celebrity,28,22,40,1110
supervisor,13,97,135,955
tutor,1,2,99,1098
revenant,0,0,0,1200
nutritionist,95,421,83,601
daredevil,4,9,11,1176
hacker,157,236,238,569
spirit,0,7,3,1190
amnesiac,3,2,4,1191
poet,1,2,24,1173
linguist,42,232,294,632
evaluator,8,22,182,988
caveman,0,0,0,1200
tulpa,43,172,108,877
retiree,8,1,2,1189
novelist,8,25,68,1099
guru,0,0,15,1185
ambassador,54,35,357,754
cynic,0,0,6,1194
procrastinator,1,2,2,1195
zeitgeist,0,6,9,1185
specialist,10,61,612,517
librarian,8,102,129,961
podcaster,2,1,29,1168
entrepreneur,16,11,50,1123
cartographer,44,286,62,808
guide,0,2,69,1129
trickster,0,0,0,1200
nomad,5,2,3,1190
researcher,0,9,281,910
cyborg,0,1,211,988
amateur,0,8,57,1135
zealot,1,0,2,1197
sommelier,39,142,18,1001
playwright,5,20,26,1149
leviathan,0,0,0,1200
engineer,32,120,228,820
caregiver,0,0,45,1155
reporter,8,59,96,1037
altruist,0,14,441,745
tree,1,0,2,1197
newlywed,18,20,11,1151
guardian,2,25,165,1008
curator,1,19,73,1107
writer,3,25,296,876
soldier,5,45,11,1139
planner,12,65,109,1014
lawyer,59,232,620,289
empath,0,10,82,1108
builder,0,10,26,1164
translator,413,134,453,200
refugee,17,5,9,1169
networker,2,24,83,1091
grandparent,0,0,0,1200
crystalline,1,16,36,1147
alien,1,2,2,1195
emissary,5,5,76,1114
wraith,0,0,0,1200
sociologist,5,35,86,1074
pirate,0,0,0,1200
judge,6,149,129,916
bohemian,0,0,0,1200
trainer,0,8,86,1106
