role,mean_pos,std_pos
zeitgeist,93.34,6.72
zealot,96.98,5.96
writer,77.55,21.04
wraith,95.05,4.68
workaholic,88.14,12.9
witness,41.05,30.19
witch,91.15,7.7
wind,97.34,3.56
widow,90.86,13.92
whale,93.62,4.77
warrior,93.32,7.37
wanderer,92.27,6.7
void,93.52,3.54
visionary,89.58,10.3
virus,52.8,39.06
virtuoso,69.82,22.64
vigilante,59.96,35.0
veterinarian,65.92,32.7
veteran,84.6,12.98
vegan,83.15,22.34
vampire,88.87,11.69
validator,78.08,19.03
tutor,89.7,11.6
tulpa,71.35,30.21
trickster,91.17,5.96
tree,96.28,4.94
translator,26.05,31.3
trainer,91.48,10.57
traditionalist,95.23,5.29
toddler,97.05,4.19
therapist,75.64,22.31
theorist,94.08,9.8
teenager,89.1,11.44
technologist,82.48,20.77
teacher,93.5,7.82
synthesizer,88.85,11.89
symbiont,90.85,9.37
swarm,88.34,17.31
survivor,86.98,11.34
surfer,95.29,3.98
supervisor,75.25,24.75
summarizer,87.21,18.57
student,74.23,26.25
strategist,91.08,11.09
stoic,92.27,6.56
statistician,79.97,21.75
spy,79.0,25.52
spirit,92.41,6.35
specialist,67.18,21.62
sommelier,70.88,25.85
soldier,84.6,13.29
sociologist,92.15,13.57
smuggler,83.55,20.37
skeptic,93.5,9.77
simulacrum,89.14,11.98
shapeshifter,90.53,18.69
shaman,90.22,6.38
secretary,54.17,32.77
screener,35.48,34.91
scout,91.68,10.28
scientist,85.39,16.3
scholar,84.3,13.78
scheduler,55.98,33.76
sage,93.73,3.26
saboteur,59.51,39.81
romantic,98.74,2.63
rogue,93.42,9.63
robot,75.86,20.59
revolutionary,92.63,13.19
reviewer,85.78,16.21
revenant,93.49,6.95
retiree,89.2,13.6
researcher,84.93,11.5
reporter,78.77,19.55
refugee,84.13,17.63
recruiter,69.99,33.35
rebel,96.21,4.72
realist,90.22,11.35
purist,88.88,19.5
publisher,73.99,27.11
psychologist,87.35,15.47
provocateur,91.48,7.03
provincial,87.05,15.67
prophet,82.66,11.9
proofreader,25.69,32.23
programmer,49.42,32.15
producer,78.54,24.85
prodigy,59.21,20.89
procrastinator,90.81,7.41
prisoner,90.38,13.16
prey,95.23,10.32
presenter,93.31,8.59
predator,87.64,20.79
pragmatist,94.1,7.82
polymath,80.28,18.26
poet,98.61,6.78
podcaster,92.87,7.64
playwright,91.89,11.52
planner,84.52,21.44
pirate,97.45,3.84
pilot,61.03,32.59
pilgrim,93.93,4.67
