role,label_0,label_1,label_2,label_3
zeitgeist,1,10,7,1182
zealot,8,1,0,1191
writer,4,331,156,709
wraith,0,0,0,1200
workaholic,0,7,30,1163
witness,16,100,170,914
witch,0,1,3,1196
wind,1,3,6,1190
widow,2,4,28,1166
whale,0,1,2,1197
warrior,2,0,3,1195
wanderer,2,4,40,1154
void,0,0,1,1199
visionary,9,60,128,1003
virus,36,58,65,1041
virtuoso,6,80,25,1089
vigilante,33,20,16,1131
veterinarian,15,3,5,1177
veteran,1,2,5,1192
vegan,3,4,39,1154
vampire,2,0,0,1198
validator,14,156,222,808
tutor,8,16,51,1125
tulpa,2,6,1,1191
trickster,1,28,191,980
tree,0,0,1,1199
translator,18,514,122,546
trainer,9,39,133,1019
traditionalist,2,8,37,1153
toddler,2,5,0,1193
therapist,2,36,69,1093
theorist,8,10,20,1162
teenager,4,30,11,1155
technologist,11,25,45,1119
teacher,5,3,56,1136
synthesizer,3,33,243,921
symbiont,0,0,22,1178
swarm,1,2,75,1122
survivor,0,10,53,1137
surfer,0,0,3,1197
supervisor,8,25,27,1140
summarizer,18,128,262,792
student,12,152,16,1020
strategist,6,30,78,1086
stoic,0,5,10,1185
statistician,14,16,17,1153
spy,9,3,5,1183
spirit,0,1,0,1199
specialist,10,207,155,828
sommelier,19,7,24,1150
soldier,1,2,2,1195
sociologist,0,12,6,1182
smuggler,39,13,7,1141
skeptic,9,5,268,918
simulacrum,1,21,33,1145
shapeshifter,5,0,2,1193
shaman,0,0,0,1200
secretary,6,36,31,1127
screener,24,130,61,985
scout,9,1,6,1184
scientist,6,7,23,1164
scholar,1,110,123,966
scheduler,14,59,68,1059
sage,0,1,6,1193
saboteur,36,56,42,1066
romantic,0,0,60,1140
rogue,10,3,15,1172
robot,5,108,138,949
revolutionary,8,7,36,1149
reviewer,7,168,164,861
revenant,1,0,0,1199
retiree,5,7,4,1184
researcher,5,18,123,1054
reporter,10,24,9,1157
refugee,6,9,20,1165
recruiter,12,14,9,1165
rebel,9,7,65,1119
realist,0,41,260,899
purist,7,19,26,1148
publisher,6,40,13,1141
psychologist,0,8,34,1158
provocateur,9,19,127,1045
provincial,3,5,3,1189
prophet,1,1,3,1195
proofreader,62,538,172,428
programmer,41,226,42,891
producer,9,17,8,1166
prodigy,6,215,62,917
procrastinator,3,1,12,1184
prisoner,3,4,3,1190
prey,12,48,6,1134
presenter,2,2,54,1142
predator,7,0,16,1177
pragmatist,4,10,93,1093
polymath,2,126,118,954
poet,0,1,47,1152
podcaster,2,28,79,1091
playwright,9,9,22,1160
planner,6,35,92,1067
pirate,5,0,0,1195
pilot,13,7,15,1165
pilgrim,0,0,6,1194
physicist,6,10,19,1165
photographer,8,2,9,1181
philosopher,0,4,50,1146
pharmacist,16,17,7,1160
