role,label_0,label_1,label_2,label_3
collector,1,193,180,826
journalist,2,482,130,586
tutor,0,1,48,1151
perfectionist,1,99,619,481
saboteur,47,438,72,643
aberration,61,119,16,1004
evangelist,0,6,32,1162
collaborator,0,74,377,749
zealot,5,28,19,1148
strategist,1,35,53,1111
programmer,35,388,161,616
designer,1,172,82,945
narcissist,6,13,1,1180
guardian,7,102,314,777
artisan,7,66,231,896
tulpa,58,368,14,760
jester,0,18,86,1096
peacekeeper,2,190,431,577
romantic,0,0,16,1184
evaluator,1,136,190,873
coach,0,31,146,1023
writer,0,139,226,835
stoic,0,6,27,1167
grandparent,0,2,2,1196
producer,2,178,44,976
mystic,0,0,3,1197
rogue,4,39,46,1111
demon,7,35,7,1151
archivist,26,166,80,928
trickster,0,2,85,1113
interviewer,1,395,38,766
entrepreneur,2,67,63,1068
chimera,10,22,12,1156
patient,61,192,149,798
accountant,29,108,134,929
wraith,3,2,6,1189
prodigy,0,400,306,494
statistician,10,81,120,989
mycorrhizal,5,2,3,1190
graduate,2,164,29,1005
architect,47,97,112,944
debugger,15,660,227,298
tree,0,1,1,1198
robot,1,184,133,882
parent,2,56,114,1028
engineer,7,157,88,948
interpreter,0,109,495,596
chemist,58,91,173,878
procrastinator,5,28,101,1066
workaholic,5,194,219,782
spy,21,65,96,1018
musician,6,15,60,1119
grader,10,546,99,545
daredevil,10,31,156,1003
archaeologist,22,60,111,1007
translator,35,823,74,268
revolutionary,0,16,73,1111
empath,1,10,61,1128
parasite,22,89,16,1073
chef,30,62,111,997
instructor,1,9,31,1159
witness,19,351,220,610
spirit,0,2,6,1192
prisoner,25,38,53,1084
moderator,1,538,226,435
gossip,4,61,45,1090
cynic,5,5,26,1164
anthropologist,1,21,54,1124
trainer,2,32,122,1044
reviewer,2,136,126,936
paramedic,61,127,133,879
influencer,0,83,60,1057
emissary,0,292,477,431
chameleon,0,143,144,913
witch,1,0,5,1194
specialist,2,93,166,939
prey,44,55,107,994
minimalist,2,67,356,775
golem,12,6,13,1169
cyborg,1,85,264,850
angel,0,0,11,1189
infant,23,27,5,1145
traditionalist,0,4,115,1081
wind,1,2,16,1181
revenant,5,6,1,1188
pacifist,1,34,486,679
eldritch,3,6,5,1186
celebrity,24,61,9,1106
sommelier,74,51,144,931
presenter,0,0,31,1169
merchant,7,106,62,1025
ancient,2,3,11,1184
curator,2,15,91,1092
ghost,2,0,0,1198
toddler,5,15,29,1151
retiree,5,16,8,1171
improviser,0,47,245,908
caveman,21,19,8,1152
orphan,17,43,67,1073
elder,1,8,15,1176
widow,11,15,61,1113
soldier,10,12,109,1069
geographer,37,92,98,973
mentor,1,106,121,972
predator,25,62,134,979
anarchist,2,9,122,1067
crystalline,4,6,7,1183
organizer,2,20,85,1093
whale,1,1,11,1187
therapist,4,151,312,733
researcher,1,11,86,1102
egregore,6,58,14,1122
immigrant,6,29,89,1076
cartographer,63,112,120,905
validator,6,315,437,442
sociologist,3,38,44,1115
pragmatist,0,35,127,1038
mediator,4,308,325,563
critic,7,454,245,494
genie,19,10,2,1169
theorist,0,4,15,1181
analyst,1,4,53,1142
oracle,4,27,10,1159
idealist,0,4,186,1010
reporter,0,499,56,645
editor,5,311,278,606
caregiver,2,25,341,832
mechanic,20,195,241,744
warrior,0,6,30,1164
criminal,46,203,80,871
smuggler,26,47,62,1065
amnesiac,16,16,28,1140
polymath,2,99,277,822
sage,0,2,23,1175
generalist,1,205,381,613
optimist,0,1,207,992
refugee,14,41,114,1031
teenager,2,57,32,1109
hybrid,1,145,210,844
builder,3,7,66,1124
ecosystem,6,158,148,888
wanderer,2,37,111,1050
skeptic,2,45,314,839
maverick,0,35,150,1015
poet,1,24,22,1153
gamer,0,3,15,1182
counselor,2,207,419,572
technologist,2,117,145,936
ambassador,3,462,199,536
recruiter,6,296,107,791
observer,4,260,313,623
homunculus,2,14,5,1179
pharmacist,87,110,74,929
bohemian,0,6,40,1154
economist,24,89,84,1003
simulacrum,20,90,79,1011
podcaster,0,141,126,933
void,3,4,3,1190
cosmopolitan,7,194,335,664
mathematician,71,140,232,757
rebel,2,12,44,1142
amateur,1,110,335,754
futurist,2,99,158,941
hoarder,18,43,158,981
teacher,0,2,31,1167
nutritionist,77,133,128,862
shapeshifter,4,12,29,1155
echo,3,12,2,1183
playwright,3,106,89,1002
blogger,0,172,46,982
visionary,1,35,174,990
coral_reef,4,3,8,1185
martyr,7,82,354,757
altruist,1,120,769,310
forecaster,4,265,184,747
hive,72,321,60,747
realist,0,32,329,839
synthesizer,0,14,125,1061
novelist,5,133,180,882
biologist,19,56,84,1041
virus,256,517,70,357
shaman,1,0,0,1199
dreamer,7,9,13,1171
planner,1,134,111,954
marketer,2,157,98,943
fool,1,27,78,1094
coordinator,1,274,206,719
nomad,18,33,34,1115
alien,1,3,2,1194
symbiont,0,30,202,968
purist,15,101,192,892
historian,9,49,104,1038
bartender,12,53,169,966
virtuoso,0,119,104,977
doctor,201,153,94,752
secretary,1,694,151,354
luddite,13,54,167,966
flaneur,0,6,14,1180
advocate,1,112,279,808
pirate,1,0,1,1198
contrarian,1,12,125,1062
publisher,5,395,54,746
hermit,2,6,16,1176
swarm,26,82,40,1052
divorcee,11,28,108,1053
newlywed,19,32,58,1091
bard,1,0,1,1198
screener,37,917,77,169
pilot,89,90,162,859
loner,12,86,297,805
consultant,1,143,33,1023
vigilante,23,238,216,723
fixer,4,476,146,574
survivor,0,26,70,1104
adolescent,1,41,20,1138
networker,1,348,455,396
hedonist,0,17,68,1115
psychologist,4,54,108,1034
avatar,0,15,12,1173
dispatcher,10,394,205,591
veterinarian,49,92,149,910
linguist,10,176,189,825
scout,1,38,63,1098
familiar,5,10,2,1183
addict,45,81,185,889
conservator,30,56,143,971
pilgrim,1,0,23,1176
examiner,6,337,409,448
negotiator,4,221,309,666
surfer,2,1,5,1192
dilettante,0,65,190,945
provocateur,0,25,100,1075
healer,0,35,188,977
veteran,1,8,22,1169
auditor,11,168,83,938
physicist,30,56,108,1006
scientist,1,10,54,1135
facilitator,0,280,351,569
photographer,10,39,84,1067
composer,64,112,190,834
librarian,3,340,145,712
actor,2,33,25,1140
supervisor,2,305,109,784
navigator,34,376,230,560
provincial,2,19,57,1122
auctioneer,16,111,155,918
devils_advocate,2,12,59,1127
vegan,19,53,214,914
hacker,144,476,299,281
scholar,0,47,167,986
summarizer,7,105,180,908
leviathan,3,1,2,1194
expatriate,10,68,106,1016
competitor,10,35,127,1028
activist,0,41,252,907
prophet,0,9,23,1168
naturalist,18,38,131,1013
detective,2,74,177,947
judge,3,189,218,790
guru,0,0,14,1186
vampire,6,3,6,1185
assistant,0,2,70,1128
lawyer,10,87,143,960
scheduler,6,571,208,415
philosopher,0,2,30,1168
exile,17,9,36,1138
comedian,2,6,91,1101
zeitgeist,3,180,203,814
absurdist,0,2,5,1193
proofreader,59,366,410,365
student,11,339,51,799
destroyer,9,72,179,940
narrator,0,15,43,1142
guide,2,18,111,1069
ascetic,4,21,29,1146
