trait,label_0,label_1,label_2,label_3
futurist,2,7,70,1121
composer,30,29,197,944
collaborator,0,0,326,874
summarizer,14,76,450,660
prisoner,2,2,14,1182
maverick,0,24,105,1071
familiar,1,1,0,1198
orphan,8,18,25,1149
coach,0,3,228,969
veterinarian,24,22,106,1048
hive,16,67,72,1045
romantic,0,0,7,1193
detective,0,6,134,1060
anthropologist,4,2,105,1089
student,11,53,148,988
prey,5,2,10,1183
mathematician,25,46,351,778
facilitator,2,12,252,934
chimera,3,2,7,1188
veteran,1,3,49,1147
organizer,1,6,210,983
rogue,4,4,15,1177
historian,11,6,132,1051
destroyer,13,14,156,1017
angel,0,3,29,1168
strategist,0,7,114,1079
presenter,0,0,118,1082
martyr,8,26,156,1010
vegan,11,21,138,1030
expatriate,10,31,119,1040
chemist,72,51,210,867
robot,19,37,622,522
oracle,1,2,11,1186
hermit,1,4,6,1189
designer,14,47,169,970
ancient,0,0,2,1198
stoic,0,9,68,1123
predator,22,23,45,1110
marketer,13,39,146,1002
exile,4,2,9,1185
chef,17,19,118,1046
vampire,3,1,2,1194
revolutionary,1,3,71,1125
hedonist,1,3,18,1178
demon,0,1,1,1198
anarchist,0,1,45,1154
optimist,0,0,141,1059
statistician,20,13,217,950
pragmatist,0,4,130,1066
luddite,4,6,4,1186
examiner,13,56,506,625
validator,10,53,569,568
chameleon,0,10,70,1120
reviewer,5,41,385,769
observer,5,42,548,605
analyst,3,0,355,842
healer,0,3,153,1044
debugger,26,98,423,653
spy,25,47,172,956
polymath,2,40,286,872
loner,12,15,146,1027
evangelist,0,7,41,1152
celebrity,24,38,36,1102
tutor,0,0,128,1072
revenant,0,0,0,1200
nutritionist,71,22,167,940
hacker,95,251,317,537
daredevil,4,1,50,1145
amnesiac,3,1,6,1190
spirit,2,1,2,1195
poet,0,2,24,1174
linguist,38,26,410,726
evaluator,6,21,319,854
caveman,1,2,1,1196
tulpa,13,72,52,1063
retiree,6,7,3,1184
novelist,3,17,173,1007
guru,0,0,16,1184
cynic,0,0,5,1195
ambassador,13,172,294,721
zeitgeist,0,4,8,1188
specialist,4,44,735,417
podcaster,0,1,48,1151
entrepreneur,9,26,84,1081
cartographer,34,36,166,964
librarian,2,53,244,901
trickster,0,0,21,1179
researcher,3,0,326,871
nomad,3,4,6,1187
guide,0,0,112,1088
cyborg,1,4,160,1035
zealot,1,1,2,1196
amateur,0,36,141,1023
leviathan,0,0,0,1200
playwright,2,3,54,1141
sommelier,11,13,90,1086
engineer,20,77,288,815
caregiver,0,1,448,751
tree,0,0,1,1199
reporter,0,94,120,986
newlywed,10,15,42,1133
guardian,3,7,191,999
altruist,0,11,726,463
curator,1,2,118,1079
soldier,5,2,32,1161
writer,1,56,385,758
lawyer,31,127,676,366
crystalline,1,0,9,1190
planner,2,41,209,948
builder,3,3,66,1128
empath,0,1,105,1094
translator,77,565,366,192
networker,0,6,276,918
refugee,12,6,40,1142
alien,1,0,3,1196
grandparent,0,1,2,1197
wraith,0,0,0,1200
sociologist,5,7,81,1107
pirate,0,0,0,1200
judge,6,35,207,952
emissary,0,30,241,929
bohemian,0,5,9,1186
trainer,1,2,151,1046
recruiter,19,128,153,900
negotiator,3,27,375,795
graduate,1,35,59,1105
critic,9,266,309,616
advocate,1,51,330,818
workaholic,8,21,73,1098
smuggler,7,3,8,1182
pilot,80,67,280,773
journalist,18,280,243,659
eldritch,1,3,1,1195
blogger,0,5,45,1150
traditionalist,0,5,72,1123
rebel,0,1,18,1181
grader,16,314,316,554
navigator,31,81,303,785
adolescent,0,21,21,1158
criminal,21,38,39,1102
witness,40,225,509,426
skeptic,2,5,198,995
pilgrim,0,0,6,1194
jester,0,8,52,1140
elder,0,6,7,1187
biologist,21,22,148,1009
toddler,0,0,5,1195
naturalist,16,15,74,1095
realist,5,19,333,843
gossip,4,7,13,1176
counselor,0,55,564,581
addict,17,52,133,998
witch,2,3,7,1188
simulacrum,1,2,142,1055
physicist,30,31,146,993
interviewer,1,83,128,988
egregore,4,6,21,1169
bartender,2,8,48,1142
therapist,0,49,464,687
purist,12,20,46,1122
narrator,0,0,15,1185
golem,1,0,1,1198
cosmopolitan,3,79,189,929
actor,3,10,39,1148
wind,0,0,0,1200
photographer,7,8,45,1140
shapeshifter,5,4,83,1108
interpreter,0,35,551,614
editor,6,70,533,591
bard,0,0,0,1200
theorist,0,5,87,1108
publisher,3,77,155,965
narcissist,8,10,2,1180
supervisor,4,87,230,879
ghost,0,0,0,1200
coral_reef,0,0,1,1199
activist,1,18,228,953
widow,3,5,28,1164
shaman,0,4,5,1191
devils_advocate,0,10,239,951
philosopher,0,0,96,1104
instructor,1,4,149,1046
ecosystem,3,11,221,965
avatar,2,7,5,1186
teenager,1,14,16,1169
psychologist,4,11,282,903
mystic,0,0,16,1184
geographer,32,26,124,1018
coordinator,0,20,237,943
accountant,91,107,417,585
whale,0,0,1,1199
procrastinator,1,1,6,1192
secretary,12,168,367,653
influencer,0,3,84,1113
pharmacist,62,61,148,929
auditor,32,72,269,827
technologist,15,26,141,1018
provocateur,0,2,43,1155
economist,36,43,251,870
mycorrhizal,0,0,0,1200
contrarian,1,14,189,996
genie,2,2,0,1196
absurdist,0,0,1,1199
warrior,0,2,32,1166
screener,44,403,366,387
perfectionist,7,80,395,718
infant,2,2,9,1187
echo,0,0,0,1200
auctioneer,10,8,26,1156
teacher,0,0,157,1043
provincial,14,20,17,1149
musician,1,1,50,1148
generalist,1,206,632,361
aberration,50,132,84,934
wanderer,0,1,9,1190
consultant,2,34,223,941
scout,0,1,54,1145
peacekeeper,0,11,296,893
improviser,0,3,91,1106
dreamer,0,0,4,1196
assistant,0,0,280,920
synthesizer,3,17,408,772
prophet,0,6,16,1178
moderator,1,42,212,945
gamer,0,0,3,1197
conservator,16,10,116,1058
void,0,0,1,1199
scientist,5,5,172,1018
immigrant,5,2,19,1174
patient,35,85,121,959
doctor,147,192,464,397
ascetic,1,9,23,1167
symbiont,2,0,71,1127
proofreader,125,498,305,272
minimalist,2,36,170,992
visionary,0,14,214,972
scholar,1,14,312,873
parent,1,19,43,1137
idealist,0,7,210,983
artisan,6,11,82,1101
divorcee,1,23,60,1116
swarm,4,7,93,1096
merchant,9,42,55,1094
forecaster,11,42,321,826
programmer,53,224,285,638
competitor,6,13,58,1123
virus,99,268,209,624
dispatcher,5,67,304,824
scheduler,29,83,374,714
parasite,14,12,27,1147
survivor,4,6,39,1151
hybrid,0,28,129,1043
archivist,17,26,142,1015
mentor,0,26,257,917
producer,8,45,97,1050
fool,0,0,4,1196
comedian,3,0,31,1166
virtuoso,4,54,350,792
sage,0,0,9,1191
paramedic,22,34,141,1003
fixer,13,233,135,819
homunculus,0,0,0,1200
dilettante,0,8,22,1170
prodigy,3,355,481,361
architect,51,58,180,911
mediator,2,24,389,785
surfer,0,0,1,1199
flaneur,0,0,1,1199
collector,3,25,135,1037
mechanic,20,112,179,889
vigilante,53,160,150,837
saboteur,58,190,144,808
pacifist,2,18,291,889
hoarder,11,10,43,1136
archaeologist,5,9,60,1126
