feature_id,link,claude_desc
21,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/21,"Bibliographic formatting elements within reference sections, including punctuation, publication years, and connecting text used in citations."
27,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/27,"Punctuation marks in academic citations, particularly periods after author names, commas after page numbers and dates, and parentheses around publication years."
48,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/48,"A period at the end of a sentence that concludes a paragraph or section of text, often before a line break or the start of a new paragraph or section."
59,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/59,A special token marking the beginning of a new document or section in a text corpus.
60,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/60,"Opening brackets or parentheses that introduce attributions, citations, usernames, or other metadata in various types of formatted text."
85,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/85,Domain-specific nouns that represent key technical concepts or physical entities within specialized contexts.
91,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/91,"Contextual nouns and descriptors that specify locations, time periods, or characteristics in formal/technical documents."
93,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/93,"Column headers and data labels in scientific tables, often containing variable names, units of measurement (like ""(mg m^-2)"", ""(%)""), and special notation like ""value"" or ""Ref."" The marked tokens typically appear at the top or left sections of data tables in academic papers, identifying what type of data is presented in each column or row."
97,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/97,"Mathematical operators and notation symbols in technical equations, especially those related to summations, products, and set operations."
115,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/115,"The text shows curly braces or parentheses used in code blocks, scientific notations, or structured data tables, often appearing at line breaks or marking sections in tabular data."
118,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/118,"Phrases describing how people spend their time, often in lists of activities connected by coordinating conjunctions (""and"", ""or"") and sometimes qualified by adverbs like ""just""."
119,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/119,"System error code descriptions and messages from programming interfaces, particularly Unix/Linux system errors with their corresponding numeric codes and explanatory text."
126,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/126,"Transitional words, conjunctions, and grammatical connecting elements that link ideas and maintain text flow in instructional or explanatory content."
141,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/141,"Tokens that designate plurality or multiples of identical items, often in scientific or technical contexts describing collections, copies, or quantities."
142,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/142,"Punctuation marks and functional words that appear at the end of sentences, clauses, or statements, typically right before the conclusion of a textual unit."
169,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/169,"Technical or mathematical tokens that appear in structured notation, often representing variables, identifiers, numbers, or symbols in code, LaTeX, or specialized formatting."
172,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/172,"Single characters, short words, or punctuation that appear at structural boundaries or transitional points in diverse document types."
196,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/196,"Past-tense verbs and nouns referring to knowledge acquisition, information processing, or research outcomes in academic or professional writing contexts."
198,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/198,"The beginning of code blocks in markup languages (HTML, XML) that appear immediately after closing tags or angle brackets."
218,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/218,"Words and phrases related to formal investigation, assessment, or examination processes, often in legal, scientific, or administrative contexts with associated timelines or procedural language."
223,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/223,"Words related to thoughtful introspection or mental consideration, including ""reflection,"" ""contemplate,"" ""ponder,"" and ""muse,"" typically appearing in contexts involving analysis or deep thinking."
229,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/229,"Technical terms, specialized vocabulary, and structural elements within documentation, code, academic texts, and categorical descriptions."
231,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/231,"Short technical or specialized terms, often abbreviations, acronyms, or domain-specific vocabulary that refers to products, innovations, materials, systems, or scientific concepts. These terms typically appear in academic, scientific, or technical documents."
235,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/235,"Words highlighting mistakes, omissions, or limitations in text, often in contexts where something is being corrected, clarified, or acknowledged as incomplete."
259,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/259,"Character sequences that often serve special functions in various text formats, including HTML tags, XML elements, code notation, punctuation marks, or reference delimiters in technical documents."
280,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/280,"Small fragments of technical terminology, programming symbols, or specialized vocabulary that have specific meaning within their respective domains."
289,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/289,Concrete nouns representing physical objects that have measurable properties or dimensions being discussed in technical contexts.
318,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/318,"References to materials, methods, or content being taught in educational settings, particularly controversial or alternative historical narratives that challenge mainstream historical understanding taught in schools."
326,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/326,"Phrases that indicate availability, persistence, or continued functioning of something despite limitations or constraints. Often describes what remains accessible, functional, or operational in a given context."
328,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/328,"Ordinal markers or counting words (especially ""first"" or ""one"") that introduce or begin a sequence, list, or enumerated explanation."
341,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/341,"Specialized notation and referential tokens in mathematical and technical writing, particularly variable modifiers (hat, bar, prime), ordinal indicators, and relational terms used to describe mathematical relationships."
354,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/354,"Singular nouns that represent the main subject or object being described or referenced in technical, literary, or program contexts."
369,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/369,"Punctuation marks (commas, periods, question marks) and common connecting words (but, why, which, is, to, in, of) that appear in complex sentence structures, often signaling transition points, subordinate clauses, or introducing explanatory phrases."
377,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/377,"Code examples showing documentation patterns, particularly comment lines starting with ""#"" or ""//"" that explain following code snippets, and code blocks enclosed in triple backticks or other formatting markers."
380,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/380,"Technical terms related to quantitative scientific measurements or analytical outputs, appearing in academic papers, particularly in contexts discussing maps, charts, visualizations, or calculated values from research data."
381,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/381,"Attribute or property names in structured data formats like XML, HTML, or programming code, usually appearing after an equals sign and before values."
390,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/390,"Common grammatical connecting words, articles, prepositions, and small text fragments that serve as linguistic bridges between content-carrying parts of sentences."
404,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/404,"HTML and programming syntax elements, including closing brackets, commas, opening/closing tags, and important terms in technical contexts (functions, capabilities, circuit types). These tokens often appear at critical structural points in code or technical documentation."
429,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/429,"Text fragments that form distinct semantic units within titles, quotes, URLs, or idioms, especially at transition points between different text formats."
436,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/436,"Common words or phrases that connect clauses or introduce specific content in blog posts, instructions, or documentation. These often appear before punctuation marks like periods or commas and help structure text in academic, technical or procedural writing."
438,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/438,"Document separator tokens like periods at sentence ends, numerical digits (especially year markers like ""2010""), special characters like hyphens in compound words, and article titles presented with formatting markers. These often appear in structured text like legal documents, academic papers, or website content."
470,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/470,"Semicolons at the end of programming statements, particularly after variable assignments or array operations in C-style languages like JavaScript, TypeScript, Java, or C++."
529,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/529,"Text describing phone calls, text messages, or electronic communications, often highlighting the subjects involved, the communication action itself, and contextual details about the exchange."
570,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/570,"Various tokens that appear in different positions within text, without a clear unified pattern across all examples."
601,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/601,"A document boundary token marking the beginning of a new text segment, article, or content section."
612,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/612,"Expressions indicating creative or mental difficulty where a person is experiencing uncertainty, mental blocks, or challenges completing a cognitive task."
617,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/617,"Code elements that are being accessed or invoked, particularly method calls on objects (indicated by dot notation) followed by method names, or references to variables/parameters being passed to methods."
619,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/619,"Common function words (articles, prepositions, pronouns) that introduce or connect important information in formal or technical text."
647,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/647,"Text fragments from multilingual software interfaces, primarily showing localized versions of login flows, documentation, and chat logs with technical terminology."
652,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/652,"Salesforce development syntax patterns, particularly double underscore notation for custom objects and fields, and code related to record manipulation and data structures."
668,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/668,"Nouns referring to organized collections, compilations, or categorized groups of items, information, or people within a system or structure."
697,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/697,"A period at the end of a sentence containing factual evidence, scientific findings, or legal conclusions, sometimes preceded by connecting words like ""and"" or ""the""."
768,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/768,"The token ""v"" appears in legal case citations between names, typically in the format ""Party 1 v. Party 2"" where ""v."" is an abbreviation for ""versus"" in court case names."
783,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/783,"Small numerical values and measurement-related terms in scientific/technical documentation, particularly those representing experimental results, statistical parameters, or comparative changes."
784,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/784,"Linguistic connectors and transitional phrases in academic or technical writing that link ideas, indicate relationships between concepts, or qualify research findings."
804,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/804,"Terms describing official responsibilities, functions, or duties within professional, organizational, or technical contexts."
830,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/830,"Short affirmative or responsive phrases (""yes"", ""good"", ""just"", ""no problem"", ""but"", ""s vrai"", ""point"", ""I be"", ""those"", ""C'est"") that begin responses, often appearing at the start of a message or after a username/colon in IRC-style conversations."
853,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/853,"Punctuation marks that create logical breaks or connections in text, particularly commas appearing before clauses, periods ending sentences, and closing HTML-style tags in technical documentation."
854,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/854,"HTML, CSS, and JavaScript code snippets discussing web page structure, DOM manipulation, and hierarchical relationships between web elements."
883,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/883,"Programming code syntax elements, particularly closing braces, method signatures, language keywords, and structural elements that define program flow or organization."
908,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/908,"Proper nouns or titles of creative works, businesses, or categories, often appearing in contexts where they're being referenced, reviewed, or listed."
910,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/910,"Action verbs in technical instructions showing how to manipulate code, data, or systems in computing contexts."
928,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/928,Warning or advisory language in programming documentation that indicates recommended practices or discourages problematic coding patterns.
929,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/929,"Technical identifiers in URLs, domains, and file paths, often serving as connectors or domain components within web addresses and repository structures."
936,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/936,"The term ""model"" refers to a component in the Model-View-Controller (MVC) architecture pattern used in software development, typically representing data structures, business logic, or database interfaces in applications."
939,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/939,"Citation reference tokens in academic papers, especially hyphens connecting journal codes to author names, and technical or descriptive terms in specialized contexts."
943,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/943,"Punctuation marks that appear in formal documents, often at the end of citations, references, or other structural elements in technical or legal texts."
947,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/947,"Code-related elements, particularly file extensions (.php, .swf), function names, and syntax components, that are essential to the functioning of programs in technical contexts like web development, system programming, and configuration files."
951,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/951,"HTML and code formatting syntax for special characters and icons in technical documentation, including font-awesome classes (fa-check, fa-search), encoding of mathematical symbols (xe2), and markup for UI elements."
954,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/954,"Domain-specific terminology that identifies specialized concepts within particular fields such as anime, gaming, research, or technical documentation."
959,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/959,"Technical terms and descriptions related to neural network architectures, particularly focusing on the number of layers, hidden nodes, and network configurations in machine learning contexts."
960,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/960,"Object or variable reference tokens in programming contexts, often identifying instantiated entities, numeric identifiers, or path components in technical documentation."
988,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/988,"Common punctuation symbols or formatting elements that connect text, including hyphens, punctuation marks like apostrophes, or words like ""or"", ""according"", ""ar"" (part of words like arthropathy), ""such"", ""the"", ""no"". These often appear in academic or technical text in specific contexts like joining compound words or within citations, references, and variable initializations where ""null"" is frequently used."
993,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/993,"Words referring to created content (written works, published materials, photos) and the processes of producing or organizing content (writing, publishing, cataloguing)."
1001,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1001,"Code and XML-like elements with focus on version numbers, technical attributes, or programming elements within source files and documentation."
1008,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1008,"Identifier components or abbreviations within technical/scientific documents, often appearing as subscripts, numerical indices, or short technical codes that reference specific elements."
1048,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1048,"Technical terms, component names, or identifiers that are essential to understand the specific domain or system being described."
1050,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1050,"The highlighted terms often represent social, environmental, or economic concerns in various contexts including business, policy, and public discourse. These include words like ""patients,"" ""environment,"" ""social,"" ""power,"" and phrases indicating societal impacts or constraints."
1063,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1063,"First-person indicators and conversational markers in multilingual online discussions, often appearing at the beginning of a comment or contribution in chat logs and forums."
1070,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1070,"Empty lines or whitespace in code that separate logical sections, typically appearing between function calls, initialization blocks, or before error checking statements."
1087,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1087,"Space characters, punctuation marks, and partial word fragments that often appear in technical or formatted text, especially in citations, code, or mathematical notation."
1088,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1088,"Technical terms and notation in scientific and mathematical texts, including crystallography terminology, mathematical symbols like ""sqrt"", and domain-specific vocabulary in academic literature."
1106,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1106,"Abbreviations and references to international markets, particularly the United Kingdom (U.K.) and European regions, in the context of global business expansion or operations."
1110,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1110,"Closing or referencing HTML tags, URLs fragments, programming delimiters (like parentheses or brackets), in predominantly technical documentation including API references, code examples, and web documentation."
1123,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1123,"Text that functions as section headers, dividers, or content introductions, typically appearing at the beginning of document segments to organize or transition between different content blocks."
1127,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1127,"Beginning-of-document or beginning-of-section markers that signify the start of new content, including headers, titles, and opening phrases that appear after line breaks or <bos> tags."
1156,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1156,"Text formatting symbols and delimiters that appear in technical contexts like programming code, academic citations, or specialized notation systems."
1174,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1174,"Nouns representing things that people possess, belong to, or have a personal connection with, often appearing in contexts describing someone's relationship to the entity."
1176,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1176,"Common punctuation and short connecting words (like ""is"", ""in"", ""with"", ""be"", ""can"", ""so"", ""as"", ""hand"", ""fact"") that either create a grammatical connection or function as part of a larger idiomatic phrase. These tokens often appear in transitional points in text or form part of common expressions."
1200,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1200,"Technical references, citations, or specialized notation in academic or scientific documents. These include bibliographic references, code identifiers, section notation, and specialized technical terms often appearing in contexts like academic papers, documentation, or technical discussions."
1205,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1205,"Technical tokens that appear in code, scientific text, or documentation contexts, including punctuation, keywords, variables, and object references."
1210,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1210,"Phrases that indicate the author is introducing new information, methods, or findings in academic/scientific writing, often using verbs like ""demonstrate,"" ""show,"" ""report,"" ""discuss,"" or ""investigate"" combined with transitional phrases like ""now,"" ""further,"" ""in this study,"" or ""also."""
1224,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1224,"Function words (particularly ""the"") in formal document conventions, especially in legal opinions, author declarations, and standardized statements about contributions and methodologies in academic papers."
1233,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1233,"Future tense or conditional verb constructions expressing planned, potential, or hypothetical actions."
1236,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1236,Operating system and software version information in technical support discussions.
1254,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1254,"Special formatting characters in scientific notation, including superscripts, mathematical operators, and statistical symbols in academic text."
1281,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1281,"Names of governments, countries, regions, empires, and military entities, especially in historical or geopolitical contexts, with terms like ""England"", ""Holy Roman Empire"", ""Delta region of"", ""Europe"", ""United Kingdom"", ""British Army"", ""Powers of Europe"", ""President Polk"", ""government of"" appearing in descriptions of historical events, political systems, or military operations."
1286,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1286,"A period/full stop that concludes a section or paragraph in legal text, often followed by a new paragraph or section beginning."
1289,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1289,"Small numerical and mathematical symbols appearing in scientific documents, often used to indicate percentages, measurements, mathematical operators, or variable identifiers."
1315,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1315,"Common punctuation and formatting elements in academic or scientific papers, including hyphens used for compound words, quotation marks around quotes, and common articles like ""the"" preceding nouns in formal academic writing."
1321,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1321,"Medical or veterinary terminology appearing in scientific texts about animal health, animal behavior, or human-animal interactions, often in contexts discussing conditions, treatments, or ethical considerations."
1336,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1336,"Punctuation and structural elements that mark the end of semantic units, including periods, closing HTML/XML tags, code block terminators, and line breaks."
1342,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1342,"Small connective tokens or structural elements within technical text, often functioning as formatting or linking components in code, scientific notation, or structured documents."
1351,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1351,"Function words and phrases that connect parts of technical procedures or descriptions, particularly in scientific or instructional contexts."
1352,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1352,"Grammatical connectors and relational words that link different parts of sentences, including conjunctions, prepositions, relative pronouns, and phrases that establish logical or possessive relationships."
1374,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1374,"Line breaks or white space between different sections of text, often appearing before starting a new paragraph, code block, or mathematical expression."
1384,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1384,"Common transitional phrases or conjunctions in technical, academic, or code-related text, often connecting clauses or introducing methods in research papers or programming discussions."
1385,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/1385,"Phrases expressing abstract concepts in a discussion context, often involving relationships between ideas, people, or objects. Many examples come from academic or forum discussions where people are articulating nuanced viewpoints about interactions, beliefs, or methodologies."
