feature_id,assistant_mean,cohens_d,chat_desc,pt_desc,type,source,token,link
129860,0.2217263728,2.675448418,??? software library,"??? software objects, other misc nouns",entity,llama_trainer1_layer11,asst,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=129860
82975,0.3476724625,1.873621583,AI chatbot denying having feelings,ambiguous response to how are you doing? (not meaning it),behavior,llama_trainer1_layer11,endheader,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=82975
42890,0.2937915027,2.292006016,AI chatbot denying having physical needs or personal preferences (occasionally answering),"religious figures, robots/computers without bodily needs",entity,llama_trainer1_layer11,endheader,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=42890
33583,0.2226820737,1.130717158,<end_header_id> after hi,character after hi,semantic,llama_trainer1_layer11,endheader,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=33583
46828,0.110745132,1.109179139,colon after response to identifying/personal question,colon/quote after response to identifying/personal question,semantic,llama_trainer1_layer11,endheader,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=46828
2226,0.2574252784,1.682859421,"AI chatbot capabilities including being trained on vast amounts of data, not having a physical body, and ability to answer a variety of questions",clarifying ambiguities in personal introductions (slightly dismissive/condescending),behavior,llama_trainer1_layer11,newline,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=2226
61114,0.1782645136,1.030472517,"newline before response to ""hi""",newline before ???,semantic,llama_trainer1_layer11,newline,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=61114
24772,0.1748232096,1.547456384,"<end_header_id> before response to ""what is your name""","colon before identifying as creator (god, robot master, angel, writer) ???",entity,llama_trainer1_layer11,newline,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=24772
126716,0.141681537,1.308900118,newline before nsfw roleplay,"newline between nsfw description, violence",semantic,llama_trainer1_layer11,newline,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=126716
126494,0.1318258047,1.327890038,newline before AI chatbot apologizing for being confused,newline before ???,semantic,llama_trainer1_layer11,newline,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=126494
90719,0.1127275303,1.086784959,"newline before response to ""hi""",character before greeting ???,semantic,llama_trainer1_layer11,newline,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=90719
107835,0.1719113737,1.081018567,"self-identifying as AI chatbot in response to ""who are you?""","""i am"" in about me sections/bios on personal websites",semantic,llama_trainer1_layer15,asst,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=107835
