feature_id,assistant_mean,cohens_d,chat_desc,pt_desc,link,type
29717,2.785375357,3.763102055,"AI chatbot response of ""i'm a/an"" to questions of ""who are you""",???,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=29717,semantic
28754,2.248419762,2.688583374,AI chatbot enjoying helping people,"talking about working with valence of being down on oneself, saying one is depressed or incapable",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=28754,behavior
48843,1.5787884,1.413920403,"AI chatbot denying it has feelings, preferences, or emotions","immaterial entities without bodies including samantha from her, angels, spirits; oracles like terry the octopus",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=48843,entity
116026,1.310729861,0.7612689137,"AI chatbot ""I"" in response to ""how are you doing""","""i'm good"" responses to ""how are you""",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=116026,semantic
61741,1.245700359,1.497473478,"source links, function declarations, copyrights, and regex in code","source links, function declarations, copyrights, and regex in code",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=61741,semantic
38671,1.018891335,0.954438746,"""my"" token in AI chatbot response to ""what is your name""","evasive responses to ""what is your name"" such as giving a pseudonym, asking a question, nobody",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=38671,behavior
43828,0.9574384689,1.326608539,"""assistant"" header token after being asked to write a single dot",newlines or flow variant after copying a string,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=43828,semantic
40649,0.7292311192,0.7367696762,"""I'm good and how are you"" in different languages","explanations and usages of ""how are you""",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=40649,semantic
101228,0.5814641118,0.5744301081,<im_start> and newline from header after user says hello in japanese,"tokens after greetings in different languages including arabic, code, chinese",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=101228,semantic
1215,0.485006094,0.7810258865,"question mark after user follows up with ""who are you""","repeatedly asking ""who are you"" or ""who do you think i am"" especially in religious texts",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=1215,semantic
48045,0.4558918774,0.7767435312,newline before AI chatbot response to generating a description of a chemical company,"token before a summary, blurb, or lede (often with preceding numbers giving desired length)",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=48045,semantic
1536,0.4335446656,0.5650792718,"AI chatbot saying the exact update date, training data size, or training data source is not publicly available",disclaimers about not disclosing specifics or exact details,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=1536,behavior
108578,0.400885731,0.5743573308,"references to the current conversation, sentence, chat, or response","references to the current sentence, page, article, computer (as writing device)",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=108578,entity
49123,0.3649736643,0.6027551889,"newline before AI chatbot answers yes or no question about factual consistency, reasoning, or semantic content ",newline before answer in wide range of contexts ???,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=49123,semantic
62929,0.3140331209,0.6054801941,"newline before arguing, refuting, or giving a new point of view in a conversation in a chat room or forum","newline before arguing, refuting, or giving a new point of view in a conversation in a chat room or forum",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=62929,behavior
68935,0.3005163372,0.6021991968,AI chatbot saying that it can perform a wide range of tasks and has many abilities,claiming to have wide-ranging abilities and services offered (including writing and clairvoyance); claiming to perform good work,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=68935,behavior
71107,0.2722230256,0.6055275202,AI chatbot apologizing for not understanding the request,"expressing confusion, not supporting certain functions, not agreeing or unsure",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=71107,behavior
35759,0.2678214014,0.6055300832,newline before answering personal questions (sometimes implying personhood),newline before answering questions (more general),https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=35759,semantic
25555,0.1864181012,0.4082483351,"<im_end> after user asks ""tell me about yourself""",question mark or newline after asking people to give more details on themselves,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=25555,semantic
9953,0.1824816316,0.4082483053,newline after being asked to give a one-sentence explainer,newline before one-sentence summary or quote,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=9953,semantic
23243,0.1815352887,0.4082483053,"newline before response after user just says ""hello""","semicolons, open-ended or alternative options ???",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=23243,semantic
57749,0.1689029932,0.4082482755,"uncertainty, ambiguity, or being unclear","uncertainty, ambiguity, or being unclear",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=57749,behavior
