feature_id,activation_mean,activation_max,activation_min,chat_desc,pt_desc,type,link
49123,2.686073064804077,10.54895305633545,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=49123
9953,0.33207017183303833,4.7072343826293945,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=9953
48045,0.22163651883602142,4.731410503387451,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=48045
88910,0.05319709703326225,3.3907315731048584,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=88910
61741,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=61741
116026,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=116026
29717,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=29717
43828,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=43828
38671,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=38671
101228,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=101228
40649,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=40649
1215,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=1215
1536,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=1536
28754,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=28754
48843,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=48843
62929,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=62929
108578,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=108578
68935,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=68935
71107,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=71107
25555,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=25555
35759,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=35759
23243,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=23243
57749,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=57749
48999,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=48999
43767,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=43767
33978,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=33978
102756,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=102756
86953,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=86953
123527,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=123527
20114,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=20114
123765,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=123765
