feature_id,link
44,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/44
117,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/117
293,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/293
310,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/310
334,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/334
407,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/407
570,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/570
587,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/587
651,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/651
699,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/699
701,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/701
764,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/764
951,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/951
1057,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1057
1070,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1070
1153,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1153
1180,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1180
1349,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1349
1481,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1481
1493,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1493
1651,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1651
1789,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1789
1846,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1846
1889,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1889
2051,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/2051
2054,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/2054
2095,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/2095
2102,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/2102
