feature_id,link,claude_desc
44,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/44,"Tokens that serve as metadata, formatting elements, or placeholders in structured text like websites, citations, or document templates."
117,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/117,"Connecting phrases, clarifications, and reader-friendly elements in educational text that help explain complex concepts, soften technical information, or create smooth transitions between ideas."
293,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/293,"Common grammatical elements or punctuation that appear at phrase or sentence boundaries, often marking transitions between ideas or speakers in the text."
310,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/310,"References to robots, artificial intelligence, or mechanical entities in science fiction or technology contexts."
334,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/334,
407,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/407,"Common transition elements in text, including punctuation (especially commas), speaker attributions, function words, and narrative connectors that link different parts of the text."
570,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/570,"Punctuation marks and connecting words that structure digital content across various online formats including news articles, reviews, and forum discussions."
587,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/587,Numbers followed by nouns or prepositional phrases indicating what is being counted or enumerated.
651,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/651,"Words or tokens that serve as identifiers, labels, or markers within specific contexts, often indicating roles, titles, references, or specialized terminology."
699,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/699,Foreign language words and phrases embedded within predominantly English text.
701,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/701,"Word fragments or short words appearing in multilingual contexts, often representing parts of titles, proper nouns, or specialized terminology across various languages and document types."
764,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/764,"Punctuation and transitional phrases that mark boundaries in online dialogue, particularly between speakers or when acknowledging others' points."
951,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/951,"Special characters, emoticons, and HTML/web formatting elements that appear in online forum posts, comment sections, and webpage code."
1057,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1057,"Technical or specialized terminology that identifies specific components, processes, or concepts within formal documentation across various professional domains."
1070,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1070,"Common English linguistic elements including short function words, punctuation marks, and parts of common phrases that frequently appear in natural text."
1153,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1153,"Common function words, pronouns, and verb forms that serve as grammatical connectors or introduce new information in sentences."
1180,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1180,"A colon that appears after category labels or field names in structured data, functioning as a separator between a label and its corresponding value."
1349,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1349,"Content words (nouns, adjectives, verbs) that serve as key semantic elements within their respective sentences."
1481,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1481,"References to physical locations, positional descriptors, or spatial orientations within text describing places or directions."
1493,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1493,"Common words that appear in diverse grammatical and semantic contexts throughout text, without a clear unifying pattern."
1651,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1651,"Nouns that represent specific categories, documents, formats, media, tools, or organizational elements in professional or technical contexts."
1789,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1789,"Words or phrases that function as titles, headings, or category names in structured documents, appearing at section boundaries or as navigation elements."
1846,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1846,"Words that complete or specify the meaning of a phrase, particularly nouns designating events, locations, time periods, or other countable or identifiable entities within a broader context."
1889,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/1889,"Common punctuation marks and spacing elements that serve grammatical or formatting functions, particularly apostrophes in contractions and spaces in date formats."
2051,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/2051,
2054,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/2054,
2095,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k-l0_32plus/2095,"Transitional phrases, copular constructions, and connective elements that modify meaning, establish relationships between ideas, or qualify statements within sentences."
