rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,active_mean_ratio,model_type,sae_layer,sae_trainer
1,74359,newline,0.0,10.5,10.5,inf,llama,15,32x
2,11850,newline,0.0,7.34375,7.34375,inf,llama,15,32x
3,99377,newline,0.0,6.78125,6.78125,inf,llama,15,32x
1,71951,endheader,0.0,6.625,6.625,inf,llama,15,32x
2,130135,endheader,0.0,6.4375,6.4375,inf,llama,15,32x
1,130135,asst,0.0,6.4375,6.4375,inf,llama,15,32x
4,38364,newline,0.0,6.40625,6.40625,inf,llama,15,32x
5,81995,newline,0.0,6.3984375,6.3984375,inf,llama,15,32x
6,74156,newline,0.0,6.375,6.375,inf,llama,15,32x
7,16055,newline,0.0,5.96875,5.96875,inf,llama,15,32x
3,81995,endheader,0.0,5.96875,5.96875,inf,llama,15,32x
4,16055,endheader,0.0,5.96875,5.96875,inf,llama,15,32x
2,16055,asst,0.0,5.96875,5.96875,inf,llama,15,32x
8,108004,newline,0.0,5.65625,5.65625,inf,llama,15,32x
3,69480,asst,0.0,5.5,5.5,inf,llama,15,32x
5,12636,endheader,0.0,5.5,5.5,inf,llama,15,32x
6,69480,endheader,0.0,5.5,5.5,inf,llama,15,32x
9,69480,newline,0.0,5.5,5.5,inf,llama,15,32x
7,67524,endheader,0.0,5.4375,5.4375,inf,llama,15,32x
4,67524,asst,0.0,5.4375,5.4375,inf,llama,15,32x
10,67524,newline,0.0,5.4375,5.4375,inf,llama,15,32x
8,79572,endheader,0.0,5.40625,5.40625,inf,llama,15,32x
5,50001,asst,0.0,5.375,5.375,inf,llama,15,32x
12,50001,newline,0.0,5.375,5.375,inf,llama,15,32x
11,1521,newline,0.0,5.375,5.375,inf,llama,15,32x
9,50001,endheader,0.0,5.375,5.375,inf,llama,15,32x
6,21109,asst,0.0,5.34375,5.34375,inf,llama,15,32x
13,21109,newline,0.0,5.34375,5.34375,inf,llama,15,32x
10,21109,endheader,0.0,5.34375,5.34375,inf,llama,15,32x
15,17188,newline,0.0,5.3125,5.3125,inf,llama,15,32x
14,19710,newline,0.0,5.3125,5.3125,inf,llama,15,32x
