rank,feature_id,token,all_mean_base,all_mean_chat,all_mean_diff,all_mean_ratio,model_type,sae_layer,sae_trainer
1,11904,asst,0.005578124895691872,3.741617202758789,3.736039161682129,670.7661217210349,llama,15,32x
2,97377,asst,0.006156249903142452,3.0233280658721924,3.017171859741211,491.098982893618,llama,15,32x
1,92801,newline,6.986359596252441,9.85893726348877,2.872577667236328,1.4111694549443474,llama,15,32x
1,112879,endheader,0.0,2.2623281478881836,2.2623281478881836,inf,llama,15,32x
2,96419,newline,3.82421875,6.014953136444092,2.190734386444092,1.572858021378639,llama,15,32x
3,84495,asst,0.0,2.098703145980835,2.098703145980835,inf,llama,15,32x
2,111573,endheader,0.0,1.9195624589920044,1.9195624589920044,inf,llama,15,32x
3,29865,endheader,0.0,1.7879687547683716,1.7879687547683716,inf,llama,15,32x
3,84495,newline,0.0,1.5928906202316284,1.5928906202316284,inf,llama,15,32x
4,120215,endheader,0.005062500014901161,1.3803437948226929,1.3752813339233398,272.6605018784661,llama,15,32x
5,30159,endheader,2.922039031982422,4.189523220062256,1.267484188079834,1.433767028505408,llama,15,32x
6,31432,endheader,0.0,1.2235312461853027,1.2235312461853027,inf,llama,15,32x
4,30159,newline,7.847718715667725,8.982250213623047,1.1345314979553223,1.1445683183942699,llama,15,32x
7,92801,endheader,6.950031280517578,8.061327934265137,1.1112966537475586,1.1598980794320681,llama,15,32x
5,31432,newline,0.04543749988079071,1.14662504196167,1.1011875867843628,25.23521419466172,llama,15,32x
4,20356,asst,0.0,1.06431245803833,1.06431245803833,inf,llama,15,32x
6,111788,newline,0.0,0.9792187213897705,0.9792187213897705,inf,llama,15,32x
5,34433,asst,0.0683906227350235,0.9887499809265137,0.9203593730926514,14.457391106926787,llama,15,32x
6,93478,asst,0.004718749783933163,0.9249452948570251,0.9202265739440918,196.01490589866933,llama,15,32x
8,74684,endheader,0.0,0.9048125147819519,0.9048125147819519,inf,llama,15,32x
7,120215,asst,1.3584843873977661,2.241570234298706,0.8830858469009399,1.6500522605140335,llama,15,32x
9,84495,endheader,0.0,0.8632500171661377,0.8632500171661377,inf,llama,15,32x
10,97377,endheader,0.006156249903142452,0.8548593521118164,0.8487030863761902,138.86040455821234,llama,15,32x
8,31432,asst,0.0,0.8347187638282776,0.8347187638282776,inf,llama,15,32x
9,2782,asst,1.6980234384536743,2.506624937057495,0.8086014986038208,1.4762016119990566,llama,15,32x
10,38618,asst,0.0,0.788742184638977,0.788742184638977,inf,llama,15,32x
11,33986,asst,0.0,0.7874687314033508,0.7874687314033508,inf,llama,15,32x
7,97377,newline,0.006156249903142452,0.737179696559906,0.7310234308242798,119.74492721349945,llama,15,32x
