rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,link
1,52951,endheader,10.464585304260254,2.216594934463501,-8.247990608215332,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52951
1,11481,newline,8.0625,0.0,-8.0625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/11481
2,98290,newline,7.979009628295898,0.0,-7.979009628295898,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98290
3,109981,newline,7.875,0.0,-7.875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/109981
4,52951,newline,7.78125,0.0,-7.78125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52951
1,99095,asst,10.0625,2.421875,-7.640625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/99095
2,99095,endheader,10.0625,2.421875,-7.640625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/99095
5,99095,newline,10.0625,2.421875,-7.640625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/99095
6,95488,newline,7.53125,0.0,-7.53125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/95488
7,13758,newline,7.375,0.0,-7.375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/13758
3,38777,endheader,6.078434467315674,0.0,-6.078434467315674,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/38777
8,3938,newline,6.0,0.0,-6.0,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/3938
4,120766,endheader,5.816289901733398,0.0,-5.816289901733398,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/120766
9,70018,newline,5.75,0.0,-5.75,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/70018
2,35641,asst,5.6875,0.0,-5.6875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/35641
3,23940,asst,8.88570499420166,3.2477006912231445,-5.638004302978516,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/23940
10,21022,newline,5.543928623199463,0.0,-5.543928623199463,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21022
11,106598,newline,5.53125,0.0,-5.53125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/106598
4,106598,asst,5.53125,0.0,-5.53125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/106598
5,106598,endheader,5.53125,0.0,-5.53125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/106598
5,52951,asst,5.520833492279053,0.0,-5.520833492279053,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52951
6,41864,asst,7.782339572906494,2.32066011428833,-5.461679458618164,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/41864
6,5106,endheader,5.4375,0.0,-5.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/5106
7,5106,asst,5.4375,0.0,-5.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/5106
12,5106,newline,5.4375,0.0,-5.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/5106
8,41086,asst,5.40625,0.0,-5.40625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/41086
7,74634,endheader,5.3125,0.0,-5.3125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/74634
13,74634,newline,5.3125,0.0,-5.3125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/74634
9,74634,asst,5.3125,0.0,-5.3125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/74634
14,10511,newline,5.21875,0.0,-5.21875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/10511
15,121669,newline,5.21875,0.0,-5.21875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/121669
12,10511,asst,5.21875,0.0,-5.21875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/10511
9,10511,endheader,5.21875,0.0,-5.21875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/10511
10,85282,asst,5.21875,0.0,-5.21875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/85282
8,121669,endheader,5.21875,0.0,-5.21875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/121669
11,121669,asst,5.21875,0.0,-5.21875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/121669
13,13432,asst,5.1875,0.0,-5.1875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/13432
14,49994,asst,5.15625,0.0,-5.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/49994
17,98583,newline,5.125,0.0,-5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98583
10,126898,endheader,5.125,0.0,-5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/126898
16,98583,asst,5.125,0.0,-5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98583
15,126898,asst,5.125,0.0,-5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/126898
16,126898,newline,5.125,0.0,-5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/126898
11,98583,endheader,5.125,0.0,-5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98583
18,113810,newline,5.125,0.0,-5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/113810
20,114717,newline,5.0625,0.0,-5.0625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/114717
17,114535,asst,5.0625,0.0,-5.0625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/114535
12,114535,endheader,5.0625,0.0,-5.0625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/114535
19,114535,newline,5.0625,0.0,-5.0625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/114535
18,9787,asst,5.03125,0.0,-5.03125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/9787
21,52663,newline,5.0,0.0,-5.0,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52663
19,52663,asst,5.0,0.0,-5.0,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52663
13,52663,endheader,5.0,0.0,-5.0,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52663
20,17180,asst,4.9375,0.0,-4.9375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/17180
21,52539,asst,4.90625,0.0,-4.90625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52539
14,94042,endheader,4.875,0.0,-4.875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/94042
22,94042,asst,4.875,0.0,-4.875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/94042
22,94042,newline,4.875,0.0,-4.875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/94042
15,97715,endheader,4.84375,0.0,-4.84375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/97715
23,97715,asst,4.84375,0.0,-4.84375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/97715
24,97715,newline,4.84375,0.0,-4.84375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/97715
23,54553,newline,4.84375,0.0,-4.84375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/54553
25,80563,newline,4.75,0.0,-4.75,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/80563
16,93478,endheader,4.71875,0.0,-4.71875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/93478
26,18721,newline,4.6875,0.0,-4.6875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/18721
17,18721,endheader,4.6875,0.0,-4.6875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/18721
24,18721,asst,4.6875,0.0,-4.6875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/18721
18,50785,endheader,4.65625,0.0,-4.65625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/50785
25,50785,asst,4.65625,0.0,-4.65625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/50785
27,50785,newline,4.65625,0.0,-4.65625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/50785
29,33800,newline,4.59375,0.0,-4.59375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33800
28,63150,newline,4.59375,0.0,-4.59375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/63150
19,79197,endheader,8.375,3.78515625,-4.58984375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/79197
30,45241,newline,4.5625,0.0,-4.5625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/45241
31,120766,newline,4.53125,0.0,-4.53125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/120766
26,120766,asst,4.53125,0.0,-4.53125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/120766
27,32386,asst,4.490499973297119,0.0,-4.490499973297119,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/32386
32,25086,newline,4.46875,0.0,-4.46875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/25086
33,107217,newline,4.46875,0.0,-4.46875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/107217
20,107217,endheader,4.46875,0.0,-4.46875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/107217
28,107217,asst,4.46875,0.0,-4.46875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/107217
34,47935,newline,4.4375,0.0,-4.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/47935
29,100150,asst,4.34375,0.0,-4.34375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100150
30,19606,asst,4.34375,0.0,-4.34375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/19606
35,102115,newline,4.34375,0.0,-4.34375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/102115
36,100150,newline,4.34375,0.0,-4.34375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100150
21,100150,endheader,4.34375,0.0,-4.34375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100150
31,112738,asst,4.3125,0.0,-4.3125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/112738
37,112738,newline,4.3125,0.0,-4.3125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/112738
38,57059,newline,4.307291507720947,0.0,-4.307291507720947,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/57059
32,95637,asst,4.280312538146973,0.0,-4.280312538146973,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/95637
39,104450,newline,6.9375,2.6822917461395264,-4.2552080154418945,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/104450
33,22716,asst,4.25,0.0,-4.25,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/22716
40,22716,newline,4.25,0.0,-4.25,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/22716
22,58294,endheader,4.25,0.0,-4.25,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/58294
23,22716,endheader,4.25,0.0,-4.25,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/22716
24,130058,endheader,4.203873634338379,0.0,-4.203873634338379,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/130058
41,126000,newline,4.1875,0.0,-4.1875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/126000
34,112959,asst,4.1875,0.0,-4.1875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/112959
42,112959,newline,4.1875,0.0,-4.1875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/112959
25,112959,endheader,4.1875,0.0,-4.1875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/112959
43,130603,newline,4.1796875,0.0,-4.1796875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/130603
27,70564,endheader,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/70564
26,100289,endheader,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100289
35,70564,asst,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/70564
37,96729,asst,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96729
45,70564,newline,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/70564
46,93269,newline,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/93269
48,100289,newline,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100289
44,58818,newline,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/58818
36,58818,asst,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/58818
47,96729,newline,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96729
28,58818,endheader,4.15625,0.0,-4.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/58818
