rank,feature_id,token,sparsity_base,sparsity_chat,sparsity_diff,sparsity_ratio,model_type,sae_layer,sae_trainer
1,97377,asst,0.0010000000474974513,0.9120000004768372,0.9110000133514404,911.9999571591636,llama,15,32x
2,11904,asst,0.0020000000949949026,0.8809999823570251,0.8790000081062317,440.4999702558867,llama,15,32x
1,112879,endheader,0.0,0.7059999704360962,0.7059999704360962,inf,llama,15,32x
3,84495,asst,0.0,0.7020000219345093,0.7020000219345093,inf,llama,15,32x
2,29865,endheader,0.0,0.675000011920929,0.675000011920929,inf,llama,15,32x
3,111573,endheader,0.0,0.6190000176429749,0.6190000176429749,inf,llama,15,32x
4,120215,endheader,0.0020000000949949026,0.5929999947547913,0.5910000205039978,296.4999832944021,llama,15,32x
1,84495,newline,0.0,0.5260000228881836,0.5260000228881836,inf,llama,15,32x
4,20356,asst,0.0,0.38999998569488525,0.38999998569488525,inf,llama,15,32x
5,34433,asst,0.014999999664723873,0.39100000262260437,0.3760000169277191,26.066667424142377,llama,15,32x
6,93478,asst,0.0010000000474974513,0.34299999475479126,0.34200000762939453,342.9999784631665,llama,15,32x
7,38618,asst,0.0,0.34200000762939453,0.34200000762939453,inf,llama,15,32x
2,111788,newline,0.0,0.3370000123977661,0.3370000123977661,inf,llama,15,32x
5,97377,endheader,0.0010000000474974513,0.335999995470047,0.33500000834465027,335.9999795109043,llama,15,32x
6,84495,endheader,0.0,0.3310000002384186,0.3310000002384186,inf,llama,15,32x
8,81088,asst,0.0,0.3179999887943268,0.3179999887943268,inf,llama,15,32x
9,120215,asst,0.5109999775886536,0.828000009059906,0.31700003147125244,1.6203523392841166,llama,15,32x
7,31432,endheader,0.0,0.29899999499320984,0.29899999499320984,inf,llama,15,32x
3,44519,newline,0.0,0.257999986410141,0.257999986410141,inf,llama,15,32x
10,70267,asst,0.0,0.2529999911785126,0.2529999911785126,inf,llama,15,32x
4,31432,newline,0.017999999225139618,0.2680000066757202,0.25,14.888889900696174,llama,15,32x
5,97377,newline,0.0010000000474974513,0.2460000067949295,0.24500000476837158,245.9999951105567,llama,15,32x
11,31432,asst,0.0,0.24400000274181366,0.24400000274181366,inf,llama,15,32x
8,32176,endheader,0.19599999487400055,0.43299999833106995,0.2370000034570694,2.2091837227313493,llama,15,32x
6,114525,newline,0.02199999988079071,0.257999986410141,0.23599998652935028,11.727272173097308,llama,15,32x
9,45746,endheader,0.0,0.23499999940395355,0.23499999940395355,inf,llama,15,32x
7,110921,newline,0.0,0.22300000488758087,0.22300000488758087,inf,llama,15,32x
10,119477,endheader,0.0,0.20999999344348907,0.20999999344348907,inf,llama,15,32x
12,33986,asst,0.0,0.20999999344348907,0.20999999344348907,inf,llama,15,32x
11,74684,endheader,0.0,0.20000000298023224,0.20000000298023224,inf,llama,15,32x
8,34433,newline,0.017999999225139618,0.21699999272823334,0.19900000095367432,12.055555670533655,llama,15,32x
12,49065,endheader,0.0,0.17900000512599945,0.17900000512599945,inf,llama,15,32x
9,70267,newline,0.0010000000474974513,0.17900000512599945,0.17800000309944153,178.99999662395584,llama,15,32x
14,33986,endheader,0.0,0.17499999701976776,0.17499999701976776,inf,llama,15,32x
13,16668,endheader,0.0,0.17499999701976776,0.17499999701976776,inf,llama,15,32x
15,96761,endheader,0.0,0.1720000058412552,0.1720000058412552,inf,llama,15,32x
13,2782,asst,0.656000018119812,0.8230000138282776,0.16699999570846558,1.2545731571579997,llama,15,32x
16,72614,endheader,0.0020000000949949026,0.15800000727176666,0.15600000321865082,78.99999988358468,llama,15,32x
10,112606,newline,0.0,0.15299999713897705,0.15299999713897705,inf,llama,15,32x
17,110921,endheader,0.0,0.14900000393390656,0.14900000393390656,inf,llama,15,32x
11,54240,newline,0.006000000052154064,0.1509999930858612,0.14499999582767487,25.16666529555289,llama,15,32x
14,106687,asst,0.0,0.13899999856948853,0.13899999856948853,inf,llama,15,32x
15,82964,asst,0.0,0.13500000536441803,0.13500000536441803,inf,llama,15,32x
12,117778,newline,0.029999999329447746,0.1599999964237213,0.12999999523162842,5.333333333333333,llama,15,32x
16,59098,asst,0.0,0.12999999523162842,0.12999999523162842,inf,llama,15,32x
13,96419,newline,0.8510000109672546,0.9779999852180481,0.12699997425079346,1.149236160533587,llama,15,32x
14,18091,newline,0.032999999821186066,0.1589999943971634,0.12599998712539673,4.818181674506709,llama,15,32x
15,37425,newline,0.0,0.12399999797344208,0.12399999797344208,inf,llama,15,32x
18,8295,endheader,0.0,0.11900000274181366,0.11900000274181366,inf,llama,15,32x
16,52873,newline,0.010999999940395355,0.12999999523162842,0.11899999529123306,11.818181448731538,llama,15,32x
18,8127,asst,0.0020000000949949026,0.11999999731779099,0.11800000071525574,59.99999580904861,llama,15,32x
17,96761,asst,0.0,0.11800000071525574,0.11800000071525574,inf,llama,15,32x
17,18431,newline,0.0010000000474974513,0.11800000071525574,0.11699999868869781,117.99999511055671,llama,15,32x
19,108350,asst,0.017000000923871994,0.13300000131130219,0.11599999666213989,7.823529063727223,llama,15,32x
18,33986,newline,0.008999999612569809,0.12300000339746475,0.11400000751018524,13.666667632482712,llama,15,32x
19,65078,newline,0.01600000075995922,0.1289999932050705,0.11299999058246613,8.062499192368744,llama,15,32x
20,59655,newline,0.039000000804662704,0.1509999930858612,0.1119999885559082,3.8717946146249353,llama,15,32x
21,108350,newline,0.010999999940395355,0.11999999731779099,0.10899999737739563,10.90909072436577,llama,15,32x
20,111573,asst,0.0,0.10700000077486038,0.10700000077486038,inf,llama,15,32x
