feature_id,link
1147,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/1147
2083,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2083
2462,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2462
2953,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2953
3187,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/3187
3933,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/3933
4359,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/4359
4584,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/4584
4725,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/4725
5202,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/5202
5916,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/5916
6035,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/6035
6761,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/6761
6901,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/6901
7583,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/7583
9560,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/9560
9870,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/9870
10390,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/10390
10434,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/10434
10910,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/10910
11481,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/11481
12734,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/12734
13486,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/13486
14614,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/14614
14726,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/14726
15467,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/15467
16431,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/16431
17112,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/17112
18388,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/18388
20470,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/20470
20917,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/20917
22997,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/22997
26220,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/26220
26775,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/26775
27874,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/27874
28213,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/28213
28540,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/28540
