feature_id,header_mean_activation,you_mean_activation,combined_mean,header_active_prompts,you_active_prompts,claude_desc
116246,236.2860870361328,85.39497375488281,160.8405303955078,994,576,"Special characters or tokens that serve as delimiters, section markers, or formatting symbols at the beginning of lines or document sections, including punctuation marks, currency symbols, and whitespace indicators."
106376,43.13779067993164,43.24902725219727,43.19340896606445,990,610,"LaTeX mathematical notation in technical or scientific documents, particularly focusing on specialized symbols, operators, subscripts/superscripts, and equation formatting."
20668,47.96810531616211,19.255491256713867,33.61179828643799,985,518,"End delimiters and declarations in programming code, particularly function definitions, class boundaries, and conditional compilation blocks."
66831,41.11796569824219,22.91178703308105,32.01487636566162,984,418,"The token ""<?php"" or similar file opening tags appearing at the beginning of programming code blocks or XML declarations that follow natural language text."
49865,27.85694694519043,24.881011962890625,26.368979454040527,978,473,"Legal and technical terminology appearing in court documents, code bases, and academic papers, often involving procedural statements, citations, or formal arguments with consistent connecting phrases."
121851,9.17117691040039,21.90105628967285,15.53611660003662,744,417,"Question words or connector tokens in technical/programming contexts, especially at boundaries between natural text and structured data."
55935,23.778404235839844,5.862039566040039,14.82022190093994,962,289,"Common punctuation marks or short connecting words that form grammatical structure in text, often appearing at boundaries between clauses or sentences."
74855,7.920050144195557,8.235636711120605,8.077843427658081,511,316,"Technical terms, company names, and connecting words related to computing technology, particularly in contexts discussing AI, quantum computing, and digital systems."
116055,0.0117323454469442,15.152788162231444,7.582260253839195,2,605,"Second-person pronouns (""you"", ""your"", ""yourself"") that directly address the reader, often appearing in instructional content, personal communications, or content designed to engage the audience directly."
74079,6.803562641143799,6.673705101013184,6.738633871078491,538,292,"References to artificial intelligence, robotics, algorithms, or computing technology. This includes specific terms like ""AI,"" ""robot,"" ""algorithms,"" ""computer,"" ""bots,"" and descriptions of technological systems capable of performing human-like functions such as answering, delivering information, or making predictions."
70370,6.51463508605957,6.736398220062256,6.625516653060913,669,330,"Technical document syntax elements including code constructs, document formatting tags, section identifiers, mathematical notation, and connecting phrases that structure technical or academic content."
25340,10.079310417175291,0.0082069067284464,5.04375866195187,872,1,"The token ""A"" that marks the beginning of an answer section in a question-and-answer format."
