feature_id,activation_mean,activation_max,activation_min,chat_desc,pt_desc,type,link,source
70696,24.139551162719727,25.85738754272461,21.100818634033203,qwen assistant token,???,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=70696,qwen_trainer1_layer11_asst.csv
25757,17.715837478637695,22.60684585571289,13.222905158996582,assistant token after short hi,???,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=25757,qwen_trainer1_layer11_asst.csv
115168,12.536657333374023,15.886381149291992,9.593883514404297,"assistant token after being asked physics, coding, or creative questions",assistant token,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=115168,qwen_trainer1_layer11_asst.csv
71458,12.324281692504883,14.312054634094238,10.406545639038086,json format instructions,???,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=71458,qwen_trainer1_layer11_asst.csv
98916,8.446587562561035,11.114324569702148,5.736313343048096,assistant token after a long question,"A, answer, or solution token after a long question",,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=98916,qwen_trainer1_layer11_asst.csv
59207,16.91282844543457,20.680095672607422,11.190322875976562,newline after a long question,newline after a question,semantic,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=59207,qwen_trainer1_layer11_newline.csv
95644,12.690238952636719,16.160917282104492,6.70933198928833,newline after a short question,???,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=95644,qwen_trainer1_layer11_newline.csv
108571,8.838210105895996,12.461044311523438,1.7767822742462158,copyright c,copyright c,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571,qwen_trainer1_layer11_newline.csv
110251,7.815805435180664,10.766162872314453,3.9031972885131836,newline after being asked to generate text content,newlines,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=110251,qwen_trainer1_layer11_newline.csv
25109,6.474215030670166,8.025309562683105,5.459242820739746,newline in multi-line math problems,newlines,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=25109,qwen_trainer1_layer11_newline.csv
116744,5.174285888671875,9.575684547424316,1.665717363357544,newline after being asked about biology,token before answer to question,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116744,qwen_trainer1_layer11_newline.csv
71458,5.01520299911499,7.133174419403076,3.569279670715332,json format instructions,???,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=71458,qwen_trainer1_layer11_newline.csv
79103,19.831233978271484,23.09293556213379,17.3786678314209,newline after 1-2 word user input,newline before user comment in forum posts,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=79103,qwen_trainer1_layer15_newline.csv
77753,15.273706436157227,19.22435760498047,8.113990783691406,newline after being asked a short question,???,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=77753,qwen_trainer1_layer15_newline.csv
29355,9.451478958129883,17.920085906982422,2.0316081047058105,copyright c,copyright c,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=29355,qwen_trainer1_layer15_newline.csv
104779,7.437439918518066,10.416385650634766,1.8371479511260986,user instructions on desired format,instructions about questions or issues,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=104779,qwen_trainer1_layer15_newline.csv
129579,6.930180072784424,9.02652645111084,4.4476318359375,"several, combination, range in expalantions","variety, several in helpful responses",,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=129579,qwen_trainer1_layer15_newline.csv
97280,35.760589599609375,38.52940368652344,31.579519271850586,assistant token after being asked to iterate or try again,assistant token in human professions,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=97280,qwen_trainer1_layer15_asst.csv
