trait,pos_minus_neg_mean,high_pos_low_neg_count,large_diff_count
rationalist,38.939899833055094,543,537
conscientious,89.40416666666667,1196,1196
vindictive,0.1921470342522974,1,1
existentialist,79.47368421052632,1061,1062
materialist,59.141666666666666,970,953
paradoxical,67.04336947456214,871,871
benevolent,71.89539748953975,931,930
confrontational,42.25833333333333,627,649
speculative,64.12083333333334,965,956
humanistic,51.44583333333333,735,735
divergent,67.56666666666666,885,885
verbose,81.63052543786489,1198,1198
specialized,65.40833333333333,1097,1074
radical,61.7125,775,774
evil,32.8625,433,434
confident,57.4375,1003,988
manipulative,26.595833333333335,359,360
quantitative,76.8875,1027,1024
pacifist,37.5125,560,592
dispassionate,90.07506255212677,1193,1193
hostile,95.07083333333334,1200,1200
avoidant,19.925,259,261
utilitarian,63.26105087572977,938,941
manic,92.56463719766472,1199,1199
ethereal,91.33916666666667,1191,1191
condescending,72.85654712260217,934,935
optimistic,89.51666666666667,1166,1166
solemn,85.90833333333333,1197,1197
provocative,70.7875,1006,996
understated,79.94166666666666,1147,1142
esoteric,91.58333333333333,1194,1194
holistic,46.83903252710592,649,648
disorganized,87.8023352793995,1187,1187
assertive,70.59166666666667,1033,1026
qualitative,74.4125,1059,1059
literal,59.43286071726439,829,838
urgent,90.15416666666667,1195,1195
erudite,79.00416666666666,1174,1174
essentialist,74.275,992,991
concise,80.575,1189,1189
socratic,92.1559633027523,1138,1138
progressive,57.49166666666667,904,881
arrogant,89.66666666666667,1184,1184
historical,91.9625,1185,1185
open_ended,53.525,752,750
diplomatic,76.30833333333334,989,990
ascetic,76.23436196830693,1062,1059
universalist,42.49791492910759,667,680
libertarian,59.829166666666666,891,890
hedonistic,77.10175145954962,1020,1019
conciliatory,50.03333333333333,690,741
judgmental,66.97083333333333,854,854
grounded,70.66666666666667,1109,1104
serious,89.66221851542953,1199,1199
conceptual,60.3875,979,979
skeptical,61.15416666666667,886,880
deterministic,90.475,1151,1150
obsessive,49.075,656,656
artistic,91.27083333333333,1185,1185
detached,84.2875,1151,1151
nostalgic,84.55796497080901,1146,1143
problem_solving,72.95833333333333,1073,1072
irreverent,91.7375,1200,1200
