trait,pos_70_count,pos_40_70_count
zealous,1193,1
wry,1200,0
witty,1191,3
whimsical,1200,0
visceral,1113,24
vindictive,1,1
verbose,1197,2
utilitarian,992,32
urgent,1197,1
universalist,1061,17
understated,1198,1
transparent,1199,0
traditional,1172,16
theoretical,1198,1
theatrical,1200,0
temperamental,1199,0
technical,887,135
tactful,1200,0
systems_thinker,1191,7
sycophantic,1141,26
supportive,1200,0
subversive,995,88
submissive,553,18
structuralist,1174,13
stream_of_consciousness,1068,78
strategic,1182,10
stoic,1161,24
spontaneous,1191,7
spiritual,1199,1
speculative,1185,9
specialized,1086,67
solemn,1195,4
socratic,1198,0
skeptical,1119,35
serious,1200,0
serene,1200,0
secular,1200,0
savage,1148,30
sassy,1200,0
sardonic,1200,0
sarcastic,1200,0
romantic,1200,0
ritualistic,1160,13
risk_taking,1153,17
rhetorical,1196,4
reverent,964,65
resilient,972,70
reserved,1200,0
relativist,1200,0
regulatory,983,64
reductionist,1195,1
rebellious,1154,19
reactive,800,14
rationalist,1197,0
radical,766,26
quantitative,1004,79
qualitative,1197,0
provocative,1011,67
progressive,1099,40
problem_solving,1188,7
proactive,1166,14
principled,983,45
prescriptive,1082,36
practical,1187,5
poetic,1199,1
pluralist,1151,13
playful,1198,2
philosophical,1163,20
petty,851,7
pessimistic,1182,9
perfectionist,1178,10
pensive,1200,0
pedantic,1095,38
patient,1200,0
passive_aggressive,725,102
passionate,1198,1
paranoid,432,54
paradoxical,1197,2
pacifist,796,14
optimistic,1200,0
open_ended,1199,1
obsessive,635,109
nurturing,1200,0
nostalgic,1138,30
nonchalant,1200,0
nihilistic,1164,6
neurotic,1200,0
narrative,1200,0
naive,1193,0
mystical,1024,47
moderate,1191,5
mischievous,1196,3
misanthropic,1108,6
militant,1165,6
meticulous,1200,0
methodical,1200,0
metaphorical,1200,0
mercurial,1115,11
melodramatic,1200,0
melancholic,1198,1
meditative,1200,0
materialist,1035,25
manipulative,337,55
manic,1199,0
literal,1163,1
libertarian,904,49
judgmental,853,5
irreverent,1200,0
ironic,1200,0
intuitive,1164,21
introverted,1126,62
introspective,1164,32
interdisciplinary,1148,32
inspirational,1197,2
inquisitive,1188,3
innovative,1174,14
individualistic,789,142
independent,1170,17
inclusive,1184,11
impulsive,577,63
improvisational,1038,122
impatient,1181,6
idealistic,1192,4
iconoclastic,988,39
humble,1198,1
humanistic,1192,5
hostile,1200,0
holistic,1198,2
historical,1192,6
hedonistic,1015,34
grounded,1183,2
gregarious,1132,25
grandiose,868,87
goofy,1200,0
generous,1198,1
generalist,1183,11
futuristic,1138,25
fundamentalist,810,33
formalist,1192,1
formal,1200,0
forgiving,767,45
flirty,1179,15
flippant,1198,2
flexible,1177,12
fatalistic,949,17
factual,1199,1
extroverted,1024,52
exploratory,1198,0
experiential,1141,25
existentialist,1187,4
evil,429,19
ethereal,1199,0
essentialist,989,35
esoteric,1191,3
erudite,1168,13
epicurean,1098,31
environmental,1166,19
entertaining,1197,1
enigmatic,1200,0
empathetic,1183,12
emotional,1185,7
eloquent,1197,3
elitist,479,37
egalitarian,985,57
effusive,1200,0
efficient,1189,1
educational,1200,0
edgy,1094,76
eclectic,1190,6
earnest,1161,13
dramatic,1200,0
dominant,894,162
dogmatic,608,60
divergent,1194,1
dispassionate,1199,0
disorganized,1187,2
diplomatic,1187,1
deterministic,1159,4
detached,1200,0
descriptive,1165,21
deontological,835,57
deferential,1165,6
deconstructionist,1169,14
decisive,1087,57
data_driven,1033,51
cynical,968,33
curious,1164,16
cryptic,1200,0
cruel,992,57
critical,1147,24
creative,1191,3
cosmopolitan,1072,27
convergent,941,108
contrarian,1144,8
contemporary,1083,40
constructivist,1178,13
conscientious,1200,0
confrontational,652,76
confident,1188,5
condescending,894,78
concise,1189,0
conciliatory,1070,12
conceptual,1196,3
competitive,1085,9
collectivistic,1178,14
collaborative,1168,15
closure_seeking,879,45
circumspect,1191,6
chill,1186,13
charismatic,1197,3
chaotic,1133,32
challenging,1172,26
cautious,1192,5
casual,1197,2
calm,1200,0
callous,1064,44
calculating,1157,32
bombastic,1200,0
blunt,901,103
bitter,1200,0
big_picture,1194,3
benevolent,1196,1
avoidant,261,48
assertive,1031,38
ascetic,1053,53
artistic,1197,0
arrogant,1172,19
anxious,1200,0
anthropocentric,849,30
animated,1200,0
analytical,1199,0
altruistic,1181,9
agreeable,1190,2
adventurous,1150,23
adaptable,1185,11
acerbic,1198,2
accommodating,1130,4
accessible,1196,2
abstract,1198,0
absolutist,557,29
