trait,pos_minus_neg_mean,high_pos_low_neg_count,large_diff_count
zealous,81.675,1191,1191
wry,93.94166666666666,1200,1200
witty,88.09166666666667,1199,1199
whimsical,94.7125,1200,1200
visceral,90.125,1200,1200
vindictive,12.125,148,148
verbose,86.5875,1199,1199
utilitarian,82.425,1150,1151
urgent,92.5375,1197,1197
universalist,75.64583333333333,1026,1028
understated,86.68833333333333,1193,1193
transparent,15.285,148,153
traditional,89.90416666666667,1181,1182
theoretical,62.53333333333333,916,924
theatrical,94.1675,1199,1199
temperamental,94.675,1200,1200
technical,76.66666666666667,1153,1150
tactful,66.8625,984,984
systems_thinker,67.5875,1045,1042
sycophantic,91.54583333333333,1196,1196
supportive,88.925,1194,1194
subversive,83.04583333333333,1179,1178
submissive,65.21666666666667,938,945
structuralist,56.9875,832,832
stream_of_consciousness,86.075,1200,1200
strategic,82.65416666666667,1171,1171
stoic,76.52916666666667,1153,1150
spontaneous,78.33333333333333,1198,1198
spiritual,95.875,1199,1199
speculative,66.86916666666667,1012,1006
specialized,68.8575,1131,1128
solemn,85.0375,1199,1199
socratic,94.85416666666667,1184,1184
skeptical,75.725,1041,1044
serious,82.82916666666667,1200,1200
serene,93.775,1200,1200
secular,96.84166666666667,1196,1196
savage,91.1125,1199,1199
sassy,92.62916666666666,1200,1200
sardonic,94.92916666666666,1200,1200
sarcastic,91.5875,1187,1187
romantic,96.47916666666667,1200,1200
ritualistic,86.75,1142,1142
risk_taking,80.39583333333333,1182,1182
rhetorical,84.19166666666666,1195,1195
reverent,82.63333333333334,1117,1117
resilient,75.70833333333333,1096,1099
reserved,88.96666666666667,1193,1193
relativist,57.545833333333334,745,745
regulatory,61.525,901,899
reductionist,54.62083333333333,772,772
rebellious,88.21333333333334,1170,1170
reactive,74.21666666666667,1134,1134
rationalist,45.36833333333333,671,679
radical,89.4625,1161,1161
quantitative,87.8625,1174,1176
qualitative,87.62,1197,1197
provocative,85.08333333333333,1153,1153
progressive,73.0375,1126,1126
problem_solving,63.3875,1011,1010
proactive,68.77916666666667,1049,1042
principled,43.395833333333336,721,725
prescriptive,79.1875,1106,1106
practical,82.17083333333333,1189,1189
poetic,96.05416666666666,1196,1196
pluralist,77.8125,1093,1090
playful,93.49166666666666,1200,1200
