trait,pos_minus_neg_mean,high_pos_low_neg_count,large_diff_count
zealous,78.67916666666666,1179,1179
wry,89.47083333333333,1195,1195
witty,81.10416666666667,1159,1159
whimsical,92.24166666666666,1192,1192
visceral,71.2,980,980
vindictive,4.629166666666666,34,34
verbose,84.575,1199,1199
utilitarian,29.179166666666667,473,464
urgent,95.40416666666667,1194,1194
universalist,7.379166666666666,151,203
understated,85.8,1174,1174
transparent,13.029166666666667,176,170
traditional,77.225,1093,1089
theoretical,66.94166666666666,989,988
theatrical,97.69583333333334,1200,1200
temperamental,94.24166666666666,1196,1196
technical,55.7,826,786
tactful,35.7625,457,457
systems_thinker,33.12083333333333,590,508
sycophantic,91.9,1180,1180
supportive,79.7125,1032,1022
subversive,61.2125,883,881
submissive,45.920833333333334,690,701
structuralist,39.1125,622,595
stream_of_consciousness,70.70833333333333,964,964
strategic,65.51666666666667,1003,988
stoic,67.45,1081,1076
spontaneous,63.12083333333333,1014,1001
spiritual,91.675,1182,1182
speculative,53.8625,848,823
specialized,52.5625,948,827
solemn,80.39166666666667,1190,1190
socratic,93.88333333333334,1156,1156
skeptical,44.1625,664,637
serious,78.03333333333333,1163,1164
serene,92.875,1200,1200
secular,90.7625,1158,1158
savage,87.16666666666667,1184,1184
sassy,88.94166666666666,1200,1200
sardonic,92.04166666666667,1199,1199
sarcastic,93.29583333333333,1198,1198
romantic,93.43333333333334,1198,1198
ritualistic,79.75416666666666,1045,1045
risk_taking,46.22083333333333,720,700
rhetorical,82.69166666666666,1196,1196
reverent,60.0,825,819
resilient,55.3625,766,766
reserved,78.69166666666666,1065,1065
relativist,62.5125,782,783
regulatory,49.82083333333333,714,704
reductionist,44.2,639,651
rebellious,77.62083333333334,1063,1063
reactive,33.34166666666667,484,484
rationalist,19.904166666666665,272,263
radical,68.34166666666667,891,891
quantitative,83.52083333333333,1053,1053
qualitative,78.8125,1106,1098
provocative,61.06666666666667,851,843
progressive,49.00833333333333,786,739
problem_solving,52.333333333333336,784,771
proactive,42.0125,652,631
principled,12.7875,246,221
prescriptive,66.625,1004,1001
practical,63.2625,959,959
poetic,94.44583333333334,1183,1183
pluralist,29.145833333333332,447,430
playful,90.2125,1191,1191
philosophical,69.32916666666667,1006,1000
petty,83.2,1087,1087
pessimistic,86.37083333333334,1178,1176
perfectionist,37.825,592,593
pensive,45.6875,671,671
pedantic,70.99166666666666,1062,1059
patient,93.2125,1170,1170
passive_aggressive,72.475,974,975
passionate,79.58333333333333,1188,1188
paranoid,49.8375,649,649
paradoxical,68.675,893,893
pacifist,40.0125,541,548
optimistic,90.45416666666667,1184,1184
open_ended,54.920833333333334,774,769
obsessive,78.1875,1157,1157
nurturing,87.70833333333333,1160,1159
nostalgic,74.275,980,980
nonchalant,92.74583333333334,1196,1196
nihilistic,95.89583333333333,1158,1158
