trait,pos_70_count,pos_40_70_count
zealous,1194,2
wry,1193,4
witty,1112,67
whimsical,1191,6
visceral,949,100
vindictive,31,24
verbose,1199,0
utilitarian,610,61
urgent,1197,0
universalist,997,3
understated,1198,1
transparent,1188,7
traditional,1149,20
theoretical,1200,0
theatrical,1200,0
temperamental,1196,1
technical,796,146
tactful,1200,0
systems_thinker,1007,144
sycophantic,1179,4
supportive,1194,4
subversive,850,82
submissive,740,10
structuralist,1141,33
stream_of_consciousness,949,116
strategic,1133,41
stoic,1148,24
spontaneous,972,135
spiritual,1183,9
speculative,1075,45
specialized,962,159
solemn,1194,2
socratic,1166,6
skeptical,843,74
serious,1200,0
serene,1200,0
secular,1199,1
savage,1177,11
sassy,1198,2
sardonic,1197,3
sarcastic,1199,0
romantic,1200,0
ritualistic,1200,0
risk_taking,712,100
rhetorical,1194,4
reverent,850,41
resilient,855,86
reserved,1199,1
relativist,1199,0
regulatory,1000,40
reductionist,1154,5
rebellious,1056,30
reactive,489,17
rationalist,1181,9
radical,883,38
quantitative,1046,40
qualitative,1174,16
provocative,840,48
progressive,1067,54
problem_solving,1148,21
proactive,1157,29
principled,887,75
prescriptive,1116,10
practical,1165,11
poetic,1171,15
pluralist,1073,32
playful,1187,6
philosophical,1062,33
petty,1087,2
pessimistic,1191,2
perfectionist,1194,0
pensive,1200,0
pedantic,1082,44
patient,1200,0
passive_aggressive,946,49
passionate,1197,0
paranoid,633,55
paradoxical,1128,5
pacifist,680,12
optimistic,1197,0
open_ended,1197,3
obsessive,1161,8
nurturing,1191,7
nostalgic,977,32
nonchalant,1196,0
nihilistic,1157,5
neurotic,1198,0
narrative,1199,0
naive,1195,0
mystical,739,50
moderate,1193,3
mischievous,1049,83
misanthropic,1125,6
militant,1124,35
meticulous,1198,1
methodical,1196,0
metaphorical,1200,0
mercurial,1158,3
melodramatic,1200,0
melancholic,1199,0
meditative,1200,0
materialist,1136,10
manipulative,260,63
manic,1200,0
literal,1123,2
libertarian,926,52
judgmental,859,17
irreverent,1186,8
ironic,1193,2
intuitive,1134,51
introverted,1087,69
introspective,1147,17
interdisciplinary,1052,75
inspirational,1067,53
inquisitive,1176,0
innovative,1134,29
individualistic,675,157
independent,1041,71
inclusive,1018,93
impulsive,257,54
improvisational,713,280
impatient,1173,11
idealistic,1160,13
iconoclastic,831,55
humble,980,47
humanistic,1156,12
hostile,1195,2
holistic,1189,5
historical,1193,0
hedonistic,992,77
grounded,1198,2
gregarious,1178,13
grandiose,1074,78
goofy,1195,0
generous,1200,0
generalist,1129,53
futuristic,1037,34
fundamentalist,755,26
formalist,1195,0
formal,1200,0
forgiving,500,16
flirty,1168,16
flippant,1196,0
flexible,1080,45
fatalistic,944,52
factual,1187,3
extroverted,995,39
exploratory,1199,0
experiential,1162,11
existentialist,905,59
evil,470,12
ethereal,1107,17
essentialist,626,19
esoteric,1176,10
erudite,1123,50
epicurean,892,80
environmental,1188,6
entertaining,1179,9
enigmatic,1200,0
empathetic,1125,40
emotional,1177,11
eloquent,1200,0
elitist,451,67
egalitarian,690,87
effusive,1200,0
efficient,1190,7
educational,1194,3
edgy,697,261
eclectic,1171,8
earnest,1197,0
dramatic,1200,0
dominant,626,194
dogmatic,614,13
divergent,1176,6
dispassionate,1198,2
disorganized,1193,1
diplomatic,1191,0
deterministic,1194,0
detached,1200,0
descriptive,1169,18
deontological,321,37
deferential,1075,7
deconstructionist,753,62
decisive,977,145
data_driven,1074,21
cynical,1040,16
curious,1086,45
cryptic,1193,4
cruel,936,55
critical,974,44
creative,956,135
cosmopolitan,953,47
convergent,426,197
contrarian,1102,6
contemporary,969,74
constructivist,998,80
conscientious,1200,0
confrontational,411,71
confident,1194,2
condescending,1183,11
concise,1200,0
conciliatory,946,22
conceptual,1193,0
competitive,1156,10
collectivistic,1070,48
collaborative,1137,27
closure_seeking,966,34
circumspect,1184,7
chill,1137,37
charismatic,1181,18
chaotic,575,34
challenging,1151,18
cautious,1149,16
casual,1130,44
calm,1200,0
callous,1037,36
calculating,1161,28
bombastic,1200,0
blunt,632,118
bitter,1183,5
big_picture,1186,7
benevolent,1184,6
avoidant,64,33
assertive,934,76
ascetic,889,54
artistic,1123,22
arrogant,1187,4
anxious,1198,0
anthropocentric,634,15
animated,1188,7
analytical,1182,5
altruistic,1135,23
agreeable,1174,9
adventurous,897,75
adaptable,1175,24
acerbic,1194,3
accommodating,1152,2
accessible,1200,0
abstract,1173,14
absolutist,430,20
