trait,pos_minus_default_mean,high_pos_low_default_count,large_diff_count
zealous,,0,0
wry,,0,0
witty,,0,0
whimsical,,0,0
visceral,,0,0
vindictive,,0,0
verbose,,0,0
utilitarian,,0,0
urgent,,0,0
universalist,,0,0
understated,,0,0
transparent,,0,0
traditional,,0,0
theoretical,,0,0
theatrical,,0,0
temperamental,,0,0
technical,,0,0
tactful,,0,0
systems_thinker,,0,0
sycophantic,,0,0
supportive,,0,0
subversive,,0,0
submissive,,0,0
structuralist,,0,0
stream_of_consciousness,,0,0
strategic,,0,0
stoic,,0,0
spontaneous,,0,0
spiritual,,0,0
speculative,,0,0
specialized,,0,0
solemn,,0,0
socratic,,0,0
skeptical,,0,0
serious,,0,0
serene,,0,0
secular,,0,0
savage,,0,0
sassy,,0,0
sardonic,,0,0
sarcastic,,0,0
romantic,,0,0
ritualistic,,0,0
risk_taking,,0,0
rhetorical,,0,0
reverent,,0,0
resilient,,0,0
reserved,,0,0
relativist,,0,0
regulatory,,0,0
reductionist,,0,0
rebellious,,0,0
reactive,,0,0
rationalist,,0,0
radical,,0,0
quantitative,,0,0
qualitative,,0,0
provocative,,0,0
progressive,,0,0
problem_solving,,0,0
proactive,,0,0
principled,,0,0
prescriptive,,0,0
practical,,0,0
poetic,,0,0
pluralist,,0,0
playful,,0,0
philosophical,,0,0
petty,,0,0
pessimistic,,0,0
perfectionist,,0,0
pensive,,0,0
pedantic,,0,0
patient,,0,0
passive_aggressive,,0,0
passionate,,0,0
paranoid,,0,0
paradoxical,,0,0
pacifist,,0,0
optimistic,,0,0
open_ended,,0,0
obsessive,,0,0
nurturing,,0,0
nostalgic,,0,0
nonchalant,,0,0
nihilistic,,0,0
neurotic,,0,0
narrative,,0,0
naive,,0,0
mystical,,0,0
moderate,,0,0
mischievous,,0,0
misanthropic,,0,0
militant,,0,0
meticulous,,0,0
methodical,,0,0
metaphorical,,0,0
mercurial,,0,0
melodramatic,,0,0
melancholic,,0,0
meditative,,0,0
materialist,,0,0
manipulative,,0,0
manic,,0,0
literal,,0,0
libertarian,,0,0
judgmental,,0,0
irreverent,,0,0
ironic,,0,0
intuitive,,0,0
introverted,,0,0
introspective,,0,0
interdisciplinary,,0,0
inspirational,,0,0
inquisitive,,0,0
innovative,,0,0
individualistic,,0,0
independent,,0,0
inclusive,,0,0
impulsive,,0,0
improvisational,,0,0
impatient,,0,0
idealistic,,0,0
iconoclastic,,0,0
humble,,0,0
humanistic,,0,0
hostile,,0,0
holistic,,0,0
historical,,0,0
hedonistic,,0,0
grounded,,0,0
gregarious,,0,0
grandiose,,0,0
goofy,,0,0
generous,,0,0
generalist,,0,0
futuristic,,0,0
fundamentalist,,0,0
formalist,,0,0
formal,,0,0
forgiving,,0,0
flirty,,0,0
flippant,,0,0
flexible,,0,0
fatalistic,,0,0
factual,,0,0
extroverted,,0,0
exploratory,,0,0
experiential,,0,0
existentialist,,0,0
evil,,0,0
ethereal,,0,0
essentialist,,0,0
esoteric,,0,0
erudite,,0,0
epicurean,,0,0
environmental,,0,0
entertaining,,0,0
enigmatic,,0,0
empathetic,,0,0
emotional,,0,0
eloquent,,0,0
elitist,,0,0
egalitarian,,0,0
effusive,,0,0
efficient,,0,0
educational,,0,0
edgy,,0,0
eclectic,,0,0
earnest,,0,0
dramatic,,0,0
dominant,,0,0
dogmatic,,0,0
divergent,,0,0
dispassionate,,0,0
disorganized,,0,0
diplomatic,,0,0
deterministic,,0,0
detached,,0,0
descriptive,,0,0
deontological,,0,0
deferential,,0,0
deconstructionist,,0,0
decisive,,0,0
data_driven,,0,0
cynical,,0,0
curious,,0,0
cryptic,,0,0
cruel,,0,0
critical,,0,0
creative,,0,0
cosmopolitan,,0,0
convergent,,0,0
contrarian,,0,0
contemporary,,0,0
constructivist,,0,0
conscientious,,0,0
confrontational,,0,0
confident,,0,0
condescending,,0,0
concise,,0,0
conciliatory,,0,0
conceptual,,0,0
competitive,,0,0
collectivistic,,0,0
collaborative,,0,0
closure_seeking,,0,0
circumspect,,0,0
chill,,0,0
charismatic,,0,0
chaotic,,0,0
challenging,,0,0
cautious,,0,0
casual,,0,0
calm,,0,0
callous,,0,0
calculating,,0,0
bombastic,,0,0
blunt,,0,0
bitter,,0,0
big_picture,,0,0
benevolent,,0,0
avoidant,,0,0
assertive,,0,0
ascetic,,0,0
artistic,,0,0
arrogant,,0,0
anxious,,0,0
anthropocentric,,0,0
animated,,0,0
analytical,,0,0
altruistic,,0,0
agreeable,,0,0
adventurous,,0,0
adaptable,,0,0
acerbic,,0,0
accommodating,,0,0
accessible,,0,0
abstract,,0,0
absolutist,,0,0
