trait,pos_minus_neg_mean,high_pos_low_neg_count,large_diff_count
technical,55.5,78,79
epicurean,75.1,88,88
educational,76.8,92,92
elitist,46.8,54,54
dominant,63.35,87,87
dogmatic,58.9,64,64
divergent,49.9,50,50
dispassionate,84.75,92,92
disorganized,88.4,100,100
diplomatic,78.35,80,80
deterministic,93.25,98,98
detached,84.55,94,94
descriptive,74.0,93,93
deontological,45.85,57,53
deferential,10.4,3,3
deconstructionist,81.45,100,99
decisive,84.1,94,94
data_driven,74.85,91,91
cynical,85.85,94,94
curious,85.6,100,100
cryptic,93.0,100,100
cruel,69.4,73,73
critical,70.15,82,82
creative,76.65,98,98
cosmopolitan,32.4,33,33
convergent,47.95,59,59
contrarian,85.75,95,95
contemporary,76.25,100,100
constructivist,32.9,34,34
experiential,81.1,99,99
existentialist,82.55,83,83
entertaining,86.3,100,100
efficient,59.35,99,96
risk_taking,79.3,98,98
rhetorical,85.65,100,100
reverent,77.7,96,96
resilient,90.65,97,97
reserved,38.8,41,41
fundamentalist,71.9,76,76
formalist,52.75,67,67
formal,89.8,100,100
forgiving,51.35,59,59
flirty,91.6,100,100
flippant,94.05,100,100
flexible,74.55,77,77
effusive,95.3,100,100
rationalist,25.95,22,22
evil,51.9,58,58
ethereal,69.9,82,82
essentialist,83.0,88,88
eloquent,80.4,100,100
environmental,74.35,77,77
relativist,18.3,8,8
regulatory,44.55,48,48
systems_thinker,44.4,60,60
sycophantic,80.7,96,96
supportive,91.7,100,100
subversive,73.8,86,86
submissive,25.5,44,50
structuralist,53.5,69,69
stream_of_consciousness,72.0,87,87
strategic,87.65,100,100
stoic,41.2,55,54
spontaneous,74.65,100,97
spiritual,94.25,99,99
speculative,42.7,42,42
specialized,57.45,89,89
reductionist,57.05,75,75
solemn,88.95,100,100
socratic,79.0,89,89
skeptical,50.75,59,59
serious,91.0,100,100
serene,93.3,100,100
secular,86.1,93,93
savage,90.6,100,100
sassy,91.4,100,100
sardonic,93.55,100,100
sarcastic,82.55,86,86
romantic,94.55,100,100
ritualistic,87.5,90,90
radical,70.3,74,74
reactive,53.9,72,71
extroverted,78.5,92,90
exploratory,86.25,94,94
philosophical,79.65,100,100
petty,93.6,100,100
pessimistic,81.85,100,100
perfectionist,65.5,90,90
pensive,58.5,75,75
pedantic,68.45,83,83
patient,99.1,100,100
passive_aggressive,64.8,73,73
passionate,83.05,98,98
paranoid,38.95,44,44
narrative,96.9,100,100
naive,91.25,99,99
mystical,81.75,95,95
moderate,89.3,91,91
mischievous,91.3,100,100
paradoxical,30.4,26,26
pacifist,38.5,34,34
optimistic,93.6,100,100
open_ended,48.45,57,57
obsessive,65.85,76,76
nurturing,96.55,100,100
nostalgic,92.8,100,100
nonchalant,88.1,99,99
nihilistic,96.35,99,99
neurotic,90.85,100,100
misanthropic,86.55,88,88
militant,88.95,97,97
meticulous,37.1,49,49
methodical,67.4,91,91
metaphorical,99.9,100,100
mercurial,80.8,92,92
melodramatic,98.4,100,100
melancholic,93.7,100,100
meditative,91.65,100,100
materialist,54.6,78,76
manipulative,27.75,32,32
manic,94.55,100,100
judgmental,56.3,58,58
literal,45.7,60,61
libertarian,58.7,76,75
irreverent,93.05,100,100
introverted,79.25,92,92
introspective,63.05,85,83
ironic,91.3,94,94
intuitive,17.85,11,11
interdisciplinary,39.35,37,37
inspirational,91.75,97,97
inquisitive,75.3,74,74
innovative,73.85,97,97
individualistic,51.35,60,61
independent,39.7,47,47
inclusive,39.4,48,48
impatient,89.1,100,100
impulsive,49.05,54,54
improvisational,15.4,16,14
idealistic,58.6,68,68
humble,42.0,46,46
iconoclastic,87.15,97,96
holistic,38.5,48,48
humanistic,47.4,54,54
hedonistic,91.65,100,100
hostile,94.8,100,100
historical,90.9,100,100
grounded,78.4,99,99
goofy,95.35,100,100
gregarious,72.85,87,86
grandiose,54.65,55,56
generous,47.75,47,47
generalist,31.3,40,33
futuristic,78.2,98,98
tactful,43.6,38,39
fatalistic,71.55,79,79
factual,36.95,41,41
bombastic,94.95,100,100
erudite,70.7,98,98
esoteric,86.5,100,100
rebellious,79.2,88,88
conscientious,91.75,100,100
verbose,82.35,99,99
enigmatic,79.6,97,97
empathetic,60.3,67,67
benevolent,84.95,88,88
ascetic,89.4,100,100
avoidant,20.8,24,23
assertive,79.4,89,89
artistic,81.85,96,96
arrogant,88.05,100,100
anxious,90.05,100,100
anthropocentric,45.15,77,64
animated,90.85,100,100
analytical,35.65,40,40
altruistic,66.4,78,78
agreeable,79.1,81,81
adventurous,76.95,93,93
adaptable,19.7,22,22
acerbic,93.0,100,100
accommodating,32.55,30,30
absolutist,21.75,25,25
accessible,71.9,88,88
abstract,65.35,89,89
confrontational,55.0,73,67
playful,92.5,100,100
confident,59.1,89,87
zealous,78.5,100,100
wry,90.9,100,100
witty,87.75,100,99
whimsical,96.1,100,100
visceral,66.3,78,78
utilitarian,48.55,66,61
vindictive,1.3,0,0
urgent,83.25,97,97
universalist,37.1,41,41
understated,84.7,99,99
transparent,12.8,8,8
traditional,91.95,100,100
theoretical,67.75,87,87
theatrical,98.15,100,100
temperamental,92.75,100,100
condescending,56.75,61,61
concise,84.55,99,99
conciliatory,61.3,60,60
conceptual,69.75,93,92
competitive,90.6,95,95
collectivistic,79.55,90,90
collaborative,87.9,96,96
closure_seeking,46.7,54,54
circumspect,71.05,79,79
chill,91.25,100,100
charismatic,83.15,100,100
chaotic,70.85,90,90
challenging,65.25,77,77
cautious,60.35,65,65
casual,87.45,100,100
calm,95.6,100,100
callous,90.0,98,98
calculating,26.3,25,26
quantitative,88.15,98,98
qualitative,81.75,97,97
provocative,78.05,93,93
progressive,67.35,86,86
problem_solving,86.55,96,96
proactive,60.95,68,68
principled,19.2,19,19
prescriptive,59.45,72,70
practical,77.9,99,99
poetic,98.7,100,100
pluralist,53.4,63,63
emotional,65.2,77,77
blunt,70.7,87,87
big_picture,37.6,47,47
bitter,95.0,100,100
edgy,72.65,87,87
eclectic,64.0,77,77
earnest,70.65,77,77
dramatic,89.95,99,99
egalitarian,5.5,3,3
