trait,pos_minus_default_mean,high_pos_low_default_count,large_diff_count
rationalist,11.945833333333333,74,74
conscientious,2.110091743119266,4,4
vindictive,0.19166666666666668,1,1
existentialist,70.15873015873017,996,994
materialist,45.141666666666666,687,719
paradoxical,62.96744574290484,817,816
benevolent,9.979131886477463,71,71
confrontational,43.55713094245204,620,609
speculative,44.891666666666666,635,623
humanistic,15.633333333333333,147,145
divergent,24.4625,248,247
verbose,13.53211009174312,104,101
specialized,45.766666666666666,789,734
radical,61.2125,772,772
evil,32.8625,433,434
confident,27.683333333333334,381,370
manipulative,26.595833333333335,359,360
quantitative,70.54583333333333,983,980
pacifist,51.270833333333336,669,676
dispassionate,19.4991652754591,215,215
hostile,95.07083333333334,1200,1200
avoidant,19.041666666666668,257,264
utilitarian,55.63333333333333,797,789
manic,91.91151919866444,1198,1198
ethereal,92.73916666666666,1196,1196
condescending,72.7375,934,935
optimistic,21.3125,155,155
solemn,20.5875,260,253
provocative,71.71392827356131,1022,1018
understated,27.979166666666668,409,394
esoteric,84.00416666666666,1158,1158
holistic,13.7125,78,76
disorganized,86.46371976647205,1186,1186
assertive,58.604166666666664,916,907
qualitative,18.73227689741451,148,146
literal,3.302752293577982,70,103
urgent,87.15833333333333,1182,1181
erudite,61.2875,1036,1023
essentialist,72.9125,984,985
concise,68.23333333333333,1152,1152
socratic,85.93828190158466,1070,1070
progressive,37.25833333333333,492,463
arrogant,89.44954128440367,1183,1183
historical,87.73144286905755,1150,1150
open_ended,16.825,129,129
diplomatic,5.254378648874062,32,39
ascetic,72.8440366972477,1055,1054
universalist,20.9375,295,356
libertarian,57.079166666666666,850,869
hedonistic,76.15,1017,1018
conciliatory,25.429166666666667,331,334
judgmental,66.77916666666667,854,854
grounded,6.891666666666667,56,58
serious,15.795833333333333,125,125
conceptual,23.533333333333335,265,265
skeptical,49.204166666666666,725,710
deterministic,89.19166666666666,1126,1126
obsessive,48.354166666666664,656,656
artistic,81.51793160967473,1100,1099
detached,23.458333333333332,328,328
nostalgic,86.38865721434529,1153,1153
problem_solving,27.458333333333332,370,365
irreverent,90.8625,1200,1200
nurturing,21.5125,183,183
transparent,4.404166666666667,9,10
descriptive,18.486238532110093,253,234
epicurean,79.75,1096,1096
anxious,89.2875,1196,1196
traditional,31.779166666666665,398,389
serene,7.641666666666667,19,19
competitive,86.69583333333334,1083,1084
gregarious,47.675,740,735
proactive,17.716666666666665,218,203
ironic,95.3625,1199,1199
environmental,83.75416666666666,1058,1058
collectivistic,38.09583333333333,460,454
secular,0.3458333333333333,4,4
grandiose,70.60833333333333,909,911
nonchalant,88.87083333333334,1197,1197
deontological,59.27916666666667,792,790
principled,20.65,312,301
anthropocentric,48.8907422852377,718,739
theoretical,48.733333333333334,660,660
intuitive,17.076730608840702,166,141
entertaining,78.43333333333334,1163,1163
goofy,96.25833333333334,1200,1200
nihilistic,94.42916666666666,1165,1165
collaborative,40.791666666666664,538,526
savage,84.55,1161,1161
introverted,42.2625,798,749
deferential,29.341666666666665,417,431
animated,73.70833333333333,1121,1121
theatrical,95.07916666666667,1196,1196
prescriptive,46.27916666666667,617,607
analytical,10.991666666666667,60,60
sassy,90.77083333333333,1198,1198
enigmatic,89.3625,1199,1199
generous,9.1875,78,79
closure_seeking,38.520833333333336,637,631
neurotic,90.42916666666666,1198,1198
decisive,47.87083333333333,808,733
deconstructionist,77.10833333333333,1117,1115
narrative,94.27083333333333,1184,1184
introspective,53.74583333333333,940,879
temperamental,92.77916666666667,1198,1198
sardonic,92.77083333333333,1199,1199
practical,27.345833333333335,337,333
empathetic,32.333333333333336,440,429
circumspect,14.26605504587156,174,166
generalist,23.04837364470392,220,206
altruistic,25.746455379482903,280,272
technical,52.44787322768974,826,782
poetic,96.2375,1194,1194
sarcastic,94.875,1199,1199
interdisciplinary,38.97083333333333,507,487
emotional,44.641666666666666,588,579
naive,72.6375,1117,1117
chill,33.05833333333333,485,471
visceral,79.97916666666667,1118,1116
futuristic,73.025,1003,1001
agreeable,11.141666666666667,93,91
adventurous,70.28333333333333,1035,1030
data_driven,64.5375,962,953
tactful,5.166666666666667,5,5
pluralist,23.775,276,277
mystical,77.4625,1026,1025
systems_thinker,41.575,591,585
inspirational,43.18333333333333,605,602
eloquent,46.575,704,702
charismatic,47.608333333333334,776,772
romantic,87.20416666666667,1170,1170
fundamentalist,59.90833333333333,799,799
cynical,77.44583333333334,980,980
reactive,49.49583333333333,773,772
formalist,19.125,209,209
chaotic,76.95,1130,1130
playful,88.525,1178,1178
curious,50.916666666666664,838,831
inquisitive,82.2625,1017,1016
elitist,37.25,498,499
ritualistic,43.3625,567,571
sycophantic,82.62083333333334,1148,1148
innovative,71.88333333333334,1066,1064
moderate,10.529166666666667,83,80
philosophical,63.3375,902,884
egalitarian,41.36666666666667,581,553
mischievous,89.4,1196,1196
risk_taking,73.8,1072,1067
individualistic,33.854166666666664,548,513
adaptable,3.6041666666666665,18,20
formal,16.379166666666666,100,100
supportive,16.1375,88,88
cryptic,91.79583333333333,1199,1199
petty,63.55,851,851
challenging,54.97083333333333,852,825
cautious,29.920833333333334,380,371
acerbic,92.60833333333333,1198,1198
effusive,88.425,1149,1149
accommodating,13.658333333333333,200,226
rhetorical,68.05416666666666,1061,1061
pessimistic,76.6625,1134,1124
misanthropic,89.375,1109,1109
militant,91.1625,1166,1166
cruel,75.85416666666667,999,999
inclusive,30.345833333333335,414,399
forgiving,36.15929941618015,494,503
casual,77.91666666666667,1132,1132
subversive,69.8125,1021,1014
efficient,38.2125,654,603
meticulous,5.1625,9,9
resilient,23.833333333333332,379,349
calm,3.183333333333333,0,0
accessible,6.15,29,28
independent,24.229166666666668,300,284
perfectionist,14.845833333333333,164,163
flirty,86.87916666666666,1187,1187
reverent,63.75416666666667,917,907
flippant,89.85416666666667,1198,1197
critical,75.44166666666666,1056,1050
submissive,23.75,426,482
educational,8.333333333333334,72,68
experiential,61.6375,998,993
abstract,27.4,310,309
creative,70.3125,1115,1114
pedantic,64.3125,1027,1027
structuralist,25.9875,291,284
pensive,15.225,92,90
reserved,10.354166666666666,89,89
flexible,7.7375,58,54
callous,80.99583333333334,1080,1080
improvisational,32.204166666666666,728,519
impulsive,44.34166666666667,589,589
edgy,79.64583333333333,1129,1129
meditative,59.44166666666667,874,874
cosmopolitan,47.2,692,681
calculating,10.9,111,100
methodical,9.658333333333333,53,51
stream_of_consciousness,74.80833333333334,1081,1080
eclectic,41.166666666666664,548,544
relativist,58.6,731,731
zealous,68.925,988,988
bombastic,91.71666666666667,1199,1199
convergent,41.166666666666664,733,680
metaphorical,91.8375,1127,1127
fatalistic,73.83333333333333,953,953
stoic,12.245833333333334,176,164
idealistic,48.3875,668,667
strategic,21.45,206,193
earnest,11.3625,102,96
patient,2.629166666666667,0,0
factual,3.9875,24,24
wry,91.54583333333333,1199,1199
mercurial,81.59583333333333,1115,1115
impatient,87.4,1183,1183
passive_aggressive,57.4,775,777
regulatory,44.4625,666,643
blunt,63.275,921,921
contrarian,84.95,1120,1120
dramatic,86.825,1184,1184
reductionist,20.754166666666666,227,227
passionate,67.2875,986,986
exploratory,16.829166666666666,151,150
spiritual,93.27916666666667,1173,1173
dominant,50.641666666666666,916,850
witty,86.70416666666667,1190,1190
spontaneous,68.40416666666667,1161,1160
melodramatic,94.425,1197,1197
contemporary,52.24583333333333,841,827
iconoclastic,75.31666666666666,1002,1001
extroverted,59.6875,897,879
whimsical,93.075,1195,1195
rebellious,86.90416666666667,1159,1159
melancholic,91.0,1188,1188
bitter,94.3375,1199,1199
paranoid,35.42916666666667,445,445
dogmatic,48.458333333333336,629,630
humble,23.483333333333334,290,283
big_picture,13.470833333333333,116,107
constructivist,34.37916666666667,414,408
absolutist,38.15833333333333,534,541
