trait,pos_minus_default_mean,high_pos_low_default_count,large_diff_count
absolutist,22.75,25,25
abstract,13.9,2,2
accessible,1.95,0,0
accommodating,6.8,0,0
acerbic,93.0,100,100
adaptable,1.3,0,0
adventurous,53.65,67,67
agreeable,8.1,0,0
altruistic,22.35,21,21
analytical,3.7,0,0
animated,36.8,34,34
anthropocentric,43.85,66,58
anxious,89.55,99,99
arrogant,88.15,100,100
artistic,45.2,47,47
ascetic,77.0,97,97
assertive,71.7,82,82
avoidant,21.6,24,22
benevolent,3.6,0,0
big_picture,5.45,0,0
bitter,95.0,100,100
blunt,65.0,87,87
bombastic,90.5,100,100
calculating,6.0,2,2
callous,90.0,98,98
calm,2.35,0,0
casual,74.55,93,93
cautious,4.85,0,0
challenging,44.0,51,49
chaotic,50.75,68,68
charismatic,48.45,63,63
chill,14.3,7,6
circumspect,3.3,1,1
closure_seeking,36.8,46,45
collaborative,29.7,22,22
collectivistic,13.35,5,5
competitive,89.1,95,95
conceptual,12.55,3,3
conciliatory,3.6,0,0
concise,67.35,94,94
condescending,56.85,61,61
confident,37.2,47,45
confrontational,39.75,54,54
conscientious,1.35,0,0
constructivist,15.2,7,7
contemporary,53.9,75,75
contrarian,86.25,97,97
convergent,31.95,44,41
cosmopolitan,5.15,0,0
creative,29.35,28,28
critical,44.3,45,45
cruel,69.4,73,73
cryptic,92.5,100,100
curious,38.3,46,46
cynical,82.45,94,94
data_driven,62.6,84,84
decisive,75.0,87,87
deconstructionist,55.45,73,73
deferential,6.85,1,1
deontological,44.25,54,48
descriptive,10.8,0,0
detached,20.25,22,22
deterministic,88.65,93,93
diplomatic,1.25,0,0
disorganized,87.3,100,100
dispassionate,18.45,23,23
divergent,5.75,1,1
dogmatic,59.1,64,64
dominant,32.1,41,38
dramatic,69.5,80,80
earnest,12.4,5,4
eclectic,26.0,15,15
edgy,72.55,87,87
educational,7.3,9,9
efficient,30.0,29,27
effusive,80.45,93,93
egalitarian,20.4,9,7
elitist,45.9,54,54
eloquent,30.55,22,22
emotional,15.85,4,4
empathetic,5.15,0,0
enigmatic,76.45,92,92
entertaining,64.85,82,82
environmental,74.95,76,76
epicurean,77.35,87,87
erudite,33.85,46,46
esoteric,68.4,91,91
essentialist,69.45,85,83
ethereal,81.45,93,93
evil,51.9,58,58
existentialist,29.15,23,23
experiential,66.5,89,88
exploratory,7.8,1,1
extroverted,63.6,78,75
factual,1.5,0,0
fatalistic,71.25,79,79
flexible,3.15,0,0
flippant,94.05,100,100
flirty,90.7,100,100
forgiving,17.8,10,10
formal,22.35,20,20
formalist,15.95,11,11
fundamentalist,72.1,76,76
futuristic,55.75,59,59
generalist,12.25,11,8
generous,4.8,4,4
goofy,93.85,100,100
grandiose,54.75,55,56
gregarious,43.2,49,49
grounded,3.2,0,0
hedonistic,80.05,98,98
historical,89.4,99,99
holistic,4.7,0,0
hostile,94.8,100,100
humanistic,4.65,0,0
humble,6.75,2,2
iconoclastic,79.15,93,91
idealistic,33.95,31,31
impatient,89.1,100,100
improvisational,6.25,7,7
impulsive,47.75,54,54
inclusive,17.95,17,17
independent,5.1,0,0
individualistic,28.75,32,30
innovative,54.5,65,65
inquisitive,11.2,11,11
inspirational,10.2,2,2
interdisciplinary,19.5,11,11
introspective,18.2,20,16
introverted,48.9,67,64
intuitive,7.65,0,0
ironic,87.75,90,90
irreverent,89.6,99,99
judgmental,56.1,58,58
libertarian,55.75,72,67
literal,20.1,25,28
manic,93.15,100,100
manipulative,27.75,32,32
materialist,51.2,65,63
meditative,30.4,22,22
melancholic,82.0,99,99
melodramatic,97.0,100,100
mercurial,80.7,92,92
metaphorical,69.15,67,67
methodical,10.45,7,7
meticulous,7.1,5,5
militant,88.95,97,97
misanthropic,86.55,88,88
mischievous,84.3,97,97
moderate,3.85,0,0
mystical,65.95,82,80
naive,90.05,99,99
narrative,85.8,96,96
neurotic,88.05,95,95
nihilistic,96.35,99,99
nonchalant,88.2,99,99
nostalgic,90.5,100,100
nurturing,4.45,0,0
obsessive,65.35,76,76
open_ended,6.1,0,0
optimistic,23.45,11,11
pacifist,42.05,39,39
paradoxical,9.4,1,1
paranoid,39.55,44,44
passionate,69.2,80,80
passive_aggressive,65.3,73,73
patient,4.35,2,2
pedantic,61.65,82,81
pensive,10.3,3,3
perfectionist,17.5,16,16
pessimistic,62.35,95,92
petty,92.05,99,99
philosophical,39.45,36,36
playful,73.1,89,89
pluralist,6.6,1,1
poetic,90.65,97,97
practical,5.8,0,0
prescriptive,10.25,1,2
principled,4.85,2,2
proactive,7.15,2,2
problem_solving,8.9,1,1
progressive,18.4,9,9
provocative,71.45,91,91
qualitative,16.6,9,9
quantitative,63.95,78,76
radical,69.7,74,74
rationalist,11.0,4,4
reactive,41.9,60,59
rebellious,75.7,84,84
reductionist,7.7,5,5
regulatory,10.8,6,6
relativist,19.3,12,12
reserved,4.0,1,1
resilient,15.0,12,12
reverent,35.3,39,37
rhetorical,70.05,89,89
risk_taking,59.5,79,79
ritualistic,20.55,12,12
romantic,80.9,93,93
sarcastic,96.5,100,100
sardonic,92.25,99,99
sassy,89.7,100,100
savage,88.7,100,100
secular,4.8,1,1
serene,10.15,0,0
serious,19.7,17,17
skeptical,12.0,7,7
socratic,51.4,50,50
solemn,7.6,1,1
specialized,18.6,13,13
speculative,12.85,4,4
spiritual,69.8,76,76
spontaneous,66.2,93,89
stoic,7.95,5,7
strategic,8.05,3,3
stream_of_consciousness,67.2,86,86
structuralist,10.2,4,4
submissive,3.1,22,34
subversive,65.3,85,85
supportive,1.15,0,0
sycophantic,82.7,96,96
systems_thinker,15.55,1,1
tactful,3.0,0,0
technical,23.8,19,19
temperamental,93.65,100,100
theatrical,92.8,99,99
theoretical,33.45,28,28
traditional,33.5,36,36
transparent,1.05,0,0
understated,59.15,75,75
universalist,31.4,38,38
urgent,37.15,33,33
utilitarian,35.95,57,48
verbose,14.45,8,8
vindictive,1.3,0,0
visceral,69.95,78,78
whimsical,91.5,100,100
witty,81.85,96,96
wry,88.8,99,99
zealous,69.6,83,83
