trait,pos_minus_neg_mean,high_pos_low_neg_count,large_diff_count
absolutist,21.75,25,25
abstract,65.35,89,89
accessible,71.9,88,88
accommodating,32.55,30,30
acerbic,93.0,100,100
adaptable,19.7,22,22
adventurous,76.95,93,93
agreeable,79.1,81,81
altruistic,66.4,78,78
analytical,35.65,40,40
animated,90.85,100,100
anthropocentric,45.15,77,64
anxious,90.05,100,100
arrogant,88.05,100,100
artistic,81.85,96,96
ascetic,89.4,100,100
assertive,79.4,89,89
avoidant,20.8,24,23
benevolent,84.95,88,88
big_picture,37.6,47,47
bitter,95.0,100,100
blunt,70.7,87,87
bombastic,94.95,100,100
calculating,26.3,25,26
callous,90.0,98,98
calm,95.6,100,100
casual,87.45,100,100
cautious,60.35,65,65
challenging,65.25,77,77
chaotic,70.85,90,90
charismatic,83.15,100,100
chill,91.25,100,100
circumspect,71.05,79,79
closure_seeking,46.7,54,54
collaborative,87.9,96,96
collectivistic,79.55,90,90
competitive,90.6,95,95
conceptual,69.75,93,92
conciliatory,61.3,60,60
concise,84.55,99,99
condescending,56.75,61,61
confident,59.1,89,87
confrontational,55.0,73,67
conscientious,91.75,100,100
constructivist,32.9,34,34
contemporary,76.25,100,100
contrarian,85.75,95,95
convergent,47.95,59,59
cosmopolitan,32.4,33,33
creative,76.65,98,98
critical,70.15,82,82
cruel,69.4,73,73
cryptic,93.0,100,100
curious,85.6,100,100
cynical,85.85,94,94
data_driven,74.85,91,91
decisive,84.1,94,94
deconstructionist,81.45,100,99
deferential,10.4,3,3
deontological,45.85,57,53
descriptive,74.0,93,93
detached,84.55,94,94
deterministic,93.25,98,98
diplomatic,78.35,80,80
disorganized,88.4,100,100
dispassionate,84.75,92,92
divergent,49.9,50,50
dogmatic,58.9,64,64
dominant,63.35,87,87
dramatic,89.95,99,99
earnest,70.65,77,77
eclectic,64.0,77,77
edgy,72.65,87,87
educational,76.8,92,92
efficient,59.35,99,96
effusive,95.3,100,100
egalitarian,5.5,3,3
elitist,46.8,54,54
eloquent,80.4,100,100
emotional,65.2,77,77
empathetic,60.3,67,67
enigmatic,79.6,97,97
entertaining,86.3,100,100
environmental,74.35,77,77
epicurean,75.1,88,88
erudite,70.7,98,98
esoteric,86.5,100,100
essentialist,83.0,88,88
ethereal,69.9,82,82
evil,51.9,58,58
existentialist,82.55,83,83
experiential,81.1,99,99
exploratory,86.25,94,94
extroverted,78.5,92,90
factual,36.95,41,41
fatalistic,71.55,79,79
flexible,74.55,77,77
flippant,94.05,100,100
flirty,91.6,100,100
forgiving,51.35,59,59
formal,89.8,100,100
formalist,52.75,67,67
fundamentalist,71.9,76,76
futuristic,78.2,98,98
generalist,31.3,40,33
generous,47.75,47,47
goofy,95.35,100,100
grandiose,54.65,55,56
gregarious,72.85,87,86
grounded,78.4,99,99
hedonistic,91.65,100,100
historical,90.9,100,100
holistic,38.5,48,48
hostile,94.8,100,100
humanistic,47.4,54,54
humble,42.0,46,46
iconoclastic,87.15,97,96
idealistic,58.6,68,68
impatient,89.1,100,100
improvisational,15.4,16,14
impulsive,49.05,54,54
inclusive,39.4,48,48
independent,39.7,47,47
individualistic,51.35,60,61
innovative,73.85,97,97
inquisitive,75.3,74,74
inspirational,91.75,97,97
interdisciplinary,39.35,37,37
introspective,63.05,85,83
introverted,79.25,92,92
intuitive,17.85,11,11
ironic,91.3,94,94
irreverent,93.05,100,100
judgmental,56.3,58,58
libertarian,58.7,76,75
literal,45.7,60,61
manic,94.55,100,100
manipulative,27.75,32,32
materialist,54.6,78,76
meditative,91.65,100,100
melancholic,93.7,100,100
melodramatic,98.4,100,100
mercurial,80.8,92,92
metaphorical,99.9,100,100
methodical,67.4,91,91
meticulous,37.1,49,49
militant,88.95,97,97
misanthropic,86.55,88,88
mischievous,91.3,100,100
moderate,89.3,91,91
mystical,81.75,95,95
naive,91.25,99,99
narrative,96.9,100,100
neurotic,90.85,100,100
nihilistic,96.35,99,99
nonchalant,88.1,99,99
nostalgic,92.8,100,100
nurturing,96.55,100,100
obsessive,65.85,76,76
open_ended,48.45,57,57
optimistic,93.6,100,100
pacifist,38.5,34,34
paradoxical,30.4,26,26
paranoid,38.95,44,44
passionate,83.05,98,98
passive_aggressive,64.8,73,73
patient,99.1,100,100
pedantic,68.45,83,83
pensive,58.5,75,75
perfectionist,65.5,90,90
pessimistic,81.85,100,100
petty,93.6,100,100
philosophical,79.65,100,100
playful,92.5,100,100
pluralist,53.4,63,63
poetic,98.7,100,100
practical,77.9,99,99
prescriptive,59.45,72,70
principled,19.2,19,19
proactive,60.95,68,68
problem_solving,86.55,96,96
progressive,67.35,86,86
provocative,78.05,93,93
qualitative,81.75,97,97
quantitative,88.15,98,98
radical,70.3,74,74
rationalist,25.95,22,22
reactive,53.9,72,71
rebellious,79.2,88,88
reductionist,57.05,75,75
regulatory,44.55,48,48
relativist,18.3,8,8
reserved,38.8,41,41
resilient,90.65,97,97
reverent,77.7,96,96
rhetorical,85.65,100,100
risk_taking,79.3,98,98
ritualistic,87.5,90,90
romantic,94.55,100,100
sarcastic,82.55,86,86
sardonic,93.55,100,100
sassy,91.4,100,100
savage,90.6,100,100
secular,86.1,93,93
serene,93.3,100,100
serious,91.0,100,100
skeptical,50.75,59,59
socratic,79.0,89,89
solemn,88.95,100,100
specialized,57.45,89,89
speculative,42.7,42,42
spiritual,94.25,99,99
spontaneous,74.65,100,97
stoic,41.2,55,54
strategic,87.65,100,100
stream_of_consciousness,72.0,87,87
structuralist,53.5,69,69
submissive,25.5,44,50
subversive,73.8,86,86
