trait,pos_70_count,pos_40_70_count
conscientious,1200,0
spontaneous,1184,5
contemporary,1146,28
constructivist,1161,16
verbose,1200,0
introspective,1178,7
pessimistic,1192,3
esoteric,1198,0
abstract,1199,0
relativist,1194,1
moderate,1197,2
grandiose,935,143
goofy,1196,1
spiritual,1200,0
perfectionist,1197,0
dispassionate,1200,0
calculating,1188,7
essentialist,1036,14
regulatory,995,56
erudite,1196,3
interdisciplinary,1185,11
pensive,1200,0
utilitarian,1100,20
bombastic,1200,0
mischievous,1178,10
disorganized,1052,36
inspirational,1183,5
speculative,1183,11
epicurean,1140,22
confrontational,749,53
absolutist,1021,10
generous,1200,0
misanthropic,998,20
urgent,1193,3
blunt,706,124
reductionist,1194,1
diplomatic,1194,2
specialized,1177,9
confident,1193,5
pedantic,1180,7
inquisitive,1026,4
environmental,1171,14
universalist,1100,1
militant,1143,19
rebellious,1179,6
generalist,1186,8
bitter,1186,5
deterministic,1168,3
solemn,1199,0
patient,1200,0
innovative,1176,12
entertaining,1196,1
condescending,761,43
accessible,1200,0
understated,1188,3
futuristic,1169,10
meticulous,1199,1
detached,1200,0
reactive,512,54
big_picture,1199,1
socratic,1195,1
passive_aggressive,502,50
transparent,1200,0
individualistic,952,95
enigmatic,1191,0
concise,1188,12
methodical,1199,0
rationalist,1200,0
fundamentalist,872,28
descriptive,1173,7
benevolent,1192,1
passionate,1200,0
skeptical,1125,23
independent,1130,25
metaphorical,1199,0
empathetic,1181,6
conciliatory,1042,15
traditional,1177,6
radical,1137,6
formalist,1198,0
deontological,1094,18
avoidant,38,6
serious,1200,0
paranoid,751,122
inclusive,1142,38
conceptual,1200,0
emotional,1199,0
theoretical,1200,0
quantitative,1183,9
mercurial,945,5
formal,1200,0
deferential,965,23
paradoxical,1197,0
assertive,1111,24
serene,1200,0
impulsive,214,41
competitive,1157,11
qualitative,1197,2
eloquent,1200,0
anxious,1157,24
deconstructionist,1179,6
theatrical,1200,0
forgiving,826,25
ascetic,1161,10
melodramatic,1200,0
iconoclastic,1131,12
secular,1200,0
pacifist,749,16
circumspect,1185,6
improvisational,1044,103
proactive,1183,12
elitist,424,190
collectivistic,1178,7
temperamental,1189,3
provocative,1158,14
flirty,1166,14
decisive,1079,54
melancholic,1186,5
optimistic,1200,0
artistic,1187,4
egalitarian,980,56
savage,1098,46
impatient,850,69
collaborative,1182,8
technical,1171,17
progressive,1169,10
meditative,1199,0
flippant,1188,8
data_driven,1188,3
arrogant,1034,91
open_ended,1200,0
effusive,1200,0
sassy,1199,1
idealistic,1196,3
closure_seeking,1032,24
cynical,1142,15
flexible,1165,17
tactful,1200,0
sardonic,1199,0
problem_solving,1158,7
materialist,1187,1
obsessive,982,23
efficient,1197,2
systems_thinker,1180,14
stoic,1185,7
manipulative,160,72
fatalistic,836,83
humble,964,50
curious,1173,10
nurturing,1197,2
sarcastic,1200,0
anthropocentric,909,18
educational,1198,2
chill,1127,39
manic,1194,6
sycophantic,1054,36
principled,1073,17
cryptic,1198,0
factual,1200,0
animated,1199,1
petty,311,23
romantic,1200,0
nostalgic,1173,8
edgy,1005,128
supportive,1200,0
extroverted,992,44
humanistic,1186,2
charismatic,1200,0
analytical,1198,1
introverted,1171,19
zealous,1200,0
prescriptive,1164,4
literal,1159,2
ritualistic,1198,0
nonchalant,1183,6
cruel,632,83
hostile,1175,9
accommodating,1050,3
chaotic,1001,32
eclectic,1198,1
subversive,1066,37
practical,1199,1
exploratory,1200,0
libertarian,1100,24
critical,1180,4
risk_taking,1018,39
altruistic,1174,11
judgmental,676,58
wry,1198,0
earnest,1198,0
nihilistic,1121,4
holistic,1200,0
challenging,1198,2
agreeable,1176,8
poetic,1199,0
creative,1191,5
submissive,233,6
experiential,1196,1
witty,1196,2
rhetorical,1199,0
neurotic,1196,2
historical,1199,0
dramatic,1199,0
structuralist,1198,1
cautious,1172,13
existentialist,1180,6
irreverent,1193,4
pluralist,1163,20
cosmopolitan,972,69
adventurous,1154,23
reverent,1151,12
narrative,1199,0
dominant,985,76
whimsical,1200,0
casual,1191,8
stream_of_consciousness,931,73
ironic,1195,0
playful,1199,0
hedonistic,1073,42
evil,263,19
calm,1200,0
contrarian,1181,1
adaptable,1191,9
resilient,981,35
dogmatic,388,60
grounded,1075,0
acerbic,1194,3
convergent,1041,58
naive,1129,7
visceral,1059,48
strategic,1166,11
philosophical,1183,8
ethereal,1193,0
vindictive,41,56
intuitive,1193,5
gregarious,1165,12
reserved,1200,0
mystical,1184,7
callous,761,97
divergent,1198,1
