trait,pos_minus_neg_mean,high_pos_low_neg_count,large_diff_count
conscientious,63.47083333333333,944,945
spontaneous,72.52083333333333,1177,1177
contemporary,71.8,1114,1113
constructivist,57.0125,778,776
verbose,78.89583333333333,1192,1192
introspective,69.4875,1033,1026
pessimistic,84.70416666666667,1187,1187
esoteric,90.3,1181,1181
abstract,64.33333333333333,996,996
relativist,67.66666666666667,882,882
moderate,87.30416666666666,1157,1154
grandiose,75.44166666666666,1001,1003
goofy,93.99583333333334,1197,1197
spiritual,97.0375,1197,1197
perfectionist,38.0625,602,602
dispassionate,90.00416666666666,1199,1199
calculating,18.191666666666666,211,202
essentialist,77.99166666666666,1035,1035
regulatory,47.5375,709,702
erudite,76.49166666666666,1191,1191
interdisciplinary,38.81666666666667,519,517
pensive,41.24166666666667,555,555
utilitarian,72.67916666666666,1059,1057
bombastic,95.00833333333334,1200,1200
mischievous,86.78333333333333,1182,1182
disorganized,74.97083333333333,1054,1054
inspirational,83.09583333333333,1123,1117
speculative,58.03333333333333,900,889
epicurean,78.8,1129,1129
confrontational,53.5625,751,751
absolutist,75.51666666666667,1016,1016
generous,35.766666666666666,541,541
misanthropic,78.85416666666667,1006,1006
urgent,90.81666666666666,1189,1189
blunt,55.075,718,718
reductionist,57.2625,857,859
diplomatic,69.52916666666667,963,962
specialized,67.33333333333333,1103,1101
confident,45.34166666666667,762,752
pedantic,79.20416666666667,1162,1161
inquisitive,81.09166666666667,1003,1004
environmental,86.1125,1094,1094
universalist,29.254166666666666,417,438
militant,88.99583333333334,1154,1154
rebellious,89.62083333333334,1182,1181
generalist,32.925,449,438
bitter,90.62916666666666,1188,1188
deterministic,93.8625,1166,1166
solemn,80.5625,1188,1188
patient,89.5375,1161,1161
innovative,77.26666666666667,1162,1162
entertaining,83.89583333333333,1196,1196
condescending,62.57083333333333,785,785
accessible,75.7875,1133,1136
understated,78.0375,1145,1146
futuristic,78.16666666666667,1104,1099
meticulous,25.566666666666666,296,296
detached,90.26666666666667,1197,1197
reactive,36.85,508,508
big_picture,44.25416666666667,670,668
socratic,96.80833333333334,1187,1187
passive_aggressive,39.458333333333336,528,528
transparent,9.904166666666667,114,107
individualistic,53.525,837,809
enigmatic,91.97083333333333,1191,1191
concise,80.9875,1194,1194
methodical,41.4625,616,616
rationalist,36.15,510,510
fundamentalist,65.7375,870,870
descriptive,53.925,820,820
benevolent,52.72083333333333,742,743
passionate,78.53333333333333,1180,1180
skeptical,63.52916666666667,944,936
independent,37.545833333333334,613,590
metaphorical,99.3125,1198,1198
empathetic,71.57916666666667,1070,1068
conciliatory,59.604166666666664,847,864
traditional,85.32916666666667,1160,1159
radical,89.41666666666667,1138,1137
formalist,19.233333333333334,225,225
deontological,79.30416666666666,1042,1042
avoidant,4.583333333333333,38,38
serious,81.40416666666667,1188,1188
paranoid,59.25416666666667,800,802
inclusive,45.1125,733,718
conceptual,70.62916666666666,1103,1103
emotional,83.67083333333333,1134,1134
theoretical,68.18333333333334,1029,1029
quantitative,91.41666666666667,1186,1186
mercurial,69.54583333333333,946,946
formal,80.10833333333333,1187,1187
deferential,44.13333333333333,678,707
paradoxical,67.33333333333333,862,862
assertive,74.99166666666666,1105,1104
serene,92.71666666666667,1198,1198
impulsive,19.408333333333335,221,221
competitive,91.1375,1161,1161
qualitative,86.05,1185,1185
eloquent,69.17083333333333,1180,1180
anxious,87.38333333333334,1168,1168
deconstructionist,85.55416666666666,1169,1166
theatrical,94.89166666666667,1197,1197
forgiving,42.520833333333336,639,658
ascetic,83.14166666666667,1157,1157
melodramatic,95.86666666666666,1200,1200
iconoclastic,85.85833333333333,1133,1133
secular,97.6125,1200,1200
pacifist,43.020833333333336,590,597
circumspect,63.44166666666667,976,972
improvisational,45.575,900,818
proactive,40.233333333333334,654,631
elitist,39.53333333333333,517,527
collectivistic,80.4125,1104,1104
temperamental,91.39583333333333,1191,1191
provocative,84.17083333333333,1158,1157
flirty,88.1625,1172,1172
decisive,69.525,1073,1067
melancholic,89.1625,1187,1187
optimistic,89.50416666666666,1180,1180
artistic,89.73333333333333,1184,1184
egalitarian,33.93333333333333,496,491
savage,82.15,1116,1116
impatient,64.85416666666667,875,875
collaborative,79.45416666666667,1116,1116
technical,79.65833333333333,1153,1152
progressive,60.8,936,925
meditative,87.5,1176,1176
flippant,88.2125,1188,1188
data_driven,88.82916666666667,1173,1174
arrogant,77.35,1090,1090
open_ended,58.80833333333333,854,853
effusive,96.3125,1200,1200
sassy,93.03333333333333,1200,1200
idealistic,67.37916666666666,994,994
closure_seeking,66.2875,1012,1011
cynical,87.5625,1147,1147
flexible,49.44166666666667,750,742
tactful,33.0375,393,393
sardonic,93.16666666666667,1199,1199
problem_solving,46.795833333333334,721,718
materialist,77.77083333333333,1125,1125
obsessive,66.625,981,981
efficient,65.95,1192,1181
systems_thinker,53.21666666666667,829,820
stoic,56.9125,919,913
manipulative,15.616666666666667,181,183
fatalistic,67.19583333333334,867,867
humble,50.09166666666667,797,779
curious,76.34166666666667,1155,1155
nurturing,80.6125,1112,1112
sarcastic,88.95416666666667,1172,1172
anthropocentric,56.61666666666667,856,854
educational,57.72083333333333,849,847
chill,78.30833333333334,1129,1127
manic,89.53333333333333,1196,1196
sycophantic,79.72916666666667,1061,1061
principled,26.270833333333332,406,407
cryptic,92.775,1198,1198
factual,8.770833333333334,90,89
animated,84.4875,1196,1196
petty,24.858333333333334,314,314
romantic,95.35,1200,1200
nostalgic,87.6625,1170,1168
edgy,73.475,1055,1055
supportive,68.19583333333334,913,910
extroverted,67.7,998,993
humanistic,52.74583333333333,783,780
charismatic,67.135,1175,1175
analytical,37.108333333333334,533,533
introverted,65.58333333333333,1068,1057
zealous,78.84583333333333,1181,1181
prescriptive,68.09583333333333,962,964
literal,53.75833333333333,739,741
ritualistic,81.275,1112,1112
nonchalant,87.34583333333333,1185,1185
cruel,49.541666666666664,644,644
hostile,87.9625,1177,1177
accommodating,25.533333333333335,382,399
chaotic,67.29166666666667,982,975
eclectic,53.49166666666667,833,833
subversive,76.54166666666667,1080,1080
practical,81.40833333333333,1187,1186
exploratory,60.170833333333334,930,929
libertarian,76.04166666666667,1070,1069
critical,80.9625,1118,1117
risk_taking,67.97083333333333,1028,1022
altruistic,74.75416666666666,1010,1009
judgmental,52.333333333333336,691,691
wry,91.6,1198,1198
earnest,64.2,884,884
nihilistic,90.89166666666667,1122,1122
holistic,33.6125,447,447
challenging,70.6875,1067,1065
agreeable,67.875,958,951
poetic,97.39583333333333,1199,1199
creative,77.68333333333334,1187,1187
submissive,14.608333333333333,201,208
experiential,82.52916666666667,1194,1194
witty,89.87916666666666,1196,1196
rhetorical,84.51666666666667,1197,1197
neurotic,90.20416666666667,1196,1196
historical,91.33333333333333,1180,1180
dramatic,92.81666666666666,1196,1196
structuralist,46.35,669,670
cautious,56.78333333333333,887,872
existentialist,87.74583333333334,1149,1149
irreverent,91.4625,1194,1194
pluralist,41.0625,591,582
cosmopolitan,32.858333333333334,568,568
adventurous,77.79583333333333,1153,1149
reverent,81.55833333333334,1126,1126
narrative,95.05416666666666,1198,1198
dominant,59.358333333333334,993,980
whimsical,94.65,1200,1200
casual,88.35416666666667,1197,1197
stream_of_consciousness,69.70416666666667,936,936
ironic,94.875,1195,1195
playful,94.2125,1199,1199
hedonistic,80.10416666666667,1082,1082
evil,20.6125,264,264
calm,79.00833333333334,1059,1059
contrarian,92.4375,1176,1176
adaptable,15.545833333333333,202,179
resilient,54.725,817,824
dogmatic,40.80416666666667,523,523
grounded,74.55,1157,1154
acerbic,91.78333333333333,1194,1194
convergent,63.675,984,980
naive,76.88333333333334,1147,1147
visceral,77.425,1069,1069
strategic,61.729166666666664,949,947
philosophical,78.475,1099,1098
ethereal,91.30416666666666,1188,1188
vindictive,6.820833333333334,51,51
intuitive,20.9875,193,190
gregarious,76.00416666666666,1134,1131
reserved,87.1125,1180,1180
