trait,pos_0,neg_0,default_0,pos_1,neg_1,default_1,pos_2,neg_2,default_2,pos_3,neg_3,default_3,pos_4,neg_4,default_4,pos_5,neg_5,default_5,pos_6,neg_6,default_6,pos_7,neg_7,default_7,pos_8,neg_8,default_8,pos_9,neg_9,default_9,pos_10,neg_10,default_10,pos_11,neg_11,default_11,pos_12,neg_12,default_12,pos_13,neg_13,default_13,pos_14,neg_14,default_14,pos_15,neg_15,default_15,pos_16,neg_16,default_16,pos_17,neg_17,default_17,pos_18,neg_18,default_18,pos_19,neg_19,default_19
absolutist,0,0,0,10,10,0,10,0,0,0,10,10,0,0,0,10,10,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
abstract,100,30,90,100,20,80,95,20,90,95,30,85,95,20,85,95,20,85,95,30,85,95,20,90,100,20,90,90,20,85,90,20,90,90,20,90,100,30,70,95,30,85,95,20,90,100,20,70,100,20,85,100,70,90,95,60,90,100,30,90
accessible,95,10,95,95,20,95,95,0,90,95,20,95,95,0,90,95,0,90,95,20,95,95,10,95,95,20,95,95,0,85,95,0,95,95,10,95,95,20,90,95,20,95,95,20,90,95,0,95,95,20,90,95,10,95,95,30,90,95,20,90
accommodating,100,100,90,90,90,90,90,90,90,90,90,90,100,80,100,100,100,90,100,80,90,100,40,90,100,90,90,90,90,90,100,85,80,90,70,90,100,70,100,100,90,90,100,20,90,100,70,100,90,90,90,90,80,90,90,80,90,100,100,90
acerbic,95,0,0,95,0,0,95,0,0,90,0,0,90,0,0,95,0,0,95,0,0,85,0,0,90,0,0,85,0,0,95,0,0,90,0,0,85,0,0,90,0,0,95,0,0,90,0,0,95,0,0,95,0,0,90,0,0,90,0,0
adaptable,100,30,90,90,20,95,90,85,90,85,40,90,90,85,90,90,30,90,90,90,90,90,85,85,90,85,90,90,0,90,90,10,90,85,90,95,80,70,90,90,40,85,90,80,90,90,20,90,95,85,95,90,40,95,90,85,80,90,40,90
adventurous,90,30,40,100,10,70,95,10,30,100,0,70,90,20,40,95,10,40,85,20,20,100,10,20,100,10,40,100,10,20,95,10,40,95,10,40,95,40,60,70,10,10,95,10,70,95,10,60,95,20,70,95,10,70,90,10,20,95,20,60
agreeable,100,0,80,100,0,90,95,0,90,95,0,90,95,0,85,95,0,85,100,0,95,100,0,100,95,0,90,100,0,95,95,0,85,95,0,90,95,0,85,100,0,90,90,0,90,95,0,90,90,0,90,100,0,95,90,0,90,95,0,95
altruistic,95,10,40,100,20,100,100,30,90,90,10,70,100,80,95,90,0,70,90,20,80,85,40,70,85,10,70,100,0,70,100,20,100,95,20,70,90,40,90,90,30,70,100,10,90,100,20,85,90,20,80,90,40,85,85,20,80,95,30,85
analytical,95,90,95,95,85,90,95,90,95,95,90,95,90,85,90,95,95,95,95,90,90,90,30,90,90,85,95,95,90,90,95,85,90,90,85,90,95,95,95,95,85,90,95,40,95,95,85,95,95,80,90,95,95,95,95,90,95,100,60,95
animated,95,5,95,100,0,30,100,10,95,100,0,95,100,0,60,95,10,90,100,10,95,100,0,0,100,0,0,100,5,95,100,0,40,100,0,90,100,0,85,95,10,70,100,10,60,100,0,95,100,5,90,100,10,20,100,5,90,100,10,70
anthropocentric,100,10,40,100,40,40,90,20,10,100,20,40,100,20,70,90,20,20,90,10,20,100,30,40,80,10,40,90,10,20,90,20,40,90,10,10,90,20,40,90,40,40,80,40,20,90,20,20,90,0,20,85,10,20,80,30,30,90,0,0
anxious,95,10,0,95,10,0,95,10,10,95,0,0,95,0,10,95,10,0,95,10,0,95,0,0,100,20,10,95,0,0,95,10,0,95,0,0,95,30,10,95,0,0,95,20,20,90,0,0,95,30,0,95,0,0,100,0,0,95,0,0
arrogant,90,0,0,90,0,0,85,0,0,85,0,0,90,0,0,70,0,0,90,0,0,85,0,0,85,0,0,90,0,0,85,0,0,90,0,0,85,0,0,85,0,0,85,0,0,90,0,0,85,0,0,90,0,0,85,0,0,85,0,0
artistic,95,0,70,95,10,60,95,0,0,95,10,70,95,20,40,95,0,40,95,10,60,95,0,10,95,10,70,95,10,20,90,10,40,95,40,85,95,20,75,95,20,70,95,10,70,95,0,10,95,10,70,90,40,70,100,40,85,95,10,40
ascetic,95,0,0,70,0,0,85,0,10,100,0,0,100,0,30,85,0,0,90,0,10,100,0,10,95,0,0,90,0,20,90,0,10,95,0,20,95,0,10,100,0,0,90,0,70,90,0,20,70,0,10,100,0,20,95,0,10,95,0,0
assertive,100,0,0,90,0,0,0,0,10,100,0,0,85,10,20,90,10,10,90,10,10,95,0,0,100,0,0,90,0,10,95,0,10,90,0,0,0,0,0,95,10,20,0,0,0,100,0,0,90,0,20,95,10,20,0,0,0,100,0,10
avoidant,80,100,20,10,0,10,20,10,0,0,0,0,20,20,10,70,20,20,20,10,0,10,10,10,0,0,0,0,0,0,10,0,0,70,20,20,20,10,0,10,10,10,0,0,0,10,10,10,20,10,10,0,0,0,10,0,0,40,20,10
benevolent,100,30,95,95,0,90,100,0,100,95,0,95,100,0,100,95,10,90,95,0,95,100,0,95,95,0,95,100,0,95,100,0,95,100,0,95,95,0,90,100,0,95,95,20,90,100,0,100,100,0,100,95,0,90,95,0,90,100,0,95
big_picture,95,70,90,100,80,90,95,20,85,95,40,90,100,70,90,95,90,90,95,40,90,95,60,85,95,40,90,95,40,90,95,80,95,90,30,90,95,40,90,95,70,90,95,40,90,95,40,90,95,70,90,100,40,90,90,70,85,90,30,90
bitter,95,0,0,95,0,0,100,0,0,95,0,10,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,95,0,0,100,0,0,95,0,0,95,0,0,100,0,0,95,0,0,90,0,0,100,0,0,100,0,0,90,0,0,95,0,0
blunt,85,0,0,70,0,0,85,0,0,80,0,10,90,10,10,70,0,10,40,0,10,70,0,10,90,0,10,85,10,30,80,0,0,70,10,0,90,10,30,80,0,10,40,0,0,90,0,0,85,10,20,70,10,10,70,0,10,20,0,10
bombastic,95,0,10,100,0,10,95,0,0,95,0,10,95,0,0,95,0,10,100,0,10,95,0,0,95,0,0,95,0,0,95,0,10,100,0,0,95,0,0,95,0,10,95,0,10,95,0,0,95,0,0,95,0,10,100,0,10,100,0,10
calculating,90,80,85,95,85,95,95,85,90,95,40,85,95,85,95,95,70,85,95,80,90,95,85,95,95,70,90,95,85,90,95,70,95,95,85,90,95,60,90,95,70,90,90,70,90,95,85,90,90,70,80,95,85,90,95,90,90,95,70,85
callous,90,0,0,90,0,0,85,0,0,85,0,0,85,0,0,90,0,0,85,0,0,85,0,0,85,0,0,90,0,0,85,0,0,85,0,0,80,0,0,90,0,0,90,0,0,90,0,0,70,0,0,85,0,0,85,0,0,80,0,0
calm,100,0,100,100,0,100,100,0,100,100,0,95,100,0,100,100,0,95,100,0,95,100,0,95,100,0,100,100,0,90,100,0,95,100,0,100,95,0,95,100,0,100,95,0,95,100,0,90,100,0,90,100,0,100,100,0,90,100,0,95
casual,80,0,10,70,10,10,90,0,20,90,0,0,90,0,10,95,0,10,90,0,10,95,0,10,95,0,10,95,10,20,70,0,10,90,10,10,90,0,10,90,0,20,95,10,10,90,0,0,70,0,10,95,0,10,80,0,0,85,10,10
cautious,95,10,100,100,20,100,95,10,95,100,10,90,100,0,95,100,0,95,95,0,95,95,10,95,95,10,95,100,40,100,95,10,90,100,30,95,100,0,100,100,40,100,95,0,90,95,10,95,95,40,95,100,10,95,95,10,95,100,0,90
challenging,90,40,70,100,40,10,100,10,10,100,60,80,100,60,70,95,70,60,90,40,20,95,40,90,90,60,70,100,70,40,100,40,40,90,40,40,100,40,70,100,20,30,100,70,70,100,40,80,100,60,40,95,40,40,100,20,80,90,60,70
chaotic,90,20,40,95,40,40,90,10,40,90,60,70,90,20,60,90,20,70,90,30,70,95,40,40,90,40,40,90,70,70,90,40,20,90,20,20,90,40,40,90,20,20,90,20,10,95,20,30,90,10,40,90,10,40,90,20,10,90,60,70
charismatic,95,0,20,95,5,30,95,10,60,95,10,10,95,20,20,90,20,60,95,30,40,95,10,30,95,10,70,95,10,20,95,0,40,95,20,20,95,20,40,95,10,40,95,10,40,95,10,65,95,10,65,90,10,20,95,10,10,95,10,40
chill,90,0,80,95,0,85,95,0,80,95,0,85,90,0,85,100,0,90,90,0,70,90,0,90,95,0,60,95,0,70,95,0,85,95,0,85,95,0,90,90,0,20,95,0,80,95,0,70,95,0,70,85,0,85,95,0,85,95,0,90
circumspect,95,10,90,90,10,90,95,70,95,90,10,90,95,30,90,95,40,95,95,40,95,95,20,95,95,10,95,90,0,85,95,40,90,95,0,95,95,10,90,100,70,95,90,0,95,90,10,90,100,70,95,95,20,95,100,10,90,90,10,90
closure_seeking,80,10,10,0,10,10,90,0,0,40,10,10,20,20,20,60,10,10,20,10,0,0,0,10,85,10,10,90,20,90,80,10,10,90,10,20,70,10,10,10,0,0,40,10,10,90,10,20,85,10,40,90,10,10,90,10,10,20,0,10
collaborative,100,0,80,95,0,70,100,0,40,100,10,70,100,10,95,100,0,70,100,0,70,100,20,90,100,0,80,100,10,85,90,10,20,95,40,80,100,10,40,95,10,80,100,40,20,90,10,10,100,0,70,95,20,90,90,40,85,100,20,95
collectivistic,100,0,80,95,10,85,95,40,90,100,10,90,100,0,70,100,0,85,95,0,85,90,10,85,100,0,95,90,40,70,100,0,85,100,0,85,100,0,90,95,10,80,100,85,90,100,0,90,100,0,85,95,10,80,95,10,70,100,0,90
competitive,100,10,10,100,10,0,95,0,0,100,0,10,100,0,0,100,0,0,100,0,0,100,10,10,95,10,20,100,10,0,100,10,0,100,10,0,100,0,10,100,20,30,100,0,0,100,10,20,100,10,10,95,0,0,100,0,0,100,10,10
conceptual,100,20,90,100,20,40,95,20,90,95,40,95,100,20,70,90,30,90,95,10,90,90,40,90,90,20,80,90,20,90,95,10,90,90,30,85,90,30,90,100,10,90,95,10,80,95,10,90,95,40,85,100,20,95,100,10,90,90,10,90
conciliatory,100,0,100,100,0,95,100,0,100,100,0,95,100,0,100,100,0,100,100,0,95,100,0,100,100,0,90,100,0,90,100,0,95,100,0,100,100,0,90,100,0,95,100,0,100,100,0,100,100,0,95,100,0,95,100,0,100,100,0,95
concise,100,10,20,100,20,40,100,10,10,85,10,10,100,10,20,100,10,100,100,10,20,100,10,10,100,10,10,90,10,20,90,10,10,100,10,20,100,10,20,100,10,40,100,10,20,100,10,20,100,10,20,100,10,20,90,10,20,100,10,10
condescending,70,0,0,65,10,0,0,0,0,10,0,0,40,0,0,30,0,0,0,0,0,10,0,0,40,0,0,10,0,0,40,0,0,70,0,0,20,0,0,10,0,0,20,0,0,40,0,0,40,0,0,20,0,0,40,0,0,10,0,0
confident,90,30,40,85,0,20,80,80,80,100,20,70,90,60,85,90,20,20,90,30,20,90,40,70,85,30,30,90,85,70,90,20,10,90,30,85,95,60,90,90,40,85,90,20,20,90,20,40,90,60,90,90,20,70,90,20,20,90,30,70
confrontational,40,40,20,70,60,60,10,10,10,10,10,0,80,20,80,20,0,40,60,20,40,40,60,20,80,30,20,80,40,70,40,10,0,20,20,10,70,40,30,70,10,20,0,0,0,70,80,20,80,20,20,70,10,40,80,60,70,10,20,10
conscientious,90,0,85,95,0,95,90,0,90,95,0,95,90,0,90,90,0,95,90,0,90,95,0,95,95,0,95,95,0,95,90,0,90,95,0,90,90,0,90,95,0,95,95,0,95,90,0,90,95,0,95,90,0,90,95,0,95,95,0,95
constructivist,95,90,90,100,90,90,100,0,90,100,100,85,95,100,85,100,90,90,100,80,90,100,100,90,100,90,85,100,85,70,100,100,90,100,100,95,100,30,90,100,100,95,100,90,70,100,100,85,100,85,85,100,95,90,100,100,20,100,100,95
