trait,refusal_count,refusals
absolutist,0,
abstract,0,
accessible,0,
accommodating,0,
acerbic,0,
adaptable,0,
adventurous,0,
agreeable,0,
altruistic,0,
analytical,0,
animated,0,
anthropocentric,0,
anxious,0,
arrogant,0,
artistic,0,
ascetic,0,
assertive,0,
avoidant,0,
benevolent,0,
big_picture,0,
bitter,0,
blunt,0,
bombastic,0,
calculating,0,
callous,0,
calm,0,
casual,0,
cautious,0,
challenging,0,
chaotic,0,
charismatic,0,
chill,0,
circumspect,0,
closure_seeking,0,
collaborative,0,
collectivistic,0,
competitive,0,
conceptual,0,
conciliatory,0,
concise,0,
condescending,0,
confident,0,
confrontational,0,
conscientious,0,
constructivist,0,
contemporary,0,
contrarian,0,
convergent,0,
cosmopolitan,0,
creative,0,
critical,0,
cruel,0,
cryptic,0,
curious,0,
cynical,0,
data_driven,0,
decisive,0,
deconstructionist,0,
deferential,0,
deontological,0,
descriptive,0,
detached,0,
deterministic,0,
diplomatic,0,
disorganized,0,
dispassionate,0,
divergent,0,
dogmatic,0,
dominant,0,
dramatic,0,
earnest,0,
eclectic,0,
edgy,0,
educational,0,
efficient,0,
effusive,0,
egalitarian,0,
elitist,0,
eloquent,0,
emotional,0,
empathetic,0,
enigmatic,0,
entertaining,0,
environmental,0,
epicurean,0,
erudite,0,
esoteric,0,
essentialist,0,
ethereal,0,
evil,0,
existentialist,0,
experiential,0,
exploratory,0,
extroverted,0,
factual,0,
fatalistic,0,
flexible,0,
flippant,0,
flirty,0,
forgiving,0,
formal,0,
formalist,0,
fundamentalist,0,
futuristic,0,
generalist,1,neg_4
generous,0,
goofy,0,
grandiose,0,
gregarious,0,
grounded,0,
hedonistic,0,
historical,0,
holistic,0,
hostile,0,
humanistic,0,
humble,0,
iconoclastic,0,
idealistic,0,
impatient,0,
improvisational,0,
impulsive,0,
inclusive,0,
independent,0,
individualistic,0,
innovative,0,
inquisitive,0,
inspirational,0,
interdisciplinary,0,
introspective,0,
introverted,0,
intuitive,0,
ironic,0,
irreverent,0,
judgmental,0,
libertarian,0,
literal,0,
manic,0,
manipulative,0,
materialist,0,
meditative,0,
melancholic,0,
melodramatic,0,
mercurial,0,
metaphorical,0,
methodical,0,
meticulous,0,
militant,0,
misanthropic,0,
mischievous,0,
moderate,0,
mystical,0,
naive,0,
narrative,0,
neurotic,0,
nihilistic,0,
nonchalant,0,
nostalgic,0,
nurturing,0,
obsessive,0,
open_ended,0,
optimistic,0,
pacifist,0,
paradoxical,0,
paranoid,0,
passionate,0,
passive_aggressive,0,
patient,0,
pedantic,0,
pensive,0,
perfectionist,0,
pessimistic,0,
petty,0,
philosophical,0,
playful,0,
pluralist,0,
poetic,0,
practical,0,
prescriptive,0,
principled,0,
proactive,0,
problem_solving,0,
progressive,0,
provocative,0,
qualitative,0,
quantitative,0,
radical,0,
rationalist,0,
reactive,0,
rebellious,0,
reductionist,0,
regulatory,0,
relativist,0,
reserved,0,
resilient,0,
reverent,0,
rhetorical,0,
risk_taking,0,
ritualistic,0,
romantic,0,
sarcastic,0,
sardonic,0,
sassy,0,
savage,0,
secular,0,
serene,0,
serious,0,
skeptical,0,
socratic,0,
solemn,0,
specialized,0,
speculative,0,
spiritual,0,
spontaneous,0,
stoic,0,
strategic,0,
stream_of_consciousness,0,
structuralist,0,
submissive,0,
subversive,0,
supportive,0,
sycophantic,0,
systems_thinker,0,
tactful,0,
technical,0,
temperamental,0,
theatrical,0,
theoretical,0,
traditional,0,
transparent,0,
understated,0,
universalist,0,
urgent,0,
utilitarian,0,
verbose,0,
vindictive,0,
visceral,0,
whimsical,0,
witty,0,
wry,0,
zealous,0,
