trait,pos_mean,pos_std,neg_mean,neg_std,default_mean,default_std,pos_minus_default_mean,pos_minus_neg_mean,max_pos_minus_neg_single,max_pos_minus_neg_question,max_pos_minus_default_single,max_pos_minus_default_question
absolutist,2.0,4.0,2.0,4.0,1.0,3.0,1.0,0.0,10.0,2,10.0,1
abstract,96.25,3.491060010942235,27.5,13.369741957120938,85.75,5.973901572674261,10.5,68.75,80.0,1,30.0,12
accessible,95.0,0.0,12.5,9.420721840708387,92.5,2.958039891549808,2.5,82.5,95.0,2,10.0,9
accommodating,96.0,4.898979485566356,80.25,19.266226926930972,91.0,4.358898943540674,5.0,15.75,80.0,14,20.0,10
acerbic,91.5,3.570714214271425,0.0,0.0,0.0,0.0,91.5,91.5,95.0,0,95.0,0
adaptable,89.75,3.6996621467371855,55.5,30.286135441815617,90.0,3.5355339059327378,-0.25,34.25,90.0,9,10.0,0
adventurous,93.75,6.684870978560469,14.0,8.602325267042627,44.5,19.868316486305527,49.25,79.75,100.0,3,80.0,7
agreeable,96.0,3.391164991562634,0.0,0.0,90.0,4.47213595499958,6.0,96.0,100.0,0,20.0,0
altruistic,93.5,5.5,23.5,17.399712641305314,79.5,13.592277219068187,14.0,70.0,100.0,9,55.0,0
analytical,94.25,2.384848003542364,81.5,17.18284027743958,92.75,2.48746859276655,1.5,12.75,60.0,7,5.0,1
animated,99.25,1.7853571071357126,4.5,4.444097208657794,68.25,32.02635633349507,31.0,94.75,100.0,1,100.0,7
anthropocentric,90.75,6.378675411086537,19.0,11.789826122551595,29.0,15.459624833740307,61.75,71.75,90.0,0,90.0,19
anxious,95.25,1.920286436967152,8.0,9.797958971132712,3.0,5.5677643628300215,92.25,87.25,100.0,18,100.0,18
arrogant,86.25,4.437059837324712,0.0,0.0,0.0,0.0,86.25,86.25,90.0,0,90.0,0
artistic,94.75,1.920286436967152,13.5,12.757350822173073,52.75,25.420218331084413,42.0,81.25,95.0,0,95.0,2
ascetic,91.5,8.52936105461599,0.0,0.0,12.5,15.771810295587505,79.0,91.5,100.0,3,100.0,3
assertive,75.25,37.86406607853942,2.5,4.330127018922194,7.0,7.810249675906654,68.25,72.75,100.0,0,100.0,0
avoidant,21.0,24.06241883103193,12.5,21.418449990603897,6.5,7.262919523166975,14.5,8.5,50.0,5,60.0,0
benevolent,97.75,2.48746859276655,3.0,7.810249675906654,94.5,3.5,3.25,94.75,100.0,2,5.0,0
big_picture,95.0,2.7386127875258306,53.0,19.77371993328519,89.5,2.179449471770337,5.5,42.0,75.0,2,10.0,1
bitter,97.0,3.3166247903554,0.0,0.0,0.5,2.179449471770337,96.5,97.0,100.0,2,100.0,2
blunt,73.0,18.601075237738275,3.0,4.58257569495584,9.0,8.888194417315589,64.0,70.0,90.0,8,90.0,15
bombastic,96.25,2.165063509461097,0.0,0.0,5.5,4.9749371855331,90.75,96.25,100.0,1,100.0,11
calculating,94.25,1.7853571071357126,76.0,11.575836902790225,89.5,3.840572873934304,4.75,18.25,55.0,3,10.0,3
callous,85.5,4.716990566028302,0.0,0.0,0.0,0.0,85.5,85.5,90.0,0,90.0,0
calm,99.5,1.5,0.0,0.0,96.0,3.7416573867739413,3.5,99.5,100.0,0,10.0,9
casual,87.25,8.437268515343103,2.5,4.330127018922194,10.0,5.477225575051661,77.25,84.75,95.0,5,90.0,3
cautious,97.5,2.5,13.0,13.45362404707371,95.25,3.344772040064913,2.25,84.5,100.0,4,10.0,3
challenging,96.75,4.264680527307995,46.0,16.852299546352718,54.0,23.958297101421877,42.75,50.75,90.0,2,90.0,1
chaotic,90.75,1.7853571071357126,30.5,17.168284713389397,42.0,19.8997487421324,48.75,60.25,80.0,2,80.0,14
charismatic,94.5,1.5,11.75,6.94172168845741,37.0,18.398369492974098,57.5,82.75,95.0,0,85.0,3
chill,93.5,3.2015621187164243,0.0,0.0,77.75,15.610493265749165,15.75,93.5,100.0,5,70.0,13
circumspect,94.25,3.2691742076555053,24.0,22.891046284519195,92.25,2.947456530637899,2.0,70.25,95.0,11,10.0,18
closure_seeking,57.5,33.70830758136635,9.0,5.385164807134504,15.5,19.09842925478428,42.0,48.5,90.0,2,90.0,2
collaborative,97.5,3.7080992435478315,12.5,13.369741957120938,67.0,25.612496949731394,30.5,85.0,100.0,0,80.0,14
collectivistic,97.5,3.3541019662496847,11.25,20.60794749605113,84.0,7.0,13.5,86.25,100.0,0,30.0,4
competitive,99.25,1.7853571071357126,6.0,5.830951894845301,6.5,8.52936105461599,92.75,93.25,100.0,3,100.0,1
conceptual,94.75,4.02336923485777,21.0,10.44030650891055,85.5,11.821590417536889,9.25,73.75,90.0,13,60.0,1
conciliatory,100.0,0.0,0.0,0.0,96.5,3.570714214271425,3.5,100.0,100.0,0,10.0,8
